x	Y_20180224_15100_10_2g	Y_20180224_15100_10_5g	Y_20180224_15100_11_1g	Y_20180224_15100_11_7g	Y_20180224_15100_12_2g	Y_20180224_15100_12_7g	Y_20180224_15100_12_9g	Y_20180224_15100_13_2g	Y_20180224_15100_13_3g	Y_20180224_15100_13_4g	Y_20180224_15100_13_5g	Y_20180224_15100_13_6g	Y_20180224_15100_14_4g	Y_20180224_15100_16_2g	Y_20180224_15100_16_3g	Y_20180224_15100_16_4g	Y_20180224_15100_18_7g	Y_20180224_15100_19_12g	Y_20180224_15100_19_13g	Y_20180224_15100_19_16g	Y_20180224_15100_19_4g	Y_20180224_15100_2_11g	Y_20180224_15100_2_4g	Y_20180224_15100_2_9g	Y_20180224_15100_20_3g	Y_20180224_15100_20_4g	Y_20180224_15100_21_1g	Y_20180224_15100_21_4g	Y_20180224_15100_21_7g	Y_20180224_15100_22_6_1g	Y_20180224_15100_22_6_2g	Y_20180224_15100_22_7g	Y_20180224_15100_23_1g	Y_20180224_15100_23_2g	Y_20180224_15100_24_3g	Y_20180224_15100_24_4g	Y_20180224_15100_24_6g	Y_20180224_15100_24_7g	Y_20180224_15100_25_5g	Y_20180224_15100_26_1g	Y_20180224_15100_26_6g	Y_20180224_15100_27_2g	Y_20180224_15100_27_3g	Y_20180224_15100_28_10g	Y_20180224_15100_28_1g	Y_20180224_15100_28_4g	Y_20180224_15100_29_1g	Y_20180224_15100_33_2g	Y_20180224_15100_33_4g	Y_20180224_15100_4_10g	Y_20180224_15100_4_1_2g	Y_20180224_15100_4_2g	Y_20180224_15100_4_8g	Y_20180224_15100_6_9g	Y_20180224_15100_7_13g	Y_20180224_15100_7_5g	Y_20180224_15100_7_6g	Y_20180224_15100_9_6g
0	15841.95	16352.387	16147.279	15010.433	13817.035	17555.609	15125.641	16474.246	17610.912	16230.5	14633.185	17287.379	18491.025	15373.443	15887.466	13550.183	15936.53	16241.375	14288.597	16060.727	16539.934	14747.173	14685.017	14721.531	15744.1	14545.781	15490.473	16667.736	16185.013	16012.437	15859.927	13835.517	17086.465	14104.589	17607.297	14546.178	15000.274	14526.895	15264.642	16719.303	15437.915	14695.188	13962.739	15420.817	14102.493	16512.309	15748.755	15327.24	15339.059	16664.285	16201.301	16543.906	15710.964	14456.53	15332.94	16559.719	17090.543	16395.725
0.1334	16832.555	17357.135	18503.5	16132.438	14357.502	17919.455	16261.032	15793.676	18921.289	15052.929	15715.558	17482.527	18661.469	16053.819	17382.275	15251.696	15949.117	16601.842	15501.94	16936.404	18607.25	14422.325	15449.359	17086.223	15487.354	15085.931	15713.464	17996.561	15468.749	18069.082	15586.468	14710.767	16698.592	13762.073	17624.121	16853.924	16934.037	14166.463	15411.292	16792.287	16601.182	15203.991	14950.007	16599.873	15315.095	17431.664	17578.494	17036.404	15726.014	16813.008	15883.494	17995.91	16257.375	14811.35	14951.571	16729.652	17481.324	17071.221
0.2668	18791.828	19654.848	24749.52	18634.953	15881.634	19122.482	18374.719	18862.686	19545.961	16337.187	18251.201	17646.68	19476.504	16307.868	22269.607	19429.801	17038.16	18102.314	18895.6	18456.676	20191.953	14687.856	18066.281	18950.178	15073.868	17123.166	16617.459	19275.32	16498.998	20970.074	16885.209	15744.417	17060.672	14107.48	18570.898	21338.006	19455.576	16210.412	17063.365	17101.318	18725.383	16413.178	16229.963	19492.824	17436.404	19430.863	20150.281	20017.953	16361.976	17890.186	17469.092	18829.59	17670.336	16159.971	15894.652	18636.938	18034.887	19282.182
0.4003	22249.695	23271.881	31520.377	23680.938	19407.424	22920.48	22917.809	23790.688	20562.785	17453.732	22910.828	19839.898	21018.191	18171.852	28472.09	20459.799	19543.242	21728.551	25936.088	20007.1	23847.535	16384.865	23556.447	21379.926	17518.646	19061.408	20295.898	23144.498	17661.346	25946.523	19726.568	17644.168	21255.92	14518.922	20697.537	22546.955	22097.629	19491.178	18202.16	19115.168	19087.422	20012.332	17535.961	24247.543	18328.764	21626.68	22921.574	26091.273	18135.342	22288.186	20801.371	19785.49	20332.801	19675.689	16508.754	21342.449	18765.193	23050.238
0.5337	27950.641	29575.975	31672.291	30046.92	24420.887	28399.51	25002.166	30582.74	22167.119	25006.346	27751.051	22742.162	23775.445	22512.498	31015.352	19769.775	22796.611	28150.123	29722.125	19324.266	26686.379	18618.148	28302.902	26306.541	19475.328	18138.389	22970.162	28854.246	20656.008	29870.477	21080.342	21035.309	24786.576	16450.184	24484.783	19858.342	21826.775	23394.504	17490.771	20772.666	19517.455	20805.193	19929.219	27156.498	18431.967	23294.719	23455.275	26012.992	20789.365	27068.529	24788.477	22324.275	21664.348	26776.951	17850.283	26264.143	18948.176	32075.049
0.6671	34416	32703.275	24840.207	28956.066	25335.533	34071.41	22200.24	34677.805	24996.467	30691.953	31778.307	25164.182	24627.861	23509.852	30533.41	18117.713	23770.291	29706.295	27576.553	17923.896	25618.08	20504.295	24856.535	27340.615	18649.324	16919.768	21590.023	30896.857	27414.701	25358.121	19462.164	21926.047	26750.746	17120.67	25341.605	18304.785	21329.27	23019.982	17024.568	20445.115	17753.236	19501.91	21201.693	24908.176	15746.744	26389.621	22038.73	23216.209	25081.656	27466.188	27663.043	25836	21087.346	30385.043	23071.406	25953.586	19269.338	39395.316
0.8005	31186.375	27892.656	21930.283	22741.762	20353.051	33475.426	19603.484	28704.682	25539.59	28717.02	27556.387	22446.078	24809.553	21701.91	26293.83	18348.789	24191.941	28070.389	25333	17804.014	22040.627	18844.492	21252.064	22968.99	16019.702	17201.234	19262.072	25053.77	32879.879	21502.041	20159.955	20452.127	24294.027	16978.535	23711.363	18147.918	19616.938	20241.715	17147.477	20402.881	17966.662	18158.129	19451.801	21427.455	14699.911	29053.104	20713.18	20503.602	22886.756	24576.6	26336.457	28201.938	18130.246	25432.219	28265.516	22104.617	20234.309	31106.969
0.934	27332.787	24076.631	20259.9	22463.812	17670.553	27822.523	17534.906	22836.865	23559.572	24512.662	22037.236	22238.541	22344.672	21291.592	22660.693	18861.635	24063.633	25454.828	23201.506	17083.619	22290.014	19724.314	17020.102	20258.178	14967.701	19642.707	18499.135	20580.236	31814.635	20242.148	18375.783	18945.688	20671.086	16388.643	20958.301	18550.307	18285.441	17297.318	18035.432	19049.316	17339.398	17308.174	19744.582	19786.391	13552.031	27600.723	19124.254	18517.846	20012.732	20689.168	23776.281	25790.205	17909.285	22358.096	26092.633	18597.059	21929.902	24680.961
1.0674	24035.85	22471.385	20263.463	22060.678	15391.75	24207.145	16622.369	20367.215	23133.93	22601.145	21107.119	21218.523	20780.289	21490.469	21809.859	17596.984	21963	21145.783	23517.939	16058.125	21420.338	19359.615	17119.85	19602.537	14801.082	21753.594	19833.023	18738.34	26935.914	18492.143	17280.594	16980.615	18706.627	15302.146	19767.943	20182.135	17680.902	16397.512	18391.945	17404.408	16344.319	17803.094	18472.893	19505.758	14001.064	25112.43	17196.811	18086.26	17529.201	19998.508	22564.73	24598.262	16499.4	21497.408	21813.191	16149.086	21641.635	21171.631
1.2008	19254.645	21541.625	21245.275	20450.26	15433.521	22462.033	15230.181	19680.756	22440.494	21136.594	19838.871	19374.098	20776.297	22004.326	20441.66	17087.152	21227.23	18330.484	23197.533	15140.295	20017.793	19811.857	18732.117	20123.412	15316.29	22175.811	19865.844	20058.158	21323.295	18155.283	18876	16501.029	16854.656	15133.367	19549.43	20870.701	17010.596	17017.633	17557.982	16546.113	15347.489	17635.979	17616.092	17004.654	14196.54	25148.869	15901.724	17125.736	17546.883	18629.965	19867.281	24074.383	15291.88	19707.355	19061.869	16201.859	20506.592	19054.158
1.3342	17509.164	21712.318	20766.172	19432.779	15475.501	21867.533	15008.43	18653.82	21560.477	20278.289	19566.812	18142.973	22445.678	20593.779	21510.971	15923.624	19996.455	17323.535	21577.588	14641.231	19048.777	20249.285	19918.877	19933.166	15633.471	21676.531	21406.203	20001.459	19725.387	18221.928	16531.311	15754.823	16254.615	14240.261	19254.143	21305.123	16964.061	18274.252	17311.879	16428.512	14716.177	18304.785	17634.279	17339.557	13680.515	24345.771	15787.77	16141.649	16354.945	18370.984	20628.967	21791.889	15456.54	19947.154	19509.234	16323.604	20364.812	17710.584
1.4676	15760.172	22762.582	19341.029	20394.674	16393.406	21407.848	14395.91	17704.619	20387.67	20884.756	19539.59	17636.018	21994.455	18816.131	22554.637	16738.631	19237.082	16259.49	19516.252	14562.889	20047.693	21233.785	18320.961	20519.146	16612.146	21986.756	20838.852	18692.404	19361.846	19731.023	16474.336	16335.09	15566.895	14094.572	19300.309	19221.746	16707.322	20468.125	17291.133	15605.247	14369.239	18263.311	16926.598	17984.264	13394.661	23721.781	15054.739	15608.737	15965.745	19624.564	20175.441	21137.273	15923.575	20061.504	21315.453	17418.238	19784.633	15792.521
1.6011	16560.496	22079.816	18381.332	20572.873	16222.477	19477.604	14523.472	16153.965	18984.289	17943.873	19505.25	16002.536	19971.967	17170.5	22898.525	16784.525	20188.062	16179.974	18771.279	15079.113	19663.73	24337.359	17338.807	20357.975	15945.366	25333.67	20412.922	18533.549	19120.898	19524.49	17632.156	15637.831	15494.964	15009.764	18444.73	18330.799	15869.162	19078.371	18046.072	17160.254	14866.596	17207.535	17037.943	17992.799	13241.587	23194.666	15871.822	17769.525	16835.447	21522.342	23043.803	22911.689	17117.043	20722.045	24991.746	17513.555	17912.836	16425.172
