x	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_13_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_6g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_8_6g	Y_20181208_15692b_9_5g
0	11948.2412	12491.4512	11944.0439	10340.0225	11552.376	10877.7842	14921.585	11621.0508	12843.8115	12167.1338	13414.1748	12376.7129
0.1334	12970.6543	14080.1426	12657.6338	10909.2227	13625.7061	11397.3438	16136.7021	13023.8496	13446.8682	13985.9746	15056.6182	12425.9639
0.2668	13517.3281	15724.5742	14233.1689	12470.748	15679.1533	12733.4844	17844.0312	14660.3877	14173.8477	15764.8252	17945.5508	11893.7021
0.4003	13361.3545	15865.001	16571.4434	13184.1543	14700.9307	13900.8662	20196.3496	16818.6309	14692.416	17020.4141	20001.6289	12246.4219
0.5337	11852.3418	15860.1582	16153.0654	13985.7959	13493.9727	15401.2803	20429.8828	19262.2344	18366.793	16676.2871	20262.0781	12660.7227
0.6671	11688.3174	14733.3818	16076.2168	13841.2012	13474.8857	15462.8789	17987.3867	22187.4102	21278.207	15439.0088	18585.1133	14009.3105
0.8005	11824.1094	14782.9746	14875.0869	13275.0576	13338.0859	14372.9775	16081.3574	24458.5078	20200.8027	15551.2061	17434.8594	15941.7266
0.934	11766.5332	14999.0488	14081.1436	12906.3994	13625.1338	13726.0342	16393.1016	23853.291	18608.1172	16181.25	18173.9219	16703.2109
1.0674	11057.0146	14419.3809	13388.0859	13680.1807	12882.4902	12926.1895	15663.0928	19446.6719	18559.125	14953.7266	19037.7949	17355.9297
1.2008	11324.8701	15003.0459	13415.626	14535.8359	12238.3691	12537.5352	15931.2012	16324.416	17436.1113	15534.2852	18078.8223	16580.1914
1.3342	11028.5732	14055.458	13388.6426	14700.6934	13064.1465	11705.5605	15511.6611	16081.6152	17469.0117	16043.6865	16387.0332	16023.6719
1.4676	10639.7939	14349.4023	12540.0596	13597.9727	13684.9141	11422.374	14812.4316	16152.9365	16065.5283	14410.6377	15185.5479	15456.043
1.6011	10456.1162	13837.1572	12349.0439	13728.293	12809.9033	11930.3311	15480.9658	15495.2979	14652.9375	13140.043	14449.8516	15470.8613
1.7345	11204.7998	12593.541	12224.8184	12848.2852	12970.6025	11697.5176	14583.4121	14343.9082	14160.6309	12818.0371	13626.3633	13755.7158
1.8679	NaN	11968.6592	12336.0547	13476.9814	13122.2656	11434.291	13481.4941	12678.9189	13521.4619	12202.3555	13832.6074	13700.1074
2.0013	NaN	12191.9395	12704.4941	13989.6299	12688.9141	11721.1523	13694.0898	12355.6006	13159.918	11838.5527	13842.7725	14463.166
2.1347	NaN	NaN	12072.3652	13784.2822	NaN	11778.5088	12740.8145	12067.2969	13155.6973	12003.3262	13928.5527	13301.1865
2.2682	NaN	NaN	11713.0889	13185.8271	NaN	11930.5781	13368.2354	11704.7617	12667.7568	NaN	14215.0977	12096.2627
2.4016	NaN	NaN	NaN	13803.0039	NaN	NaN	NaN	11590.665	12832.3389	NaN	13917.3887	11499.6709
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11759.9482	13037.5723	NaN	NaN	11758.6104
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11831.6572	12252.6826	NaN	NaN	11584.1172
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11683.0801	NaN	NaN	NaN	11812.4336
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
