x	Y_20181208_15694_3_19g
0	28890.6289
0.1334	28589.7227
0.2668	26645.7012
0.4003	27900.1758
0.5337	29576.2988
0.6671	29919.9883
0.8005	30522.1953
0.934	29137.4531
1.0674	29819.5156
1.2008	29999.6895
1.3342	29769.1875
1.4676	28607.6602
1.6011	29445.3281
1.7345	29306.375
1.8679	28138.5508
2.0013	28397.293
2.1347	29056.9062
2.2682	27989.3926
2.4016	29616.2227
2.535	31389.3184
2.6684	33464.4102
2.8019	36944.9922
2.9353	37964.8594
3.0687	36047.7227
3.2021	31694.2305
3.3355	29726.127
3.469	28815.5098
3.6024	29541.6797
3.7358	28498.5215
3.8692	NaN
4.0027	NaN
4.1361	NaN
4.2695	NaN
4.4029	NaN
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
