x	Y_20180224_15102_12_12g	Y_20180224_15102_12_7g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_26_5g	Y_20180224_15102_27_1g	Y_20180224_15102_28_8g	Y_20180224_15102_4_10g	Y_20180224_15102_5_1g	Y_20180224_15102_7_8g	Y_20180224_15102_8_1g	Y_20180224_15102_9_5g
0	12502.217	15331.705	14719.169	12372.418	13151.463	14023.619	12948.308	18796.559	20840.73	10812.687	15045.634
0.1334	13350.605	18712.625	15589.59	13203.878	13250.107	15759.024	13653.415	20104.438	29041.869	11917.501	19735.648
0.2668	14812.858	28363.422	17830.488	16485.227	15827.409	18295.164	17687.852	26976.25	31945.58	13121.228	28965.393
0.4003	18730.859	42201.18	22392.494	21565.15	16285.1	23159.096	20894.414	34006.918	26920.975	15852.113	38497.637
0.5337	19434.096	47339.254	25707.25	25270.572	16921.35	36452.164	22776.66	35471.988	21958.406	19256.307	36636.129
0.6671	19519.141	43096.492	24865.889	24685.277	15919.194	58430.809	20132.844	30696.023	20384.883	20717.311	31528.721
0.8005	18238.174	38220.824	23616.014	21980.967	14524.014	70075.43	19142.393	25551.184	22114.578	20243.791	25489.779
0.934	17953.924	31477.424	23339.867	19325.621	15604.918	55204.48	17446.518	23674.439	21230.133	19606.082	22560.496
1.0674	17746.111	27782.764	23109.322	19500.838	16757.201	46111.855	17207.371	22538.377	19562.229	18429.699	21133.51
1.2008	17547.754	28367.24	23045.037	19324.391	17841.17	41841.773	18842.227	22084.969	18519	19967.746	20195.172
1.3342	17398.709	29899.455	20874.818	19031.68	17727.807	39188.531	20219.994	21466.57	18218.664	21821.48	19961.168
1.4676	17500.539	31035.598	19463.771	18821.283	17593.758	37156.91	21339.771	21078.156	17676.994	23114.975	20439.477
1.6011	17169.168	31738.051	20625.609	18435.02	16877.248	37426.551	21941.014	20021.949	17954.594	22227.406	20211.797
1.7345	17063.811	29217.668	21364.324	19245.994	17092.342	35370.371	20453.35	19639.5	17798.566	22147.156	19645.471
1.8679	16622.504	26983.094	20265.943	20312.713	17701.709	32694.471	18481.143	19527.691	17496.854	21370.023	19057.836
2.0013	17025.312	25268.533	19195.107	20296.773	18004.381	33695.293	17440.781	18004.645	17844.512	20657.25	19194.646
2.1348	17456.393	23711.764	18490.842	18830.461	17036.297	33060.867	17501.893	18152.922	17298.934	21049.723	18406.309
2.2682	17963.117	22558.027	19221.906	18642.299	16841.395	33293.43	17513.961	18022.6	17711.25	21431.473	20284.338
2.4016	16980.414	22483.338	20772.875	18393.947	17519.363	36203.875	17600.949	17217.363	17832.801	21385.871	22690.408
2.535	16896.672	22271.418	21804.312	17363.598	17006.674	35230.477	16718.801	16766.23	16746.143	21841.264	21816.982
2.6684	18023.789	20213.93	21571.52	17146.668	16264.294	32473.754	17860.586	16873.404	16507.303	21975.596	21834.857
2.8019	17492.318	17643.967	20652.484	16646.645	16596.486	28928.807	18453.881	16928.66	16482.885	21823.422	21765.062
2.9353	17229.395	16740.797	20538.043	16291.007	17026.174	25163.189	18365.951	16404.602	15941.72	20396.367	22003.076
3.0687	17466.725	16637.494	20514.992	16726.969	18362.344	25913.775	17882.283	15440.506	16019.637	19736.85	20655.885
3.2021	18192.629	16263.482	20153.299	16496.711	18222.35	25202.533	17088.754	15070.706	16810.641	19032.654	19776.812
3.3356	18571.361	15956.427	19926.773	16859.195	17323.064	24965.326	16250.26	15139.209	15857.993	19418.434	18955.832
3.469	20395.125	15043.611	19664.342	16145.856	17293.816	23402.178	15750.828	15127.641	15223.452	18205.561	18396.465
3.6024	21241.076	15315.618	18902.4	15553.588	16469.088	21857.705	15086.825	14833.688	15011.188	17776.654	17576.057
3.7358	20536.119	15068.401	16825.504	15488.667	15753.121	21254.693	14553.026	14455.783	13054.243	18833.854	17979.471
3.8692	19641.217	13845.34	16527.951	15568.419	15666.509	20593.209	14021.06	13996.003	13517.498	18439.77	17557.938
4.0027	19885.381	13599.369	15875.337	14289.263	14526.504	18901.404	14398.085	13480.441	NaN	16437.562	17659.77
4.1361	19886.389	14261.233	NaN	13464.338	13886.718	17387.291	13471.972	13778.09	NaN	NaN	16157.505
4.2695	19126.262	NaN	NaN	12640.882	13304.097	15929.353	13394.284	NaN	NaN	NaN	NaN
4.4029	17554.848	NaN	NaN	NaN	NaN	15622.287	NaN	NaN	NaN	NaN	NaN
4.5363	16123.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
