x	Y_20181208_15692_30_1g	Y_20181208_15692_31_11g	Y_20181208_15692_31_15g	Y_20181208_15692_31_2g	Y_20181208_15692_36_12g	Y_20181208_15692_36_7g	Y_20181208_15692_37_12g	Y_20181208_15692_37_13g	Y_20181208_15692_37_20g	Y_20181208_15692_38_7g	Y_20181208_15692_39_15g	Y_20181208_15692_39_1g	Y_20181208_15692_41_15g	Y_20181208_15692_41_2g	Y_20181208_15692_41_4g	Y_20181208_15692_41_5g	Y_20181208_15692_41_7g	Y_20181208_15692_43_6g	Y_20181208_15692_44_19g	Y_20181208_15692_44_7g	Y_20181208_15692_6_5g	Y_20181208_15692_6_6g	Y_20181208_15692_8_1g	Y_20181208_15692_8_9g	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_16g	Y_20181208_15692b_15_1g	Y_20181208_15692b_3_3g	Y_20181208_15692b_3_5g	Y_20181208_15692b_3_6g	Y_20181208_15692b_8_7g
0	10485.4756	10035.585	11981.3125	11267.9004	11485.5723	9653.3232	12306.417	10542.4492	11342.6084	10225.4072	10437.8652	12890.7529	12435.6973	10039.4189	11007.0215	10106.6943	12959.4453	11260.2852	10756.707	9634.2393	13010.0264	10162.7715	10465.8799	10751.4473	9635.8721	11281.3945	10073.8271	10202.8672	9930.541	10945.041	11750.3271	9334.8711	13173.2393	8978.7686
0.1334	10256.2139	10143.3418	12719.417	11862.6084	12135.1699	10474.6562	14219.0195	11941.6299	12679.9883	10971.2881	10663.3096	14334.3291	13970.29	11281.5693	11641.2109	11721.3574	13676.208	11687.0322	12187.0215	9320.2773	14364.2773	11138.2324	12850.5801	11062.0156	10083.5557	12586.25	9895.8633	11516.7061	10030.6084	11679.2529	13788.8213	9715.9199	13766.4629	9494.9727
0.2668	10475.1465	10404.3105	14866.708	13541.8779	12881.0254	11449.9199	17403.4453	13415.7754	15639.0801	12662.9297	11394.6943	15274.7061	15464.8105	11564.2363	12635.1201	12230.3506	14120.1455	12342.0986	13727.5957	10316.7061	16086.8096	13537.6074	15731.668	12591.0801	12620.5264	12853.6934	9674.584	13662.5186	10447.6377	13516.6963	16433.4395	10200.1611	15993.749	10791.085
0.4003	11775.6016	11578.2686	17596.502	15973.502	12772.2979	13456.1855	18739.4863	15619.5684	18779.9238	13340.9141	13880.6016	16487.8613	16307.1357	12689.4648	13994.998	15081.3555	14487.6191	13857.4404	15443.752	11312.5186	17447.125	15823.7051	17885.502	14396.7148	14369.2881	13012.6885	9947.1123	16228.9092	10730.2656	14132.0361	19969.8301	11481.2646	17351.6738	12781.0498
0.5337	13973.3564	13192.0635	19112.8496	16854.5898	12151.5869	16333.0176	16990.5957	14752.7812	18797.3379	14696.8623	17085.832	16826.4414	14534.4521	14121.3232	16907.7578	17225.6562	16243.1553	16340.4033	14814.3213	12013.4229	21366.0703	16509.6484	16305.8281	15212.4043	14539.3193	16712.4648	10755.5049	16398.3926	11686.9043	13584.8008	21528.1465	13117.9326	17538.332	15187.9834
0.6671	17055.0879	15571.4141	19372.0703	15820.8691	12524.2188	16542.3984	15795.4521	15741.5859	18644.168	14928.333	17888.5664	16772.8613	13559.918	15354.459	17365.3262	16971.1465	16439.4805	17521.2441	14450.3672	11933.0498	20626.7852	15073.3447	15137.2568	14350.6455	14031.3721	19121.4883	11876.749	15722.2295	12508.5977	13842.8936	19597.3711	14210.4092	16595.2422	15376.0322
0.8005	17451.7773	16550.9062	19233.0801	15229.2227	13287.2705	15800.623	14895.2646	14698.3418	17650.5391	16833.7031	16684.8301	15324.6836	12707.6357	15097.8613	17169.7754	16815.7422	15305.9092	15785.4795	14263.627	12338.2158	17683.4395	15528.8857	14843.8027	13840.6484	14102.4043	18587.1836	12805.0547	16037.9219	13025.376	13444.9023	17610.709	15029.2559	15350.1416	13908.6387
0.934	16663.75	15652.6221	18997.3457	14535.2686	13154.0625	14615.793	12490.8623	16068.7402	17201.7852	15989.7988	15866.793	16009.4805	12677.165	14851.376	16001.6973	16113.9717	14443.1924	14108.6094	14678.1855	12091.4521	16283.0762	15574.958	15125.167	13048.167	14936.7441	18114.5312	13016.8916	15719.1562	13848.0537	13778.0039	17016.123	14861.0723	13923.6738	14749.1729
1.0674	17241.4453	15776.6279	17431.9707	13564.7744	13277.1455	14308.2998	12713.2197	15330.6973	16861.791	15676.5088	16021.0508	15415.666	13102.002	15384.4033	14598.9521	15072.0742	14365.1562	13870.1895	14686.7402	13412.7686	14268.4121	15640.9277	14413.5	13687.1738	16204.3682	16152.0283	12375.7344	16013.8457	14599.6465	14332.2246	16626.3086	13492.0771	13949.3691	14264.082
1.2008	16593.3086	16238.5479	15937.0889	14849.1523	13661.3301	13011.5127	13088.3867	14372.3877	16095.4541	15717.3672	15579.0684	16182.4492	12870.25	14584.834	14279.4229	15501.3076	14049.5781	12974.2295	13896.7139	14313.1621	15470.7324	15209.1406	14548.5635	13890.7188	14780.1377	15162.2471	11355.4502	16323.5635	13765.2432	13370.877	14847.3027	13870.8926	14110.7109	13759.0615
