x	Y_20181208_15694_10_10g	Y_20181208_15694_13_11g	Y_20181208_15694_13_6g	Y_20181208_15694_16_7g	Y_20181208_15694_2_9g	Y_20181208_15694_25_2g	Y_20181208_15694_26_1g	Y_20181208_15694_3_10g	Y_20181208_15694_3_14g	Y_20181208_15694_6_5g	Y_20181208_15694_8_12g	Y_20181208_15694_8_1g	Y_20181208_15694_8_7g	Y_20181208_15694_9_7g	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_4g
0	12173.3936	9634.5801	11223.6895	11207.2393	13421.7539	10441.1191	14253.7275	11864.7588	12737.9893	11389.9775	10912.8154	12687.4688	10643.8076	11112.8994	9050.8965	13517.3838
0.1334	12429.2383	10453.8008	11811.4756	12771.9395	14221.5928	10666.2178	15616.0039	11836.0713	13548.498	11658.3848	10715.8877	14413.0898	11567.3066	11050.4336	9445.0576	13597.1035
0.2668	13280.9033	12206.7979	12523.5947	13120.8633	15640.6826	12500.7725	17991.3066	12317.3857	14751.2139	14126.6416	11202.6152	16199.5508	12513.2129	11441.5908	9512.208	13888.8311
0.4003	14038.1387	13872.2598	15874.9971	14749.4561	16937.9844	13905.5898	17767.6738	13872.5957	15943.541	16231.541	12274.6357	18910.0664	14826.7607	11996.9551	10690.0264	17219.373
0.5337	15385.835	14333.3789	18549.0391	17867.3594	16207.9307	13586.0469	15977.0078	16204.1084	16150.5947	17647.0781	14497.7598	18945.4219	14343.4014	13217.7754	12158.7568	17573.832
0.6671	16016.5205	13627.1475	16968.1445	20431.7852	15316.8887	13372.9229	15716.2246	18672.9863	16024.0977	15902.1094	15113.3701	18432.0957	14712.9941	14573.9277	15474.2217	15181.1641
0.8005	15044.6621	13872.2324	14853.6074	20426.666	14473.0742	12507.8184	15197.2559	18692.4766	14837.3027	14393.21	15096.7402	16794.3672	15317.9238	15033.668	18004.8691	15038.4668
0.934	14902.5898	14121.6123	13712.5811	20060.0195	14560.123	12513.4238	14809.5293	16648.2988	13715.084	14025.9707	16339.6621	14733.584	15703.2383	16340.6787	17518.8047	14438.916
1.0674	14716.9473	14951.5439	14326.5518	19093.7773	14465.252	12306.7754	14885.8457	16123.0557	14317.6602	14218.7871	15003.3535	14832.5977	15949.1895	15024.626	16669.4375	13048.4307
1.2008	15443.082	15048.7686	14619.4775	17539.8184	14453.166	12805.1016	14681.4922	15685.5742	13381.7715	13714.4521	15020.8428	14108.3584	15022.6855	14336.1572	16704.8945	13290.665
1.3342	15368.0322	15008.79	13823.0127	17669.2051	14464.458	12428.1426	14176.2236	15953.8604	13717.4814	15235.1816	15518.9844	13942.4814	17726.7207	13766.5898	17232.6875	12584.1094
1.4676	14808.0615	15242.8984	14197.5254	16273.9795	14650.6191	12066.0908	13599.8223	15761.0791	13464.3477	14755.8955	15220.8857	14038.0703	15685.8613	13397.5977	16340.7744	13320.9668
1.6011	14816.8799	14947.2217	14248.0391	15309.2783	13781.7852	12060.8428	12693.7617	15908.7402	14036.7686	14062.4668	13595.4375	14465.7285	13241.1055	13468.0801	17281.875	12229.5791
