x	Y_20181208_15794_1_13g	Y_20181208_15794_10_14g	Y_20181208_15794_10_4g	Y_20181208_15794_11_8g	Y_20181208_15794_12_12g	Y_20181208_15794_13_11g	Y_20181208_15794_13_12g	Y_20181208_15794_13_2g	Y_20181208_15794_14_1g	Y_20181208_15794_15_4g	Y_20181208_15794_16_12g	Y_20181208_15794_16_15g	Y_20181208_15794_19_20g	Y_20181208_15794_20_11g	Y_20181208_15794_20_6g	Y_20181208_15794_22_13g	Y_20181208_15794_22_1g	Y_20181208_15794_22_8g	Y_20181208_15794_23_15g	Y_20181208_15794_24_12g	Y_20181208_15794_24_4g	Y_20181208_15794_26_10g	Y_20181208_15794_26_5g	Y_20181208_15794_26_8g	Y_20181208_15794_29_4g	Y_20181208_15794_3_10g	Y_20181208_15794_3_16g	Y_20181208_15794_3_6g	Y_20181208_15794_3_9g	Y_20181208_15794_30_5g	Y_20181208_15794_30_6g	Y_20181208_15794_30_7g	Y_20181208_15794_30_9g	Y_20181208_15794_5_10g	Y_20181208_15794_6_14g	Y_20181208_15794_6_1g	Y_20181208_15794_7_15g	Y_20181208_15794_7_2g	Y_20181208_15794_7_9g
0	28977.5469	31714.7227	31258.1992	31572.2578	29310.2559	32271.0742	30466.2969	31039.9824	25768.541	30471.1055	27007.8594	30270.2129	26010.0098	29827.1895	27527.541	28871.4941	24447.3887	30623.791	27463.0117	27421.416	26259.043	28709.8164	30557.002	30166.5352	32078	33385.4844	31206.2852	28980.9727	30386.707	30590.0762	29570.9297	29955.8965	30554.9883	30400.2754	32385.6445	26482.625	29745.2383	29066.4727	31164.791
0.1334	30067.3965	31101.9727	31389.5391	30462.459	29118.1934	32068.1133	30309.6777	30587.8945	26021.2578	30628.3613	28072.4004	29714.7324	27966.0332	30023.4238	27383.1113	27623.8613	24663.9434	29644.0469	26819.1621	27565.0391	26142.5918	28249.459	31445.8672	29898.7441	34644.1562	33968.4141	29133.1895	28766.7793	31157.2441	29626.6309	27995.6934	29416.3516	29360.5273	30064.8535	31210.7969	26397.752	27749.4219	28755.8809	31468.1367
0.2668	29096.3984	29772.3633	31877.7148	31626.2559	29913.1348	31849.8301	28817.8516	31131.7832	24999.9434	30953.1172	28938.8672	29371.4648	28136.377	31443.5117	27639.5391	27958.666	25391.2305	29750.8555	27171.7402	27062.3301	26999.4902	27880.8145	31840.2109	31303.9766	33202.3359	33988.3438	31107.7461	28938.0176	31935.4785	31551.4238	28955.252	30030.3711	29974.8066	32055.0137	31490.3066	26720.2363	29564.793	28663.3613	30741.3965
0.4003	27559.6094	29290.8203	33745.0586	29917.4551	29390.8691	31958.8418	29125.9121	30980.0762	25157.6797	29991.0684	27240.3066	29641.125	27093.8555	31858.3477	27900.2715	26366.3359	25486.6172	29609.2266	27392.9082	29027.2988	28134.5703	28133.2715	31222.457	29522.791	31685.6504	34732.1992	30848.1328	29409.1328	30852.8066	30193.375	28872.9473	30747.1562	28958.2441	31910.3457	31828.8223	27638.9102	28381.1035	28577.0156	30457.5137
0.5337	27688.5605	30200.7363	32172.0098	30192.6816	28183.041	31707.6523	29408.0391	31097.3672	26312.1133	31558.375	27357.8086	31412.043	26493.7422	32695.7266	27819.168	27732.1543	25678.8145	30133.0117	28972.9375	29303.5586	27670.1992	29192.4316	30781.1738	29557.4551	29998.082	33838.1406	30594.2188	27125.252	31552.998	30174.2559	30056.5938	30615.916	30331.6914	30833.8711	30460.6758	27353.3848	29387.0195	28201.4863	30236.4102
0.6671	28215.5801	29198.4316	31622.3359	30627.8438	29549.998	30970.7188	29771.668	29841.4844	25676.2285	30891.5098	27478.3066	31365.8613	27061.8418	33014.3125	26441.8164	27277.8008	24845.6562	30305.0625	27738.4961	29913.9004	26992.0742	28649.3672	30624.9805	30997.9473	30687.2852	33042.6992	31100.2578	27737.6133	32392.3066	29320.7383	28737.1328	29626.7324	31737.9043	29989.75	29435.6426	26696.584	28386.4297	28939.4609	30042.2695
0.8005	29091.5254	28177.1074	31604.0645	29261.291	27241.9219	31271.2949	30462.0449	30588.5293	25864.2734	30812.7773	26616.041	29532.293	25199.6074	32690.7695	25626.0566	25659.2793	26474.1484	28176.1738	26661.0664	28188.0215	26208.4414	29459.1582	31482.5762	29865.3867	32332.0371	33759.418	30856.7598	28072.6621	30396.6094	30270.0586	27566.291	29056.8613	33201.2422	30138.9043	31140.6406	28159.2773	29468.7734	27844.6172	28814.7637
0.934	29001.9629	29021.4609	31826.4863	29338.2559	27258.5625	30392.4961	28929.6328	31237.3027	25417.2383	29502.2832	27683.1855	29425.5703	26065.8711	32455.959	27018.4062	27019.2539	26975.0137	29087.0176	26458.4082	27650.627	26193.3203	28023.0859	30698.0957	28469.7129	31533.5762	32410.043	30342.1973	28866.8359	30159.3496	30126.1387	29882.4941	31547.1719	32451.5508	31110.5488	30925.6152	28555.207	28998.3281	28145.8652	28904.3906
1.0674	27507.4277	29457.9844	32183.2109	29177.4258	26914.0234	30443.5195	30418.9375	30703.8086	26446.8848	30021.6719	26950.875	30758.793	25660.2578	32369.5762	27160.9766	26066.1328	26012.2422	30138.5156	27300.5098	28412.6426	26672.9395	28654.5449	30303.7363	28330.5059	29436.6465	33068.0586	29343.2715	28797.3184	30675.0645	30650.1133	29692.9199	30069.7617	29543.9316	30986.1816	29794.0996	27159.8594	29275.8301	27140.6699	30118.5801
1.2008	26070.7383	29372.3555	32255.4414	28727.0469	26394.2363	30894.5273	28817.5059	31306.9414	26712.918	30809.0469	27142.377	32035.0703	25993.6875	33259.9297	26966.9238	26070.2363	25700.1934	31353.0078	27605.8086	29162.543	27020.8184	29368.4043	31773.1055	28760.082	29648.6035	32462.3105	29805.1797	26415.6973	30570.9688	30906.3281	28670.3262	32190.7871	31233.9141	31707.1504	29541.3691	26207.5645	29745.9629	27587.8984	29955.6465
