x	Y_20181208_15794b_2_3g
0	28730.4551
0.1334	29923.4922
0.2668	30132.6406
0.4003	28763.709
0.5337	30090.3574
0.6671	30601.6816
0.8005	29888.0527
0.934	29376.1504
1.0674	28106.2305
1.2008	30645.1738
1.3342	29382.1387
1.4676	28124.9395
1.6011	28619.1719
1.7345	29387.375
1.8679	29024.877
2.0013	29484.9961
2.1347	30765.6523
2.2682	32290.2305
2.4016	30684.334
2.535	33135.1758
2.6684	37626.9609
2.8019	51494.7734
2.9353	66212.9297
3.0687	61406.832
3.2021	45811.5898
3.3355	37351.3438
3.469	34401.7344
3.6024	NaN
3.7358	NaN
3.8692	NaN
4.0027	NaN
