x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_9_11g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
0	9833.4414	11874.1895	10079.8525	10484.1631	10400.3047	10274.8096	13068.4434	11451.3643	10668.6348	10725.1729	11808.0205	10609.167	11511.7412
0.1334	10302.2803	13165.2354	10285.2227	11865.4756	11845.5918	11282.502	13577.835	11387.4316	11855.083	11038.6758	11366.8643	10706.4893	12761.9707
0.2668	11034.4717	15837.2461	10507.6621	13898.7607	14252.9248	14172.3398	15898.6992	11928.0557	13545.9453	12155.0176	12298.3447	11366.7305	15947.3486
0.4003	13389.4502	19086.2559	10735.7939	16914.2754	16274.0723	17781.1875	18876.6426	12764.8926	16016.0947	13387.2832	14490.1104	11588.4111	18328.5098
0.5337	16600.0059	18543.3555	11099.415	18856.7969	16268.5264	18754.373	23015.2969	14565.5537	18206.3223	16095.2363	17111.2852	12394.877	16750.5684
0.6671	18906.6914	20001.9668	12477.5352	19311.7832	15860.8555	16982.5605	20738.7832	15376.5625	20254.5098	17687.8184	18234.1035	13388.1152	14300.8057
0.8005	16184.6504	18727.459	13359.1641	16576.8242	15089.9404	15578.7432	18853.8047	15757.1709	18904.6641	17939.0332	15874.4346	14960.7373	13743.7969
0.934	14345.9766	17036.7754	13095.3271	15443.4863	14890.7998	13958.0186	17829.7441	15174.6768	18080.166	15810.2383	13868.748	15694.6289	13766.6787
1.0674	13754.5342	16692.5859	12180.4258	13754.1416	14015.7842	13956.4189	16051.3848	13617.9482	17830.2422	15076.4033	12923.8154	14654.6309	14133.7324
1.2008	13812.6338	15597.9248	12582.0879	12920.5928	12812.1006	14360.0264	15312.0986	13309.4932	16861.8789	14036.5928	11999.501	13463.2363	14002.8174
1.3342	13792.6035	15078.2725	12192.1494	14070.1318	12964.2471	14260.3301	14802.1973	12677.6055	17956.4805	14098.1709	12166.9443	12152.4658	13815.417
1.4676	13860.8809	14480.8906	12889.6885	14130.3984	12415.2178	14247.8584	14517.5449	12643.251	17031.4023	13520.3184	11938.1191	12237.498	12983.0381
1.6011	14643.2881	14231.165	13654.8857	13105.8359	12455.0771	14315.5645	14388.707	12515.9766	16684.748	12087.5605	11464.9062	11699.0635	12178.0195
