x	Y_20181208_15692_30_10g	Y_20181208_15692_30_13g	Y_20181208_15692_30_15g	Y_20181208_15692_30_3g	Y_20181208_15692_31_4g	Y_20181208_15692_32_12g	Y_20181208_15692_34_2g	Y_20181208_15692_36_12g	Y_20181208_15692_37_18g	Y_20181208_15692_37_1g	Y_20181208_15692_38_18g	Y_20181208_15692_40_11g	Y_20181208_15692_40_16g	Y_20181208_15692_41_15g	Y_20181208_15692_41_2g	Y_20181208_15692_42_18g	Y_20181208_15692_42_2g	Y_20181208_15692_42_8g	Y_20181208_15692_43_16g	Y_20181208_15692_43_9g	Y_20181208_15692_45_11g	Y_20181208_15692_46_1g	Y_20181208_15692_46_20g	Y_20181208_15692_47_1g	Y_20181208_15692_47_7g	Y_20181208_15692_6_13g	Y_20181208_15692_6_7g	Y_20181208_15692_6_9g	Y_20181208_15692_7_5g	Y_20181208_15692_8_1g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
0	12976.6729	11192.8535	11592.5439	12035.5996	13708.9824	12137.0078	11709.9326	11645.1562	13516.9287	11088.6777	12729.8936	12374.5908	12066.625	11524.1162	11374.7061	12062.8994	11565.4521	12628.4834	11241.9355	13521.04	11450.2578	12254.749	11616.2344	12207.5732	10596.3887	12366.71	15089.5322	13915.6328	11810.3496	9850.7568	13343.5068	11821.4355	12674.457	12778.4824	13756.7148	10673.6758	12201.2314	11203.2646	11340.5479	11830.5498
0.1334	14550.543	12164.7383	11762.3945	11455.458	14158.8018	13120.6289	11840.7744	11251.5596	15152.0254	11479.2109	14384.626	14579.4668	12691.3398	11876.4287	13093.998	11982.2695	12497.4521	12716.1875	11796.1045	13841.4648	12187.4258	13591.9688	12589.0889	12751.373	9963.1904	12471.3457	16783.3086	16318.9893	12191.2539	10121.4238	13634.9131	13049.6406	12752.3174	12881.8105	15206.1338	11323.042	12735.0537	11604.9971	11993.2607	13445.5781
0.2668	16921.8203	13708.6084	13175.2637	12579.8643	16135.3467	13229.6602	12962.793	12200.2559	18265.4902	12890.1553	16986.3027	17987.3066	14056.4258	12726.5684	13309.1582	12595.1182	12931.5674	12947.7246	13462.6172	13325.957	13256.7432	15471.3213	15058.1914	15239.4658	10251.9404	13168.6133	20861.418	19903.0547	13095.5215	11626.8125	13705.9551	13975.5068	13435.8711	14898.6221	17784.9297	12584.4512	15346.5215	12276.5234	13159.374	14387.3428
0.4003	17730.9609	15189.7568	15762.8623	13311.1719	16487.0898	13863.0322	14578.4805	13913.5059	19118.8672	14687.46	18986.3047	18992.1133	17785.0801	14184.5859	15658.8877	14501.6055	14994.7402	15028.9111	15098.2754	14191.5488	15365.499	18204.6895	18082.0059	18754.1445	10858.8486	14690.874	21395.8945	19195.9609	14659.7441	13849.0449	15507.4717	14692.2305	13263.3369	17301.6348	20066.8906	15019.6426	15831.1318	14751.293	15643.4834	16456.0781
0.5337	16257.3438	15647.6025	15958.04	15191.5723	16187.8135	16356.3867	14625.8047	14678.3174	16565.0078	14992.7754	19159.0938	17198.5742	21264.3555	14076.6914	16777.5703	17016.6895	16884.1523	16431.7422	13815.8594	15140.543	19492.0762	22977.1152	20011.0957	18568.8184	12348.8076	16506.7559	19301.5098	16133.3086	16332.6211	15471.6846	18231.4668	17986.0566	14801.624	18565.7891	19204.1875	16382.1904	14978.5557	16924.2168	17151.0605	17492.8594
0.6671	14222.7559	15497.748	14832.0059	20537.1797	14166.5742	19003.7012	14125.835	14401.3828	14660.9443	13800.1709	17238.0547	15199.2148	17506.4727	12531.4424	16297.9561	21333.3574	17429.9453	15363.6074	13206.5293	16123.7129	18978.2871	22242.6016	18339.7422	17662.5879	14146.9824	16792.5391	17770.2148	13913.9326	16608.7227	13985.7441	21610.9453	17393.6797	15814.7109	17403.6875	15452.2363	15344.4912	13455.2197	17883.959	17709.8652	15604.918
0.8005	13717.0996	13478.6514	13340.999	19924.4609	13237.0166	18246.2207	13686.918	13550.6387	14650.9033	12197.7842	14874.9863	13981.5684	14630.3525	11873.6699	15205.1289	21475	17612.9082	14443.416	12647.7334	15649.9941	15268.5576	18436.1992	14881.3916	16885.4492	14653.4609	14841.1631	15284.3369	13985.3926	15909.9668	12062.6455	20998.6914	14863.4824	15711.9814	15953.2041	13608.8818	14514.458	12751.3467	15409.2539	15502.9131	13550.6094
0.934	13095.1211	13668.2197	13092.9824	18685.7676	13130.3828	14894.2656	13318.2393	12904.958	13643.2959	11800.2373	13726.7012	13671.7754	13853.9141	11693.3105	13635.3096	19845.3438	16765.6875	13692.4248	12120.6572	13415.2686	12926.9346	15056.7822	12696.5273	16954.209	13406.6914	13043.5273	15288.915	13658.2891	15622.3789	11602.1934	19085.043	13782.2158	13849.8643	14173.5195	13504.8506	13704.7461	13586.5293	14342.2715	14656.749	12442.0088
1.0674	13773.8105	14249.3086	13324.7764	16453.252	12956.3662	12995.2236	13571.0674	12514.9805	13400.0303	11977.6396	13732.9209	12998.1953	13181.4912	11418.4053	12914.2002	20577.3125	15436.792	13596.7256	12607.7549	12632.8418	11780.9893	14552.8408	14000.6865	15886.0732	13165.0586	12502.3262	15873.9521	15000.623	15348.6602	11828.2754	17552.2754	13106.1641	13414.8789	13992.8604	12931.4697	13452.3779	13670.0518	13525.8242	13486.9219	11706.9541
1.2008	14552.084	13297.0928	13476.46	16100.8779	12961.0654	12434.75	12968.6279	13497.2373	13212.3838	12649.0537	14611.917	13582.6797	12687.6641	11485.4004	12287.165	18323.1523	15049.0889	13770.3936	12696.9971	12351.4512	11585.9219	14873.9365	16655.6289	15327.3154	12619.8193	12479.0537	15467.8848	14457.0615	15668.5781	12319.958	16767.8711	12575.4141	14173.2598	13693.2393	12336.4951	12876.8018	13590.2188	14462.7715	13598.0264	11429.709
