x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_11_4g	Y_20180224_15102_13_10_S_g	Y_20180224_15102_13_2g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_17_1_S_g	Y_20180224_15102_17_5_S_g	Y_20180224_15102_19_9g	Y_20180224_15102_2_5_S_g	Y_20180224_15102_2_8g	Y_20180224_15102_20_9_S_g	Y_20180224_15102_22_2g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_26_4g	Y_20180224_15102_27_9g	Y_20180224_15102_28_8g	Y_20180224_15102_29_1g	Y_20180224_15102_3_1g	Y_20180224_15102_3_2_S_g	Y_20180224_15102_4_4_S_g	Y_20180224_15102_5_4g	Y_20180224_15102_7_1g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
0	42175.668	35537.973	33146.418	33115.441	38231.711	33498.582	35507.848	32310.482	38550.195	33116.125	37173.406	36922.477	49997.316	38403.578	36761.391	39704.031	39036.277	34334.879	37950.949	35481	34241.598	35825.164	37127.051	35844.652	34450.566	35830.414	35487.027	34513.129	38056.461
0.1334	40969.508	34379.047	31841.297	32939.77	37850.926	33150.887	37499.91	32174.09	37173.391	31957.234	39478.898	34871.594	45131.516	39397.605	36272.246	38742.43	38046.262	35386.504	38833.59	34813.605	34099.98	36877.156	35526.227	36879.574	33823.297	36822.004	34985.355	33500.125	39009.906
0.2668	42429.328	36062.461	31857.93	33235.785	37250.625	33489.219	39807.312	30802.684	36106.43	31836.764	39879.684	35250.16	38679.391	41479.652	35886.609	40539.082	38388.797	36979.07	40439.855	37559.152	33246.301	36769.656	35213.742	37422.445	35311.613	37774.023	34775.414	34801.414	37370.066
0.4003	41499.328	35419.336	32940.223	34109.508	36279.531	34406.465	38988.457	31813.295	36349.602	34138.797	40618.695	35082.051	35499.168	38372.098	36824.535	39566.367	39309.426	37857.93	39402.949	37522.172	33271.602	36510.496	36125.199	36174.688	35192.625	38628.531	34492.961	35622.164	38425.027
0.5337	40450.395	34312.496	33156.492	32520.244	36849.531	33221.793	37918.785	30342.061	36680.422	33636.336	39833.625	34200.039	34099.98	39369.605	37916.723	38381.453	38543.75	37912.34	39853.492	36849.141	34298.668	36421.379	35968.984	36131.93	34134.32	40188.02	34681.648	36268.461	40847.844
0.6671	40924.945	35083.285	32322.816	34092.934	38699.441	34523.59	37551.195	31540.447	35745.723	32621.869	40443.59	34429.656	34110.414	39850.488	38650.055	37712.84	39389.098	38904.934	41693.797	37391.496	34742.512	36218.949	36093.977	36772.879	34131.805	40144.453	36970.883	35861.414	38663.758
0.8005	40613.602	36401.414	31417.238	34983.316	40027.156	35020.684	36352.758	32394.135	35968.023	33933.801	40925.094	35775.91	34202.047	37602.16	38982.285	38899.574	39756.586	39050.492	41206.078	35803.871	35584.043	36222.926	37008.371	36262.578	33248.035	38791.902	34999.621	34649.727	39900.68
0.934	43451.539	34098.77	33864.672	34176.297	40202.418	34859.965	38613.82	33245.613	38234.281	33569.602	42034.207	37856	33681.719	37483.016	38847.797	39710.305	39798.508	40061.027	39502.789	37165.938	36500.008	37807.398	37410.898	36927.02	34968.738	40791.902	36383.75	37123.113	39258.836
1.0674	44127.555	36045.121	33683.906	36321.48	41748.809	34971.551	38730.008	32903.5	37735.836	33748.477	41379.723	38056.934	33734.945	38722.844	38361.68	38612.227	40819.543	40623.367	42581.344	37329.184	35511.137	37625.137	36235.797	36653.484	35089.316	41177.891	35912.297	36902.504	39256.051
1.2008	43914.66	35662.902	31778.477	36314.477	40547.957	35444.809	38548.875	32741.545	36993.84	34104.262	41980.324	37910.699	33877.555	39208.027	39828.16	38801.898	40425.48	39497.098	42381.031	36247.848	34854.742	39043.91	36515.711	37023.094	35644.766	41652.223	37205.23	37332.164	40231.809
