x	Y_20180130_15100b_1_4g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_11g	Y_20180130_15100b_13_1g	Y_20180130_15100b_14_1g	Y_20180130_15100b_15_11g	Y_20180130_15100b_15_4g	Y_20180130_15100b_16_10g	Y_20180130_15100b_16_6g	Y_20180130_15100b_16_8g	Y_20180130_15100b_17_1g	Y_20180130_15100b_18_13g	Y_20180130_15100b_19_14g	Y_20180130_15100b_19_5g	Y_20180130_15100b_2_10g	Y_20180130_15100b_2_11g	Y_20180130_15100b_2_3g	Y_20180130_15100b_20_6g	Y_20180130_15100b_21_4g	Y_20180130_15100b_21_9g	Y_20180130_15100b_22_13g	Y_20180130_15100b_22_18g	Y_20180130_15100b_22_7g	Y_20180130_15100b_23_11g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_9g	Y_20180130_15100b_24_8g	Y_20180130_15100b_3_1g	Y_20180130_15100b_3_3g	Y_20180130_15100b_3_9g	Y_20180130_15100b_4_5g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_23g	Y_20180130_15100b_5_24g	Y_20180130_15100b_6_1g	Y_20180130_15100b_7_11g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_5g	Y_20180130_15100b_7_8g	Y_20180130_15100b_9_10g	Y_20180130_15100b_9_4g
0	34829.965	31967.576	32497.598	36506.773	32501.031	40342.324	34944.777	38951.047	36029.738	37856.016	37202.992	37873.738	39383.551	34869.961	37305.289	37956.164	34173.391	35907.602	38950.621	37937.047	38587.973	33720.273	39520.543	33419.055	37485.516	36364.895	36238.984	39996.074	37521.031	39964.797	35917.055	33917.309	36484.906	38514.551	36890.074	37414.031	36718.719	33354.363	31624.658	39287.469	38716.238
0.1334	34957.219	31342.361	32749.457	36308.074	33085.387	37455.719	35493.375	37739.027	38099.566	40676.402	36365.715	38473.652	42058.535	34304.484	37298.844	38775.629	35473.652	37353.59	38794.863	38785.07	40651.504	34074.586	40451.258	33617.395	38269.84	38556.91	36597.16	37447.73	38161.414	38339.242	36105.938	34597.789	37841.422	38925.605	36703.59	37859.617	37476.812	33814.125	30414.736	39574.723	36729.809
0.2668	33159.109	31406.422	33400.52	36988.859	33746.738	37636.715	37272.84	37871.277	37530.223	39879.719	36509.691	37994.945	43233.758	34016.309	36705.328	37919.816	33648.238	37365.992	40461.219	39068.402	39800.145	34142.105	41073.055	32086.336	37283.086	38157.332	37399.793	37298.945	39451.301	39505.145	35602.348	33207.117	36311.492	39882.594	37888.582	37002.414	38183.184	34949.371	30817.824	36035.172	38481.805
0.4003	33771.406	32001.768	32070.715	37420.164	35087.844	39025.93	35077.723	38259.238	36699.832	40439.609	35547.406	38659.359	41171.039	34217.281	37560.75	36925.848	35155.238	37603.867	39901.16	38499.641	40215.453	32727.045	40242.832	32440.846	37521.129	35973.637	37545.562	37457.633	39895.242	38503.102	37048.172	31702.428	37369.664	40221.406	37166.633	38081.449	39030.832	33737.262	31746.064	38671.273	38979.555
0.5337	33968.723	33080.941	33056.668	37854.793	34724.297	38707.457	37847.266	39716.293	36900.086	40236.203	34455.016	38533.453	40014.281	33560.137	38596.633	37418.066	34757.004	36479.047	38987.27	37744.801	38835.004	34499.504	39316.328	33832.434	36694.684	37642.707	38769.957	39027.43	37762.098	38496.738	35344.27	32619.26	37229.773	38903.051	37549.438	36988.492	37854.691	31724.977	31290.52	38780.207	36704.762
0.6671	35479.555	33085.062	33319.176	36654.488	33167.383	38840.871	36963.953	37567.703	37074.223	38004.816	35977.641	37419.34	42483.504	35569.094	39052.84	37095.656	34519.594	38215.02	37832.227	37348.555	38202.699	35148.977	39135.004	33454.773	36270.961	37080.566	37137.02	38213.574	38942.109	40559.152	35755.164	32481.434	37059.594	39774.453	37146.035	38745.562	39265.508	33215.719	31682.527	38196.664	37194.48
0.8005	35761.207	32733.643	31660.932	38519.129	33886.312	38457.148	37191.211	38384.773	37664.082	38617.016	36226.992	38802.152	43974.711	33449.434	38615.539	36843.672	34738.648	37279.809	39243.883	37374.203	39632.508	33989.82	40278.484	33980.641	37018.625	39194.477	37741.977	37867.691	38510.016	39601.922	35314.055	31751.346	38609.656	40611.062	37095.105	37152.816	39108.059	33739.496	31663.486	39707.922	37368.062
0.934	34828.777	31410.484	34121.93	38481.113	32547.008	39993.703	37041.684	39454.215	37037.418	40295.918	36981.82	39373.156	41995.598	34789	38013.867	36472.031	35474.414	36272.383	39745.5	37930.781	40083.062	34998.137	40489.41	33197.637	36942.988	39652.902	38000.637	37503.781	37432.227	40095.711	34245.781	31777.537	37572.266	39796.336	36870.211	38286.723	39732.648	32498.943	31102.887	38012.047	38895.5
1.0674	34823.605	32916.148	33959.477	39306.719	32765.625	38392.211	36440.871	39464.395	37183.07	39872.254	37127.77	38744.973	40509.684	33925.945	37938.484	37135.801	34980.32	37422.016	39221.543	38525.559	38234.383	34301.438	38291.914	33943.812	38799.27	39161.633	37137.207	38204.445	37680.82	40851.934	34695.484	31837.172	38492.816	39545.461	35245.406	36935.695	40609.559	33869.672	32946.234	39792.262	38493.301
1.2008	35551.516	30844.047	33617.066	39941.785	32856.84	39329.09	35979.613	41493.484	37737.574	41248.035	35286.234	37619.773	39401.711	34429	38716.184	36463.234	33924.941	36314.641	38832.082	38850.16	37370.512	31721.984	40097.691	33593.613	37437.578	39164.234	37219.855	38317.051	37447.625	40652.43	35430.191	31608.086	39254.113	39644.75	36579.305	37703.371	40425.117	34150.594	32964.5	36987.062	36912.152
