x	Y_20180224_15102_14_1g	Y_20180224_15102_14_3g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_5g	Y_20180224_15102_15_6g	Y_20180224_15102_15_7g	Y_20180224_15102_16_1g	Y_20180224_15102_16_4g	Y_20180224_15102_17_6g	Y_20180224_15102_19_9g	Y_20180224_15102_1_2g	Y_20180224_15102_21_5g	Y_20180224_15102_21_8g	Y_20180224_15102_22_3g	Y_20180224_15102_22_5g	Y_20180224_15102_23_1g	Y_20180224_15102_24_3g	Y_20180224_15102_25_11g	Y_20180224_15102_25_14g	Y_20180224_15102_25_7g	Y_20180224_15102_27_9g	Y_20180224_15102_29_5g	Y_20180224_15102_2_4g	Y_20180224_15102_2_5_s_g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_6_2g
0	13838.077	23122.832	13285.034	15479.74	13873.448	14035.932	12381.284	13931.752	12548.723	14913.225	14225.845	12758.52	14235.473	16901.477	13023.719	14948.855	12809.858	14051.453	12484.698	11596.121	14058.086	12776.606	12699.015	12507.172	18326.449	14182.527	12711.158
0.1334	15898.52	25377.416	14141.689	18676.66	17364.428	16334.946	14574.937	15616.46	14813.159	16930.346	15370.258	13410.283	16570.98	16968.145	13799.742	16698.744	14677.441	15648.117	14414.212	11794.54	14554.66	13472.654	13920.758	14730.189	19864.43	15283.091	14864.7
0.2668	19589.986	27821.738	17443.418	25542.453	21158.498	18615.783	17320.117	22107.105	18121.211	20258.324	17941.287	17019.967	22008.76	19288.006	16647.824	22473.758	19364.176	19939.445	17727.885	13257.534	17389.416	15387.933	18795.746	18648.814	24351.162	17850.139	17972.732
0.4003	22909.709	25851.477	24994.861	32015.154	24314.527	19672.561	20514.109	32234.027	26976.709	21319.762	21153.289	22992.643	25446.104	22179.17	21486.451	33113.867	27837.48	27117.482	23099.664	15993.793	22421.963	19327.123	23070.42	20920.531	28688.379	21715.758	22297.756
0.5337	22438.18	23872.783	36503.141	36662.141	23964.982	17544.67	21802.547	34302.973	32682.697	20429.17	25035.613	27077.055	24819.078	21271.65	26664.986	39528.887	31539.219	32099.176	23919.271	18294.518	29211.721	22987.352	22918.049	21093.963	27253.234	23938.711	24670.686
0.6671	20603.869	21828.596	38200.484	35485.266	22191.393	16393.84	19626.939	32198.781	30567.039	20590.633	24584.67	23855.188	21534.824	19531.729	27865.535	39658.645	28114.088	31495.037	22611.629	17575.064	29075.727	23916.586	19854.158	19661.891	22982.627	23384.697	24314.166
0.8005	20402.844	22195.215	32731.861	30300.98	20845.043	16767.299	17368.537	28214.248	24217.541	20912.66	21614.244	20401.768	21136.947	18151.041	24281.611	33601.086	25301.289	28731.24	21407.574	16161.531	24137.971	23849.008	18866.098	18918.049	20427.787	21953.775	22396.537
0.934	18497.105	21688.385	30557.934	27342.77	21007.375	16944.824	17421.699	26205.521	22108.834	20062.301	19826.695	19657.676	20641.504	18037.986	21637.328	25145.924	24197.307	24617.643	19907.975	14352.901	22766.182	24652.285	18873.969	19131.729	20864.607	20146.416	21431.961
1.0674	18195.066	21870.846	29673.223	27801.477	21858.668	16103.007	17150.928	24521.791	20985.086	19207.844	18975.594	20507.803	20284.236	18378.004	18482.729	21936.479	26015.385	23784.781	19380.07	14914.515	21430.846	25089.367	18144.484	18058.283	19914.787	18057.518	20286.344
1.2008	18852.734	22298.672	28250.623	28701.359	21526.318	16814.24	17985.086	24241.633	19704.074	20069.119	18213.721	20256.545	21147.107	18461.045	19402.295	18898.217	27044.592	22346.471	19096.949	15807.89	23289.98	25822.365	17984.311	18151.184	18758.047	17604.822	20918.125
