x	Y_20181208_15693_10_3g	Y_20181208_15693_10_8g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_5g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_7g	Y_20181208_15693_18_6g	Y_20181208_15693_19_5g	Y_20181208_15693_3_7g	Y_20181208_15693_4_6g	Y_20181208_15693_7_5g
0	12471.7939	12765.2637	10693.4346	11647.3643	11662.7217	14792.4609	10994.5068	10551.2656	12653.7451	13156.6104	11340.6221	11894.2256	11388.3301
0.1334	13226.9307	14909.1963	11928.9482	12920.7266	11884.3965	16446.1562	11139.083	11156.8975	14176.6973	13123.9912	12545.125	13767.6602	12075.2041
0.2668	14768.543	18709.9492	12356.2891	14772.377	13121.5078	15551.9766	12255.5908	11869.9805	16026.2686	14328.7451	13948.3174	15769.7051	13510.0361
0.4003	15471.0107	20061.4316	14612.9209	15876.7734	14280.9492	14453.9385	14171.6455	13647.3818	19577.9395	16454.5957	13956.0908	14217.6396	15782.8721
0.5337	15488.8535	19200.5254	15594.249	14490.3643	13438.7402	13787.1836	15857.2412	15174.3301	17213.6035	18079.8516	13343.1904	13859.6592	15453.1875
0.6671	14358.1416	16514.8535	15643.7559	12904.667	12426.7988	14122.543	16187.627	15005.5684	14682.2842	17536.3516	12867.7256	12434.0273	13351.3779
0.8005	12985.3486	15717.7119	15693.7002	12231.9229	11961.6523	14078.6328	15413.9424	15498.6836	13864.3994	16427.9258	12744.1934	12598.623	13253.7178
0.934	11578.8467	14405.3184	15813.8516	12541.8604	11842.2031	14469.8779	15021.2529	13653.0762	13682.7549	14113.3877	13021.8828	12544.2012	13250.8154
1.0674	11357.2324	14099.0879	15589.9482	12066.8281	11821.3428	13695.5088	14618.8848	12215.9277	13995.5635	13278.2012	13382.459	11467.75	13636.5771
1.2008	11800.1084	13562.9863	15691.999	12491.6699	11517.4248	12666.2842	14692.7246	12104.7324	13903.749	14705.709	13086.6221	11614.2109	13418.1201
1.3342	11066.793	13113.6484	14490.3945	12170.2871	11130.8418	12345.8789	14071.9463	12120.0518	12852.2949	14897.1074	13208.2646	11305.7607	14157.209
1.4676	11536.6621	13175.0518	13711.2451	11602.3281	11529.958	12666.8965	13787.2412	11299.7334	12696.0752	15851.834	12437.9775	10797.75	13258.6934
1.6011	11936.2373	12471.4062	13138.6758	11602.3496	11734.1553	12341.0703	13899.5459	11709.8154	12082.7305	15899.1611	12960.373	10584.0635	12142.1436
1.7345	11529.7061	11944.8926	12429.6367	11944.667	12219.1143	12290.5547	13581.2803	11605.5127	12268.8555	14984.3359	12381.3223	11353.1865	11993.3457
1.8679	11447.1025	11878.127	12548.6377	11823.1836	12238.8457	11919.8291	12988.5117	11192.7168	12285.4365	14330.2002	12125.375	11131.2998	11735.6758
2.0013	11933.6318	12362.8262	12910.417	11643.4014	12476.7969	12519.9873	12951.5264	11741.5	11659.8066	13018.9941	12005.4404	NaN	11860.2119
2.1347	12356.7812	12208.2188	12132.5615	11517.5527	12940.1377	NaN	13256.4629	11774.1182	11683.7959	12788.668	11378.5771	NaN	11817.3301
2.2682	12237.7861	12034.2129	12513.3516	12004.1504	12749.2861	NaN	12651.334	NaN	NaN	13285.2695	10521.3535	NaN	NaN
2.4016	12211.9814	NaN	11954.5879	11497.1562	NaN	NaN	12660.5195	NaN	NaN	NaN	NaN	NaN	NaN
2.535	11710.6943	NaN	12277.708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	11774.3789	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	11801.5146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
