x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_6g	Y_20181208_15692_30_8g	Y_20181208_15692_31_7g	Y_20181208_15692_32_7g	Y_20181208_15692_33_10g	Y_20181208_15692_33_12g	Y_20181208_15692_33_13g	Y_20181208_15692_33_3g	Y_20181208_15692_33_4g	Y_20181208_15692_33_9g	Y_20181208_15692_36_1g	Y_20181208_15692_37_17g	Y_20181208_15692_37_6g	Y_20181208_15692_38_10g	Y_20181208_15692_38_16g	Y_20181208_15692_38_9g	Y_20181208_15692_40_13g	Y_20181208_15692_40_2g	Y_20181208_15692_41_4g	Y_20181208_15692_41_6g	Y_20181208_15692_42_1g	Y_20181208_15692_42_7g	Y_20181208_15692_43_17g	Y_20181208_15692_43_20g	Y_20181208_15692_45_15g	Y_20181208_15692_45_1g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_6g	Y_20181208_15692_46_15g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_46_9g	Y_20181208_15692_47_12g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_7_12g	Y_20181208_15692_8_7g	Y_20181208_15692b_1_1g	Y_20181208_15692b_1_4g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_16g	Y_20181208_15692b_11_19g	Y_20181208_15692b_11_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_17_4g	Y_20181208_15692b_2_2g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_2g	Y_20181208_15692b_7_5g	Y_20181208_15692b_8_3g	Y_20181208_15692b_9_3g	Y_20181208_15692b_9_6g
0	28199.8164	29707.7461	30800.8184	29957.2617	29835.791	28564.8457	26030.0234	32294.3145	31559.2148	30447.4043	30500.5156	28771.3535	28648.9551	26126.9395	26202.4922	30256.5	29825.1387	26990.2871	33249.9805	27276.2793	28885.459	29645.7793	24446.5762	28955.2148	29729.8965	28166.7422	28998.5039	24484.6172	29049.9844	29154.4336	25743.2227	29500.0098	28620.3711	29529.2227	30611.873	33307.8906	25276.4297	32695.0488	25843.1719	26389.0664	30548.3477	34858.8398	27572.8965	25638.002	34964.0898	31932.8105	27643.0234	30603.7617	31214.1621	30089.5293	29305.416	28578.1797	30031.8438	31487.6504	32169.6641	30103.5488	29910.5137	28110.832	31695.373	28525.1191	29825.1426	31297.6035
0.1334	27964.1289	30371.4375	30542.248	30203.7891	30612.1855	29728.457	26168.0469	33980.8047	30687.0781	30472.498	31318.8281	29136.8848	28493.0566	25986.168	27150.0332	30957.3652	29020.9375	27531.8027	33080.4297	28934.0117	30314.7773	29471.6035	24452.7129	30832.2441	29970.2461	27025.2148	30035.3496	24490.709	30234.957	28970.9453	25819.5664	28557.373	28218.3164	29317.2656	31581.791	32939.4336	25811.2773	33281.7109	26197.9453	27243.6914	30001.4688	32760.5938	29247.1953	28174.1992	34430.0273	31701.668	28371.4805	28833.2832	31548.5039	31587.6895	30702.8613	27240.6953	32289.4043	31564.5586	31677.4453	30237.6328	28260.6094	28673.4609	32958.7695	27591.0156	29359.9375	31094.2227
0.2668	30215.1816	31782.832	29315.5469	30314.4316	30010.4707	30150.9707	26985.709	32986.9648	30956.4082	29884.623	32017.1895	29071.3789	28064.5059	25080.2148	28193.4922	30108.6074	29122.3496	26447.2539	32050.0645	27684.8457	28861.707	28146.9277	26303.0059	29753.1328	30631.2949	27303.8711	29594.3359	25787.7441	28377.1113	28789.7227	26224.1035	27779.248	28021.2852	30271.3789	30583.0508	32674.7734	27583.1504	33640.6367	26761.252	27034.1914	31101.1797	32686.1328	28937.75	29108.6289	33072.8789	30562.0918	28104.6484	29889.543	31516.1816	30143.707	29025.248	28602.1172	30279.3945	32368.8105	31968.8105	29064.082	29197.8906	29608.0586	33106.2031	27844.4473	30944.498	30637.2148
0.4003	29079.0176	31338.873	28552.4551	30980.3301	29131.8184	30163.2812	26010.1777	32096.7734	31007.75	29970.8281	31144.8516	26806.543	28293.2168	24802.7324	28804.873	28959.4453	29325.7051	26282.7891	33093.543	28008.0254	29855.9785	30344.8379	25188.8789	29890.4902	30282.8164	26992.1582	28704.7227	25407.4805	27876.3945	28983.9355	25477.7656	28544.0801	30706.6621	29760.0488	29596.375	31938.5527	25911.0449	32174.6855	26375.1797	26450.1641	30433.207	32135.3945	28669.9746	27998.6797	32481.4023	29833.248	27816.1465	30075.3027	30354.7793	29786.2148	29265.6895	27833.5117	31010.7012	33062.7188	30655.6934	30154.8633	29098.2129	30069.9336	31920.582	27602.1016	29427.9727	31976.3613
0.5337	28245.9277	32545.0586	30094.1973	29705.2852	30660.5957	30231.1934	26872.002	32187.9629	31876.207	31109.1758	32267.7793	28905.6094	27476.8691	24484.1934	28386.457	29034.9102	30232.8008	26350.8535	32486.748	27721.8145	30078.1523	30318.3555	24807.3047	28679.0938	30119.5859	27657.5742	30962.5996	25408.5957	29351.1758	28227.9453	26990.0762	28150.8203	30833.6875	29490.877	30123.7285	32135.7734	26348.3242	32175.6875	26562.7051	26716.6367	31467.043	32143.8535	28251.0547	29146.1016	33524.8203	29142.4785	26344.0059	31809.8652	31251.7891	30893.3242	29528.6406	28138.1875	32553.2539	32536.8672	32140.4785	29008.7383	30107.5996	30022.4102	31702.8457	27591.5508	29577.9531	32312.9082
0.6671	29732.7891	31289.4297	30897.3145	30296.5781	29739.4492	29730.7754	26299.8984	32315.7734	31835.5898	30980.2383	30308.6543	29254.5762	25879.6172	26292.084	26981.6406	29155.3848	30877.748	26012.1484	31743.3242	26627.1777	29741.2168	29027.9961	25800.8418	30540.209	30511.9785	28096.8457	30873.6387	26396.2734	28700.123	29515.3945	27392.7324	28657.8848	29310.1348	30053.9902	30194.709	32427.084	26979.0918	31989.9648	26174.4863	27216.2324	31418.7832	32237.125	29012.1836	28942.748	33997.4531	29936.082	27388.25	31171.3047	31252.2363	29379.9531	31447.6875	29727.0859	33050.7773	31199.666	32723.7754	30510.459	30382.3633	29034.2012	34208.4961	28343.6328	31122.4609	32181.4961
0.8005	29980.3633	30442.2441	30212.3926	29310.0215	29617.4648	30584.6621	25518.1406	32914.1172	32864.5547	31192.5527	32325.291	28545.0723	28223.4395	26261.5176	27013.793	28288.0684	30091.2969	26526.6816	33402.6055	27716.1582	30174.625	29325.666	25065.1562	30398.9707	30155.8887	27732.0371	30924.6445	26596.5723	27853.1426	29030.4668	27475.8418	29154.5449	28500.5566	29648.6348	30938.2051	32383.7852	25572.7559	31292.5312	25549.0527	26835.9043	31569.6055	32268.0391	29200.7852	27936.6543	33668.5352	29113.0156	27258.8164	31474.9316	32106.8066	29393.6836	30382.4727	30627.1895	34016.7422	32011.5547	32712.1621	31270.3125	29036.6016	31056.5957	33158.0469	30998.9121	30710.668	31902.8027
0.934	32131.4668	29879.3125	29265.0957	28948.4766	29500.5977	30711.9746	24879.9062	32644.7832	33087.6875	32422.3672	33952.4062	27810.668	27177.4902	26241.877	28679.418	29442.4141	29764.791	27108.7148	32938.2031	26752.8613	29871.5898	28751.0117	24252.4395	30227.5332	30818.4492	27173.3672	30586.9121	25267.5098	28154.5	29743.5391	27724.8242	27971.623	30035.9688	31217.0449	29300.2676	31223.4551	26838.3672	31598.0469	25782.9746	26889.3066	31118.7715	30151.375	29624.1562	28439.6504	32385.4023	29290.6035	28048.2207	31071.5684	31533.1504	29903.7852	30876.502	29563.5176	32183.6777	33930.5977	31748.7246	31229.041	27714.4883	31113.5234	33668.125	29319.0586	30387.959	32436.5156
1.0674	33073.6562	30998.5879	29949.5898	30673.6543	28849.6953	31539.8145	25535.666	34411.7773	32329.9355	31124.8047	31804.8457	27756.959	26516.041	26985.5371	27174.1914	29855.9883	30508.4551	26721.9297	33753.2539	27518.9961	29625.4023	29061.166	25086.5332	30511.8945	29650.5215	26507.6934	31745.2207	25515.4512	28221.4883	29392.8359	26488.7441	28543.0566	30124.9551	30834.8301	29522.668	32722.6465	25691.9512	31197.2422	25477.7773	26558.4395	31299.8574	30661.4492	31745.6094	28669.5137	33425.1562	30300.3535	28351.1621	31254.6895	30010.0371	29647.7031	30196.1016	27722.9609	32094.8125	33898.5664	32151.0801	31872.4258	28567.3789	30508.5059	32854.75	28683.8066	30865.6953	31453.832
1.2008	32448.0195	30424.1055	29628.2773	30042.8398	29269.543	29831.9824	25598.498	34901.5508	31581.5488	32506.2773	31887.5371	28466.0234	26797.5527	27685.3379	28525.9414	29239.1797	30477.4668	26957.707	32127.9609	27525.5527	28637.5781	28950.9082	26097.709	29963.498	30994.6094	27527.1953	31342.666	25052.2637	28093.8086	28419.6133	24993.0098	28533.1211	29361.3633	29878.8047	28860.543	32076.0938	26036.5566	30906.041	25687.4219	25224.2305	31380.791	29589.707	31045.8398	28816.0117	33402.6016	28246.0352	28343.2891	31341.8984	29801.9453	29824.4941	31469.752	28936.6797	32111.0547	33572.6289	33305.3438	32033.8281	30025.2695	32744.5996	32026.1855	28810.8809	31468.6387	30639.6758
