x	Y_20180130_15100b_11_12g
0	12142.12
0.1334	12770.852
0.2668	14906.138
0.4003	17121.74
0.5337	16353.999
0.6671	15957.895
0.8005	15554.309
0.934	15078.445
1.0674	15257.055
1.2008	15625.835
1.3342	16350.479
1.4676	17188.488
1.6011	17264.838
1.7345	18172.445
1.8679	17687.311
2.0013	17446.16
2.1348	17018.611
2.2682	16025.447
2.4016	15569.686
2.535	14518.35
2.6684	14387.042
2.8019	14261.154
2.9353	13747.249
3.0687	12825.08
3.2021	12367.024
3.3356	11624.775
3.469	12382.498
3.6024	NaN
3.7358	NaN
3.8692	NaN
4.0027	NaN
