x	Y_20181208_15693_1_1g	Y_20181208_15693_1_9g	Y_20181208_15693_10_11g	Y_20181208_15693_10_1g	Y_20181208_15693_10_3g	Y_20181208_15693_10_7g	Y_20181208_15693_10_8g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_5g	Y_20181208_15693_14_10g	Y_20181208_15693_14_12g	Y_20181208_15693_14_8g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_15_2g	Y_20181208_15693_15_7g	Y_20181208_15693_17_3g	Y_20181208_15693_18_5g	Y_20181208_15693_18_6g	Y_20181208_15693_19_2g	Y_20181208_15693_19_5g	Y_20181208_15693_19_6g	Y_20181208_15693_2_3g	Y_20181208_15693_20_2g	Y_20181208_15693_3_2g	Y_20181208_15693_3_7g	Y_20181208_15693_4_10g	Y_20181208_15693_4_6g	Y_20181208_15693_5_10g	Y_20181208_15693_5_15g	Y_20181208_15693_7_3g	Y_20181208_15693_7_5g	Y_20181208_15693_8_2g	Y_20181208_15693_8_6g	Y_20181208_15693_8_9g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g
0	10779.6367	12520.5469	11630.3633	11689.8662	12471.7939	9840.627	12765.2637	12982.3398	12095.1904	12110.8721	10693.4346	11647.3643	11662.7217	10979.7666	12213.0039	15604.8379	14792.4609	10994.5068	11150.9355	12013.1562	12281.5215	10551.2656	11668.8984	10796.4609	12653.7451	10563.0986	13156.6104	12145.5273	11895.6406	12493.75	11230.0371	11340.6221	10730.9023	11894.2256	12189.8721	11109.2432	14927.1748	11388.3301	9676.418	10835.7559	11316.3477	11439.4531	13352.7246
0.1334	10875.6729	13636.668	12888.2764	11764.1475	13226.9307	9841.9346	14909.1963	14375.2803	13470.5127	14144.2754	11928.9482	12920.7266	11884.3965	12574.0908	13837.3184	17951.4766	16446.1562	11139.083	11946.375	11535.585	13616.6611	11156.8975	13725.6084	11199.2207	14176.6973	10764.1328	13123.9912	13043.0273	11454.8652	14024.4688	13285.042	12545.125	11205.7705	13767.6602	13151.1846	10950.4902	17675.6953	12075.2041	10626.7842	11013.2305	11614.4961	11596.5801	13702.335
0.2668	12580.8096	15728.0176	14613.7354	12097.6738	14768.543	10170.7412	18709.9492	14917.8047	14608.1279	16538.7891	12356.2891	14772.377	13121.5078	13640.8613	16234.5771	15378.4658	15551.9766	12255.5908	12454.832	12373.2432	15213.6406	11869.9805	17193.3008	11336.1094	16026.2686	11103.9277	14328.7451	15615.3418	12978.4971	15823.8672	13465.25	13948.3174	12050.0381	15769.7051	15304.9531	11024.1182	19263.8926	13510.0361	12145.5293	12265.0547	12633.4238	12986.9287	15860.3076
0.4003	13088.3145	16674.1191	17366.7441	12420.3428	15471.0107	10305.6846	20061.4316	14287.3477	17512.1406	18999.7695	14612.9209	15876.7734	14280.9492	13229.5957	16603.8711	12722.2373	14453.9385	14171.6455	13740.1494	13252.5557	15791.2285	13647.3818	21277.3262	13009.0615	19577.9395	11565.6738	16454.5957	18366.7871	13595.3828	19020.0898	15219.0254	13956.0908	12927.0303	14217.6396	17585.127	11278.8242	16772.5508	15782.8721	14523.5889	13976.8047	13480.9229	15062.21	19941.457
0.5337	15433.624	16699.2266	18451.1895	14351.5117	15488.8535	10497.8125	19200.5254	11961.665	17611.2871	17903.7969	15594.249	14490.3643	13438.7402	13233.9248	13941.416	13489.8477	13787.1836	15857.2412	15923.8193	14294.8271	14657.7598	15174.3301	20578.4414	13892.5391	17213.6035	13739.5088	18079.8516	18826.9102	14054.8242	18132.9727	16104.2236	13343.1904	13633.9668	13859.6592	16832.8164	13467.5391	13737.0479	15453.1875	17465.9258	16271.8232	12346.5615	14976.3018	19702.7285
0.6671	17197.6367	14566.3691	16213.5078	15089.7031	14358.1416	10331.4014	16514.8535	11309.7266	16918.9492	16660.7754	15643.7559	12904.667	12426.7988	12456.8242	13369.7217	14940.5498	14122.543	16187.627	16176.0459	14304.1221	12923.7256	15005.5684	16303.9082	15336.9717	14682.2842	14702.1543	17536.3516	16248.8076	12960.4268	16172.8799	13589.5195	12867.7256	13305.8018	12434.0273	14371.6406	14737.3574	12147.1104	13351.3779	17533.0586	15420.7432	11673.8408	13043.5273	18080.6797
0.8005	16602.5059	12453.3564	14658.4102	14821.1289	12985.3486	10800.373	15717.7119	11426.4365	15708.4004	15603.1357	15693.7002	12231.9229	11961.6523	12591.748	13363.4844	15464.3643	14078.6328	15413.9424	16242.0791	12006.6475	12364.1543	15498.6836	15043.3799	13917.7598	13864.3994	12861.8242	16427.9258	15362.6777	12577.4541	16302.8955	12275.7158	12744.1934	14345.2217	12598.623	13303.665	15158.2734	11604.29	13253.7178	17096.2207	14777.5215	11162.29	11307.4375	17164.3477
0.934	16436.209	12445.6387	13335.2617	13816.2383	11578.8467	10503.7988	14405.3184	11258.6445	14379.0107	15298.8027	15813.8516	12541.8604	11842.2031	12843.1748	13356.0146	14447.6279	14469.8779	15021.2529	16305.9512	11624.7246	11866.8691	13653.0762	14985.9326	14249.2744	13682.7549	12569.9863	14113.3877	14955.8398	12724.2773	15657.4678	11912.0215	13021.8828	14225.0049	12544.2012	13863.7734	15888.2588	12217.6338	13250.8154	16610.7109	14036.0391	11878.917	10968.5312	16186.6104
1.0674	14931.0234	11673.9941	13427.4951	13432.2715	11357.2324	10581.5273	14099.0879	10749.7422	13956.9307	14200.041	15589.9482	12066.8281	11821.3428	13291.501	13814.1953	14169.3389	13695.5088	14618.8848	16503.5977	10889.0859	11955.9629	12215.9277	14219.5664	14607.6406	13995.5635	12414.8008	13278.2012	14450.0674	13314.21	15247.0986	12213.9502	13382.459	13797.4873	11467.75	14503.873	15755.9443	11781.6348	13636.5771	15037.9756	13467.2129	11470.7305	10936.5566	15065.5225
1.2008	14454.1602	11683.0664	14216.0986	13740.5791	11800.1084	10658.3184	13562.9863	11133.085	12721.1963	12253.2109	15691.999	12491.6699	11517.4248	12989.2861	13627.332	14013.0586	12666.2842	14692.7246	16338.1748	10723.0498	12588.1143	12104.7324	13806.7578	15552.8682	13903.749	11941.9082	14705.709	14571.8223	12688.1475	14771.2363	12127.5254	13086.6221	14113.9053	11614.2109	13266.7354	14796.3027	12221.0303	13418.1201	14401.7256	13323.7881	11352.6611	10974.3877	15435.1621
1.3342	12501.584	12366.3447	15687.5234	13935.7363	11066.793	10557.6328	13113.6484	11288.5449	12738.5303	11036.6045	14490.3945	12170.2871	11130.8418	12212.2383	13637.8457	12089.6455	12345.8789	14071.9463	15661.3193	10952.1582	12890.4619	12120.0518	13886.3848	17748.084	12852.2949	12683.583	14897.1074	16435.4043	13371.7822	14433.4082	12736.6191	13208.2646	13660.9932	11305.7607	13274.2559	15042.8145	11908.5801	14157.209	14331.2109	12330.6641	11558.7412	10239.1357	15857.0566
1.4676	11903.2803	12085.1309	16201.8486	13586.6357	11536.6621	11181.04	13175.0518	11039.7637	12824.4268	11105.8516	13711.2451	11602.3281	11529.958	12256.5195	13187.0986	11919.3379	12666.8965	13787.2412	15135.8516	11105.9502	12834.0518	11299.7334	12906.2744	18123.6016	12696.0752	12444.5674	15851.834	17711.0254	14077.0703	13245.8115	13395.5049	12437.9775	12642.1797	10797.75	11645.9443	14690.0586	11715.3086	13258.6934	13378.1895	12557.5146	10609.3271	11121.9482	16224.5078
1.6011	10839.1455	12227.2607	16488.7305	13510.3701	11936.2373	11617.5547	12471.4062	10640.3184	14156.1367	10751.2422	13138.6758	11602.3496	11734.1553	11852.0693	12988.3984	11923.583	12341.0703	13899.5459	15389.1221	10736.4023	11437.4131	11709.8154	12698.666	16550.6758	12082.7305	12688.5566	15899.1611	18752.25	13715.4883	12646.0986	12684.3184	12960.373	11593.1055	10584.0635	11393.0947	15413.3516	11478.6436	12142.1436	12724.875	11793.4893	11177.8203	10671.9395	14963.6074
1.7345	10003.8096	12276.6553	16028.4229	13883.5146	11529.7061	11628.9121	11944.8926	11186.7334	14109.9961	11314.6934	12429.6367	11944.667	12219.1143	10737.6562	12529.8418	11946.3252	12290.5547	13581.2803	14669.5859	11280.5264	10974.6211	11605.5127	11640.3887	14824.2393	12268.8555	12515.6367	14984.3359	17211.2129	14234.1436	11918.708	11938.3721	12381.3223	11449.2627	11353.1865	11177.6514	13304.624	11232.4912	11993.3457	12729.9111	11143.0391	11096.9365	10417.8359	13973.5186
1.8679	9652.4238	11458.9512	14261.3594	12711.5508	11447.1025	10953.5283	11878.127	11057.1221	13260.0391	10890.7529	12548.6377	11823.1836	12238.8457	11266.1436	11376.3369	12254.4648	11919.8291	12988.5117	14108.0088	11370.8066	11160.4316	11192.7168	11316.3779	13583.5889	12285.4365	12993.1768	14330.2002	15943.0576	14238.2139	12099.8135	11866.373	12125.375	11143.0381	11131.2998	11053.3066	13872.3799	11099.6787	11735.6758	11323.1318	10926.0459	10629.5195	10402.1113	12107.8779
