x	Y_20180130_15100b_11_12g	Y_20180130_15100b_12_9g	Y_20180130_15100b_13_2g	Y_20180130_15100b_6_2g
0	36953.824	35375.441	33644.793	37624.055
0.1334	37238.062	35219.863	34526.664	37463.09
0.2668	38375.262	37681.891	34498.477	36815.031
0.4003	37523.242	34720.141	35479.043	36994.621
0.5337	38044.832	35039.137	33808.98	37633.023
0.6671	37266.332	36191.793	34428.062	37546.078
0.8005	36248.141	36958.691	35583.973	38011.516
0.934	36880.391	37711.715	36808.527	38819.055
1.0674	37189.816	35981.77	36578.453	38750.309
1.2008	37268.5	36650.859	37465.059	39725.938
1.3342	37273.715	36657.762	38054.023	40624.762
1.4676	38371.961	36171.582	35391.93	41289.301
1.6011	36496.266	36474.434	35741.434	41147.129
1.7345	39189.781	35622.465	36846.125	40051.004
1.8679	38401.203	34600.648	35762.406	39432.375
2.0013	37683.078	35644.695	33635.172	37298.516
2.1348	37901.98	35729.547	33112.613	38552.715
2.2682	37853.551	33920.734	35064.414	37990.555
2.4016	38444.277	35197.969	35570.281	38932.078
2.535	39609.512	36693.598	39489.898	40928.992
2.6684	45086.047	34062.715	45347.762	44547.777
2.8019	54167.734	34175.027	62687.531	57027.938
2.9353	64889.867	36352.969	71934.008	63938.738
3.0687	65234.84	41391.551	65115.719	54041.348
3.2021	52075.895	47296.551	51578.285	43887.855
3.3356	41511.508	46276.879	NaN	39123.844
3.469	38419.59	40755.168	NaN	38949.801
3.6024	NaN	37513.227	NaN	NaN
3.7358	NaN	34146.742	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
