x	Y_20181208_15692_30_10g	Y_20181208_15692_30_13g	Y_20181208_15692_30_15g	Y_20181208_15692_30_3g	Y_20181208_15692_31_4g	Y_20181208_15692_32_12g	Y_20181208_15692_34_2g	Y_20181208_15692_36_12g	Y_20181208_15692_37_18g	Y_20181208_15692_37_1g	Y_20181208_15692_38_18g	Y_20181208_15692_40_11g	Y_20181208_15692_40_16g	Y_20181208_15692_41_15g	Y_20181208_15692_41_2g	Y_20181208_15692_42_18g	Y_20181208_15692_42_2g	Y_20181208_15692_42_8g	Y_20181208_15692_43_16g	Y_20181208_15692_43_9g	Y_20181208_15692_45_11g	Y_20181208_15692_46_1g	Y_20181208_15692_46_20g	Y_20181208_15692_47_1g	Y_20181208_15692_47_7g	Y_20181208_15692_6_13g	Y_20181208_15692_6_7g	Y_20181208_15692_6_9g	Y_20181208_15692_7_5g	Y_20181208_15692_8_1g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
1.8679	58264.7422	74399.5234	85396.6406	73169.7891	80436.2656	85991	83778.2734	66037.1094	78985.1719	61830.7422	81420.3984	64950.4844	68161.125	54784.375	107190.4375	48438.793	41404.7188	57291.0391	61086.8203	71657.6797	88808.0547	66127.3828	60089.6953	72886.8438	36830.7227	66283.3672	85456.4375	33797.6523	74023.5547	115006.3594	64290.5547	48979.3672	66693.4219	82133.4375	77904.6328	69530.125	65605.0547	82565.5781	40415.0781	91621.2188
2.0013	43928.2305	71692.1797	64160.0312	74611.3125	55839.543	126334.1641	83134.1016	56427.7031	55372.668	48458.1016	80454.9688	46913.7305	62544.9727	39018.2734	87475.2734	69628.8438	57131.6133	51308.1992	49193.6328	77126.0625	75377.9766	56326.043	56561.3359	50431.3086	49989.4727	89669.5859	56648.543	29466.1113	77795.6406	100189.9688	80290.8125	37946.8477	90339.6562	79176.6484	50103.7539	58781.8086	46233.5938	96007.7734	41837.9023	86404.7422
2.1347	36244.5469	52706.0938	43484.9258	55171.418	40767.582	118098.4844	60806.3945	43739.7773	41777.2969	37998.2734	61065.1406	32693.4375	42867.2148	33100.0586	55777.3945	92106.3984	83953.1562	42348.1211	40272.1875	60096.8555	49112.8359	43178.9492	44477.6602	36855.3125	59048.9062	75602.2188	41641.0781	27643.1992	59975.6523	65748.0391	76287.1641	32605.3555	85214.8594	54729.418	38511.0469	45208.6172	40848.5078	92696.4844	38521.3789	59068.3828
2.2682	35107.7852	37846.0547	37281.0469	42213.2734	35526.3047	72549.8906	44433.3398	38266.7773	37128.0742	NaN	44018.0625	28868.4141	31813.7266	29320.8281	45497.0117	86588.9453	78819.8203	37097.2617	36914.3555	43314.0078	38745.6328	33621.2969	33308.3711	32735.168	53888.9648	54817.1992	37233.543	NaN	41768.6992	46354.7188	55255.3008	29119.0996	62357.5664	41214.2188	34769.1992	38717.9961	44562.0352	64980.2227	37198.3789	43254.7812
2.4016	33860.6484	32105.0391	34689.7461	37752.043	32860.1211	50598.6211	36660.1992	35741.1914	34771.9375	NaN	34652.6602	27111.1113	28569.1777	NaN	43659.9492	57592.9922	53842.2969	34622.0117	NaN	35463.7422	36475.2305	31803.8457	30651.6504	30620.6543	41398.4883	43252.1914	35333.4805	NaN	34601.2578	38207.1992	42564.1328	28835.4297	NaN	36619.6484	31440.8008	35636.2695	54116.9922	44016.8555	35335.3633	37623.4258
2.535	33054.9023	30096.1973	32670.2402	33781.125	31889.8848	42211.0312	34118.4336	33286.2617	32925.293	NaN	32880.5469	26367.9453	28312.4785	NaN	52268.0938	41290.9766	37862.0273	31873.9316	NaN	33023.0273	35643.043	32260.7051	30227.877	30461.2363	34180.2266	37015.1367	NaN	NaN	31100.3477	35729.8203	36826.5391	NaN	NaN	35214.4219	32452.0605	NaN	NaN	35667.5078	37564.6719	35571.5234
2.6684	NaN	30090.3945	NaN	33732.6016	31855.9902	41237.418	30311.2676	NaN	33665.4258	NaN	33899.3984	27845.0352	NaN	NaN	NaN	34721.2812	33765.1641	NaN	NaN	32810.5312	33311.6211	30165.4648	NaN	NaN	33384.457	34305.9688	NaN	NaN	NaN	36272.457	34233.4062	NaN	NaN	35149.1797	31718.2812	NaN	NaN	33672.5352	38578.9375	34637.1211
2.8019	NaN	NaN	NaN	32707.541	NaN	NaN	NaN	NaN	33887.207	NaN	NaN	NaN	NaN	NaN	NaN	33659.6523	31605.1133	NaN	NaN	33109.6758	33641.4141	NaN	NaN	NaN	32240.4648	NaN	NaN	NaN	NaN	35377.8086	NaN	NaN	NaN	NaN	31932.5352	NaN	NaN	30925.5508	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31963.6855	29709.373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30517.4395	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32331.0156	30764.6133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
