x	Y_20181208_15693b_1_4g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_2g	Y_20181208_15693b_13_20g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_4_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_5g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_5g
0	30865.3594	29884.9277	30475.5312	27636.1738	30619.5664	30314.5078	29502.5742	31286.6699	29037.3594	26973.3828	28229.4727	26090.4453	30082.4082	30821.9648	32510.4688	31257.1582	26309.2324	29677.3203
0.1334	29690.8633	29996.2832	30616.4336	28046.6699	30956.3066	30360.4062	28777.0859	30191.5586	31278.6484	26794.4648	26635.2109	26368.1465	30478.2793	30969.5371	32390.543	32521.4844	26841.7539	28759.1074
0.2668	30249.6816	29919.4453	30966.1016	27981.0352	29633.4785	29838.0117	28974.1035	29888.9863	31597.7891	25331.9727	26090.1816	28339.8496	28782.8398	31035.8867	32759.2598	31488.4238	27740.0234	29207.8262
0.4003	29569.7734	29584.3496	30959.5332	28153.5254	29158.8828	28533.8145	30461.5664	31926.918	31915.3906	25250.4707	26560.166	27798.4824	27404.9922	31047.6641	33644.5273	32351.5098	28023.5977	28866.1387
0.5337	31008.2285	30204.6504	30968.0605	27084.1562	29674.3145	30502.625	29347.4082	30810.75	29740.502	25231.6465	26046.2539	27583.7051	28257.748	31065.5605	33379.9062	32682.3809	27064.9551	29356.8945
0.6671	30612.2246	30918.9883	30800.4668	26429.3027	29222.9746	31266.625	28643.7109	30241.3242	31398.4219	25472.7773	27496.4121	26799.5234	28395.9707	31715.0195	32596.7383	33599.8906	28370.3594	29333.7227
0.8005	31249.0371	30446.6094	30259.582	26192.2988	29781.7441	28718.3184	29285.9355	30724.2207	29649.0742	25350.2969	26502.627	26618.2168	28445.3555	31534.3945	33070.5742	32667.8555	26098.457	28554.1211
0.934	30093.7207	29254.1152	31479.4199	25696.1523	28283.7227	28962.0176	28817.541	31548.5449	29649.3203	25704.3418	26264.6172	26758.4531	27007.2969	31208.4219	33074.5977	31606.0703	27179.2812	28913.627
1.0674	29916.1484	29904.4766	32856.0117	27336.1621	30226.2695	30291.2656	29279.584	32319.6309	31462.1211	25584.3398	25899.4883	26928.0176	27382.252	31725.4395	33373.4336	32844.957	28525.8496	28940.6035
1.2008	29920.873	30426.9102	31594.2949	27294.625	30504.9395	29707.2246	29123.0605	30867.4629	30897.8223	26812.7812	26941.1133	27835.0176	26522.0078	30727.0801	33034.3281	31768.7207	27433.7988	26942.9473
1.3342	29838.0371	30536.3477	30055.4785	27276.7734	29484.2129	31014.5254	29542.084	30818.6348	30564.8848	27016.1973	27534.459	27759.1035	27238.0605	30002.7402	32593.1367	33288.9922	28405.5273	27479.9492
1.4676	30586.3926	29335.0801	31083.5449	25900.7852	29262.1836	29170.3145	29902.5469	29325.1211	30917.0117	26982.1719	28226.6992	26989.0488	27971.7812	31285.9102	31853.0293	31652.4102	27419.6035	27592.9082
1.6011	31773.959	30359.4805	29789.4629	26606.1816	29428.3828	29963	30048.6152	29893.0391	32143.0684	27309.7207	30865.916	28417.6875	28112.5078	31034.4414	31971.1875	30720.8223	27230.166	28019.9023
1.7345	32227.9199	31758.4668	29442.7012	27970.4609	29938.3945	30156.3301	31711.4766	28849.3574	31859.3965	27359.959	32829.1523	27569.0859	29854.332	30079.5898	32999.7578	32799.8008	28530.1309	28405.5254
1.8679	30839.791	33279.5273	29700.6934	26115.3418	31251.2109	31341.1055	32004.8047	29330.752	34085.8672	27186.2832	38538.5078	27678.6699	32148.5488	30520.7812	32872.4805	31777.709	28793.3125	29617.6328
2.0013	34246.3555	36654.0703	30735.1328	26838.9473	32886.2773	31447.0645	33430.0078	29221.9336	35369.6406	28363.457	55978.125	29099.7363	37836.1484	30494.7246	33101.2695	33493.3438	30262.9551	32175.2012
2.1347	37672.3789	52220.457	33432.0625	27553.7969	33342.5312	35319.5	35764.5391	27757.7012	34357.5312	28015.0977	93057.5234	29421.3105	50754.6836	30440.3438	33517.2969	36624.7422	33179.7656	39868.4961
2.2682	44849.625	72477.9297	33811.6719	28723.0254	38303.5	40177.375	44640.8438	30636.3555	38417.0117	32663.9219	124963.0391	30041.9023	71859.2812	32209.6875	35427.5117	40961.2461	38054.2773	60134.3242
2.4016	67417.9531	82339.6641	34277.4844	31419.1953	47040.8516	53814.6719	60138.3398	36751.8672	49664.8789	40853.6914	126412.9141	29555.6484	75707.9766	35379.2812	38032.1914	55186.2773	58645.3203	81601.6016
2.535	97531.0703	68343.6641	41414.0742	38723.5898	66938.1484	80364.5312	73205.4375	53071.7109	73696.2266	51120.3281	86872.6016	30861.2559	57764.6406	41765.9453	47840.6133	74885.8125	80848.8047	82815.7578
2.6684	114773.3281	47665.5391	57758.8633	51621.1055	92473.7656	93046.3672	66123.3906	73621.2734	84168.75	54189.4688	53831.6836	36506.0938	42620.2148	56324.1367	64732.1797	85893.4297	79157.2344	62587.4609
2.8019	102746.7188	38243.4336	91868.0078	64753.9414	90907.7031	70785.3516	47215.8125	72341.9141	65010.0977	44184.3359	37815.1211	47437.0391	35924.5312	80957.625	78918.75	66563.5469	55703.5586	46735.5547
2.9353	76738.7578	34391.7578	128731.8125	58243.0234	64778.375	48760.4688	38426.1523	55263.9375	45029.8008	36269.3008	32255.9727	59806.4414	32048.1387	89465.3906	70486.2344	49063.3867	39740.7422	38115.0039
3.0687	63506.9375	34132.9219	112132.4844	42929.168	44345.0234	37427.4141	35281.5742	42652.1055	38217.9727	31722.5352	30877.1406	55792.7812	30948.6367	69803.8594	49605.0078	38565.7734	34698.9805	32140.6543
3.2021	55135.875	32940.5195	69757.7969	35129.793	42380.1328	34658.3008	33078.9844	37643.2695	35365.3047	28375.8945	28907.6211	42513.5312	30623.3516	46371.3477	38956.75	36821.3555	30549.7344	31557.5391
3.3355	41715	32808.8555	50573.8203	29705.4355	NaN	32670.4824	32179.2988	39818.4297	34303.3594	28158.5215	28225.8164	34160.918	NaN	37986.6367	35861.3867	33713.668	30365.6309	NaN
3.469	37597.2695	32954.8359	39882.5234	28088.9238	NaN	30579.1484	32362.0742	NaN	32890.3984	NaN	NaN	30694.0703	NaN	34241.7344	34307.5	NaN	29659.6719	NaN
3.6024	32295.8984	NaN	35694.6562	NaN	NaN	NaN	33056.6719	NaN	31737.4941	NaN	NaN	28791.1562	NaN	33061.625	35437.8906	NaN	NaN	NaN
3.7358	NaN	NaN	34282.7812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
