x	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_13g	Y_20181208_15693b_13_17g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_12g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_16g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_6g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_17g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_2g	Y_20181208_15693b_9_3g
0	25234.3906	32050.8008	28484.8906	30082.1582	30065.2578	30972.7598	28010.9551	25000.0488	29536.6738	31314.3789	28725.291	28468.5684	32298.9766	31116.1445	28209.9297	30942.1777	30285.123	33423.6641	28304.1133	29898.0703	9814.2402	27623.9043	27846.957	31796.9512	23502.7422	30246.9629	25138.0195	28939.9746
0.1334	25860.7109	33287.8164	29864.375	29780.2266	29236.2676	31185.3535	27268.2461	23914.0117	29650.0312	31755.6445	29367.7598	29057.9688	32435.7598	30189.3828	28646.6133	31917.3574	30486.2578	33720.3438	29888.3652	29999.7852	15501.6035	27375.5762	28154.0605	32128.8477	23854.2344	29666.8398	25477.5293	28003.0488
0.2668	26556.9316	33446.9453	31697.2305	29989.3887	30499.9277	31286.2559	27579.0391	23840.8828	31135.1406	31005.0977	30637.1094	27909.4902	33411.2031	30528.377	29072.6992	31602.498	27941.9727	34781.2266	30175.1367	29871.3516	26269.5273	28441.4805	28024.2832	33083.9492	23474.5273	30114.2949	25396.8594	27497.1602
0.4003	27488.8145	34167.5586	29521.8438	30174.4238	30599.8652	29961.791	28156.1523	24732.7266	31414.5176	29596.4219	28197.7852	28749.8164	33307.1094	32750.6387	28905.7461	32245.5137	28609.459	33494.707	29093.1055	30083.332	26343.5703	27935.6035	28444.1367	32897.8516	23413.1133	28664.3848	25225.0957	29313.7969
0.5337	25980.8105	33785.7266	30319.1367	31627.1738	31813.5566	31545.1348	29826.9453	25039.3574	32077.8691	29824.541	31701.0469	29204.498	33023.5547	32309.418	28086.459	32524.8164	28700.0254	33607.8438	30350.0586	31625.7461	27692.4551	27826.9219	29849.1152	32015.0684	24052.9746	29014.5859	25366.1895	29205.3652
0.6671	27192.7559	33758.75	29862.3789	34050.668	32442.5391	31221.0449	29212.6133	24201.959	31241.5898	29376.2812	31151.7578	31385.0684	33646.8789	32245.4707	29707.498	33279.4336	30134.8164	33373.1836	29849.7695	31470.4824	27222.9258	28392.2441	28458.6855	31797.7656	24488.1582	29033.7812	26642.623	29504.1406
0.8005	25563.584	34341.5977	30977.5938	38442.6953	32625.6758	31878.623	29926.4922	24161.1562	32294.375	30320.4336	32510.0918	29839.7188	34817.1797	32996.7188	30990.8887	34855.5273	30844.8066	33522.4141	30891.4355	33061.7578	26531.0547	28049.127	27110.6719	32047.9727	23768.6758	30110.291	26519.7422	29619.6309
0.934	26600.127	37081.5156	30851.3809	46568.207	34009.8438	32449.209	31951.6816	25490.9141	32083.541	31942.9434	33060.2617	29594.4023	36228.3086	33548.9883	33321.0703	36455.7227	31026.9668	31328.9277	34854.2656	34959.293	28192.3047	29519.5156	29128.2305	32925.9883	24722.8438	31796.5508	27339.9922	29029.8203
1.0674	28388.9961	44885.9297	30704.7773	67042.5156	36077.0273	32938.4531	31421.8633	25522.6641	32229.7305	31825.5742	36506.5078	30637.5195	39639.3398	35704.2539	36608.4102	43330.9141	30914.3145	33884.3828	38687.5	39211.4219	33473.6406	31535.0176	31342.291	33435.2969	26169.0254	34592.0625	28716.1934	29240.0957
1.2008	29274.3301	66800.8828	33327.2461	102982.4531	38042.7852	32956.6719	37432.7812	26052.6211	32957.957	34719.4219	43713.043	29985.0586	43364.1445	43806.0859	45505.0586	53753.2578	30349.998	34591.8359	47436.8047	49003.5	39513.9023	32221.6445	31570.7617	33970.957	27638.9727	46164.8828	28848.8613	31689.0488
