x	Y_20181208_15694_1_17g	Y_20181208_15694_10_2g	Y_20181208_15694_11_9g	Y_20181208_15694_13_15g	Y_20181208_15694_19_11g	Y_20181208_15694_2_1g	Y_20181208_15694_2_3g	Y_20181208_15694_21_4g	Y_20181208_15694_22_7g	Y_20181208_15694_23_18g	Y_20181208_15694_24_3g	Y_20181208_15694_26_17g	Y_20181208_15694_3_4g	Y_20181208_15694_5_9g	Y_20181208_15694_9_4g	Y_20181208_15694b_1_4g	Y_20181208_15694b_6_10g
0	14981.8252	9923.2793	10978.2646	12262.1279	10225.998	10882.1074	10644.1836	11745.7373	11308.4844	13944.0869	11537.5645	12460.6084	10927.7188	12366	10791.6934	14025.334	10293.2861
0.1334	18345.7773	10904.8906	12011.9453	12465.5117	10864.6338	12481.0146	12237.041	12839.6123	12727.8818	16031.6699	12021.002	13373.6953	12063.0723	12528.335	11526.7881	14811.126	10598.9844
0.2668	19837.0352	12150.5654	14615.21	12144.9795	11046.8223	14723.1533	12499.5684	14157.5459	14539.4121	16820.627	13464.6963	15321.8008	14085.7188	14831.6846	11580.6445	15548.3242	12151.2568
0.4003	17884.8223	14822.5977	16135.8486	12344.6504	11678.1787	16419.7754	13477.7842	14935.333	14108.6016	15454.5293	14573.7891	16503.8496	17032.6016	16782.8809	13336.1104	14521.7656	13842.999
0.5337	15617.2969	17213.5879	14954.7598	13820.6426	13008.624	16591.373	15068.8105	14191.3232	12891.8984	13697.3457	14913.0264	15020.0986	17450.4199	16428.291	16188.708	13443.4609	15842.0146
0.6671	14143.0439	16140.166	14224.5586	14325.1641	14242.8213	16300.1787	15741.4648	12848.4043	11482.2402	15218.0713	14594.3652	14497.625	15397.4717	14844.4746	18617.3535	13021.8057	18463.5938
0.8005	13733.8057	14149.1934	14418.9326	13753.5254	15783.4082	16248.2627	15967.3672	11902.4033	11129.876	14509.8818	13219.5586	13718.123	13650.248	14817.6865	19357.5586	12410.4297	17208.1816
0.934	13619.7725	12959.0371	13872.2363	12929.835	15744.6885	15167.0869	16761.4297	11480.6543	11257.7383	14447.8828	12830.334	13480.377	14274.5107	15453.291	18303.3145	13157.5459	14827.0322
1.0674	12870.4209	12487.5723	13664.2461	12567.79	13477.8936	14851.877	15987.9883	11544.9443	11410.9912	14521.4102	14181.1348	12476.8662	14061.6348	15418.0195	17073.8105	13042.3096	13810.1543
1.2008	12584.0674	11090.3457	13753.6504	12114.3555	12123.2148	14614.6514	14946.209	10851.9004	11302.0303	13069.3555	13766.4922	11992.5332	12978.5029	13549.6006	16137.9297	12553.5938	14685.0977
1.3342	12690.7461	11262.5449	14345.168	11728.9961	11566.7822	14125.5215	15198.0625	9925.9541	10836.4492	12778.9893	12870.46	11784.4795	12567.1934	13185.2949	16540.5195	12817.0146	13337.2617
1.4676	12733.9736	11201.9434	14073.876	12477.3594	11041.4053	13236.8135	15875.3779	10328.6553	10560.8516	12872.7529	12503.2266	12541.3418	12588.251	13495.7832	15824.04	13846.6895	12452.9365
1.6011	13052.8945	11969.8076	14077.1514	13409.6338	11172.9404	12232.9951	16432.3633	11291.6807	10769.7588	13159.3281	11559.1064	12822.2979	12328.4072	14556.0332	16255.0986	13920.999	12238.3945
1.7345	12746.5215	11815.9404	14232.1514	14176.0635	11714.9785	12105.2744	16376.3887	11407.7402	11170.4678	12270.0059	11060.5762	14944.4658	13085.2422	15418.583	15550.0479	14375.3955	12827.2139
1.8679	12280.8525	11475.7139	13637.7842	15893.4355	11921.6953	12256.5801	15296.5166	11925.4326	11601.5928	11980.8027	11004.3281	15051.0703	13850.6875	14510.1318	15935.9307	14112.4932	12759.5508
