x	Y_20180212_14590b_1_3g	Y_20180212_14590b_11_9g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_5g	Y_20180212_14590b_15_8g	Y_20180212_14590b_16_3g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_17_2g	Y_20180212_14590b_17_8g	Y_20180212_14590b_18_7g	Y_20180212_14590b_18_8g	Y_20180212_14590b_19_2g	Y_20180212_14590b_20_2g	Y_20180212_14590b_22_5g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_5g	Y_20180212_14590b_25_2g	Y_20180212_14590b_25_3g	Y_20180212_14590b_26_4g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_4g	Y_20180212_14590b_3_7g	Y_20180212_14590b_30_1g	Y_20180212_14590b_31_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_37_1g	Y_20180212_14590b_37_3g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_3g	Y_20180212_14590b_38_6g	Y_20180212_14590b_39_3g	Y_20180212_14590b_4_8g	Y_20180212_14590b_43_1g	Y_20180212_14590b_45_2g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_47_6g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g	Y_20180212_14590b_5_3g	Y_20180212_14590b_5_7g	Y_20180212_14590b_7_1g	Y_20180212_14590b_7_4g
1.3342	37739.098	40814.695	38007.824	42027.758	35021.074	39416.418	42187.805	38824.238	35403.051	38908.574	39022.266	36238.082	32521.928	37516.477	40613.188	37070.152	38950.688	40444.75	34489.586	40015.195	42237.648	33322.203	36976.113	33694.723	38096.715	36216.344	40675.797	42745.883	37159.93	35364.688	39841.121	34266.418	42040.293	38552.723	35316.777	35887.227	40786.809	38950.777	35147.84	37932.598	43094.707	38361.121	34312.438	40153.148	39953.254	34368.82
1.4676	38337.465	40472.91	40483.551	44102.09	37855.742	40215.719	42255.059	38664.957	35914.535	42058.488	39937.168	37371.578	34279.137	40489.094	41595.402	39778.121	41063.746	40354.238	34785.332	42346.625	43775	35423.195	38084.215	35720.203	39945.289	38057.719	45567.277	43129.719	35927.324	37014.414	40761.434	32836.266	42224.105	39004.109	37336.66	39972.934	43864.93	43100.762	38209.496	39271.074	45560.309	38778.812	36147.281	40744.32	39712.637	34767.371
1.6011	39622.875	42646.469	51722.832	56357.82	37318.383	40644.133	43496.242	39230.066	39421.945	43342.883	40366.309	36572.215	36039.492	42920.105	42157.285	40646.855	45818.176	42211.934	35698.812	42846.047	47091.09	36227.449	38739.793	41917.273	43932.555	37247.863	54114.199	48154.371	34987.574	37824.973	41622.453	34733.02	43433.086	39032.469	38805.68	39963.52	47182.664	45277.672	36553.336	43045.031	47537.645	41047.406	38725.664	43059.781	41789.434	35216.359
1.7345	45292.195	43008.066	71249.211	84844.875	39897.141	41047.082	50016.824	41889.441	46956.082	40353.98	44689.961	40273.062	37815.473	47724.312	42182.703	42372.121	63543.555	50073.84	35283.809	45961.934	44754.398	40316.766	43655.527	56828.871	44139.477	37034.918	73648.859	62042.16	37465.777	38165.789	39720.605	36695.008	44089.66	42188.422	40865.023	40907.145	49900	54961.859	35624.547	52819.957	59406.484	49708.129	44948.824	44337.973	47410.984	35393.797
1.8679	59892.223	46146.434	105267.297	140185.344	47324.406	42584.457	68345.188	44031.52	67076.789	39973.305	52480.121	42487.168	45859.383	56560.77	45182.84	47627.715	93883.805	68071.484	38369.363	54433.598	52915.199	51492.648	52628.844	90688.094	48796.152	40007.512	123771.414	86022.539	41622.195	42457.945	42550.043	39982.316	46002.742	45109.613	39384.391	41975.719	63463.77	82515.797	40019.191	79337.828	81271.75	63548.621	52617.449	46736.184	61705.078	37445.008
2.0013	84251.047	53592.895	118656.828	157566.156	65203.352	47063.527	94589.594	49391.406	121203.609	43049.301	65967.125	49079.715	66321.219	82826.109	52443.219	60741.473	120323.977	93581.906	47470.91	69623.852	62352.305	85304.992	84726.109	109861.789	55860.098	43856.547	204456.625	130143.719	52260.965	53619.531	45114.316	43172.172	53832.184	52761.641	45695.09	45792.812	93985.086	119633.773	44314.754	121493.578	121554.039	102007.539	75563.898	52787.422	94103.023	42093.742
2.1348	98755.508	79408.188	90072.266	108616.094	95649.516	59393.062	97420.43	73612.078	193729.047	51652.977	107883.219	69755.523	107953.984	99852.227	67110.219	89939.867	100494.43	101414.617	70893.305	103651.367	86933.273	146562.016	146572.688	93857.945	81955.203	58888.484	216939.641	145179.844	69369.281	80286.445	54773.629	58151.113	70943.227	77562	55173.258	56553.309	150955.297	122780.172	58753.969	136122.859	140775.453	135017.297	100609.555	69883.711	142872.594	56948.371
2.2682	84809.734	111270.547	55806.578	68409.852	107010.328	86298.773	73491.367	112879.172	222875.453	72036.406	151358.625	100028.406	154485.031	83046.234	99545.57	118755.102	63615.957	79269.562	116579.703	133545.656	139269.875	161299.938	169876.469	NaN	127102.789	82454.586	150092.172	107132.289	77802.312	124745.359	74803.023	90741.383	122617.43	107158.922	78923.219	80374.469	181794.125	85116.789	92633.086	94228.602	108697.891	118889.016	132113.422	112262.867	153860.812	79380.43
2.4016	57827.699	105653.648	NaN	51264.371	83391.055	100984.562	51479	143207.031	157174.016	108486.336	122622.461	101783.203	151810.859	57691.363	145864.25	111819.383	48065.746	57126.605	149807.156	113533.969	164111.234	105392.016	126165.938	NaN	143939.062	81435.656	84995.672	72076.172	63631.598	156527.719	110701.547	114727.68	206252.891	110428.742	116598.383	126221.883	146628.938	59600.312	121078.383	59775.402	70799.195	76400.242	136550.25	147690.766	106551.914	85260.148
2.535	NaN	73773.344	NaN	47373.145	56281.121	79211.242	42154.633	113854.695	86208.992	121862.914	77688.789	77142.547	96209.352	43588.406	146773.938	77149.164	44433.621	NaN	122771.273	74107.555	125287.234	60205.73	73086.156	NaN	107634.109	60007.578	59673.559	58515.508	53631.051	129127.062	119007.578	94817.328	247321.734	80597.922	123708.312	139031.312	91934.492	50283.93	108335.758	43193.266	55131.734	54343.988	94449.188	124850.461	65662.828	66199.953
2.6684	NaN	53277.91	NaN	NaN	NaN	57810.297	40155.289	70933.625	54949.004	93832.969	53537.824	54827.434	55920.215	39113.914	98567.789	58047.168	41489.461	NaN	77207.75	52922.355	78834.484	44651.016	51503.328	NaN	66698.062	45819.695	46823.914	49857.82	50654.887	79996.836	86118.422	60517.848	220934.281	55350.281	82906.68	99752.742	58700.684	NaN	73246.297	NaN	48500.07	44470.793	59365.516	81163.711	NaN	48683.398
2.8019	NaN	44312.047	NaN	NaN	NaN	47563.711	NaN	50802.781	NaN	57051.488	44154.34	42547.391	43108.738	NaN	64086.445	47376.496	NaN	NaN	54189.324	46045.586	58325.844	NaN	43537.562	NaN	NaN	NaN	NaN	NaN	53150.195	NaN	NaN	44380.184	144039.719	46134.48	57890.484	66118.18	49177.922	NaN	51747.176	NaN	NaN	NaN	47091.809	58040.312	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	42195.152	NaN	NaN	NaN	43646.98	NaN	39315.199	38801.574	NaN	51472.188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39096.977	79869.422	NaN	NaN	51677.688	NaN	NaN	43236.602	NaN	NaN	NaN	NaN	49378.562	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	39758.691	NaN	NaN	NaN	NaN	NaN	36771.094	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42951.176	NaN	NaN	39567.727	NaN	NaN	NaN	NaN	45951.75	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40768.105	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
