x	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_2g	Y_20181208_15694b_10_5g	Y_20181208_15694b_3_2g	Y_20181208_15694b_6_2g	Y_20181208_15694b_6_4g	Y_20181208_15694b_6_8g
0	27913.877	28994.6387	26525.4727	28496.2188	25244.5254	29549.7363	25269.6289
0.1334	26955.5156	28547.5605	27116.3438	26333.9746	26054.6562	29878.8535	26426.7871
0.2668	25991.2656	28605.1367	27749.9883	27299.6309	26752.1543	30664.6895	25820.0566
0.4003	27716.2812	27959.0254	27667.6797	27387.7734	26228.8223	31837.0527	24447.3711
0.5337	26078.6309	28239.5176	27130.9141	28778.0586	25560.666	32035.7578	26096.6699
0.6671	27013.2305	27144.0898	28587.6328	28238.5684	25976.8613	30930.2598	26643.0801
0.8005	27112.291	27536.2637	30329.1484	28192.1777	26176.4238	30782.0957	26315.8652
0.934	26862.7227	28116.498	28358.9043	28160.4375	26485.0215	32380.3418	25633.1914
1.0674	27774.8887	27365.0117	32173.9277	27491.1699	27464.8047	32794.4258	25830.9434
1.2008	28205.1035	28732.2129	36527.5781	28527.9395	27546.5781	33637.5703	27505.2676
1.3342	28867.2461	28185.8105	44089.7656	30483.5977	28811.7383	34732.1562	29744.8359
1.4676	28488.7168	31577.8789	57690.543	33402.2109	29228.6445	37166.4961	30625.8555
1.6011	32506.9043	37658.0352	58432.7344	40966.207	31562.7129	41769.9688	36698.5234
1.7345	41858.6133	48416.7422	45397.4375	57139.4453	37766.8789	53134.9844	49233.3398
1.8679	48442.1367	75733.8516	39656.1055	77856.4844	53001.4023	70454.2656	63543.4805
2.0013	43959.1523	93212.5391	NaN	75605.0156	63815.1523	72824.2734	60662.3711
2.1347	35413.2031	74491.4844	NaN	55957.5156	55358.5469	58510.8828	43764.6562
2.2682	30562.7871	50931.7148	NaN	39441.9102	41650.1875	41847.1836	35044.8438
2.4016	28481.4414	39942.2422	NaN	37271.6055	32991.1875	35757.7344	NaN
2.535	27523.7715	35753.7031	NaN	36358.8008	29038.459	33834.2734	NaN
2.6684	NaN	33425.3828	NaN	35836.4883	NaN	33009.2461	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	33811.2109	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
