x	Y_20181208_15693b_1_11g	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_3g	Y_20181208_15693b_10_16g	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_7g	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_4g	Y_20181208_15693b_12_5g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_3g	Y_20181208_15693b_13_4g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_15g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_7g	Y_20181208_15693b_3_18g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_12g	Y_20181208_15693b_4_14g	Y_20181208_15693b_4_2g	Y_20181208_15693b_4_30g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_23g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_9g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
0	12652.6689	11590.3271	14038.2607	13102.9111	11447.543	10425.7598	11272.3623	11559.6807	12725.5283	11955.8594	11987.165	9865.1699	15450.4795	11843.8076	11939.2646	12796.7256	11774.5596	11698.1592	11799.9609	12561.1914	12185.1953	12136.2568	11700.5391	13384.3555	14780.3193	12127.8936	11629.2324	16643.7754	10622.2637	12817.4824	11819.7705	12325.2314	12463.3232	11136.6855	12006.8262	12380.5908	12359.7793
0.1334	13604.0566	11692.5146	15147.3164	14997.623	12226.2871	11741.6836	11476.167	11482.04	12549.4551	13919.0879	13288.4795	11267.4551	18563.043	13577.0557	11503.5566	15175.4209	12190.0059	12551.4229	12687.2559	15296.8994	13323.2021	14932.1904	12698.748	16495.4355	15953.1885	14659.502	12868.126	21224.7695	10792.918	13402.3945	11870.3506	14872.1641	12147.5039	13180.9385	11895.8418	14006.8076	12979.6406
0.2668	18356.5645	13158.2871	17166.6582	16512.959	13896.4443	14569.5459	12933.1631	12438.8135	12654.3193	16703.0703	15027.0166	11977.7012	20337.4863	16417.1875	11966.835	16191.1777	12469.8584	15075.6152	14201.6504	17145.5547	14399.1787	17975.5312	14743.6582	19595.0977	20721.6035	16978.4141	13269.5176	23500.8555	11158.3418	15404.1172	11966.2998	18274.2832	12729.6201	16031.0684	12014.0127	15023.1768	13536.709
0.4003	20788.4727	15201.7412	17381.9297	15067.4287	15510.7559	17651.8945	14958.6201	12008.9473	13008.2861	16501.252	15740.8291	13385.4795	18315.8535	19747.2383	13788.3311	14529.6387	14577.3818	15350.3096	16471.709	15717.8037	17335.916	21237.8281	19070.3066	17107.5312	23749.957	18724.5684	13942.6445	19788.0859	12819.8301	17545.5117	12631.0029	18681.5605	13805.0391	17028.8164	12107.1025	16127.2305	14441.9561
0.5337	19081.1855	18014.9102	18035.25	14127.207	15939.3164	18267.4258	19371.1523	13433.6445	14645.9238	15996.2773	13940.0498	14381.377	14979.7178	18077.2578	14403.4717	14395.1631	17414.375	13751.7705	17336.7871	14490.3447	17707.0801	23274.0371	27891.1621	14709.1436	21804.5566	17007.2324	14007.1396	16841.0176	14712.9463	18544.5039	13952.9951	16019.6924	18267.2598	16834.9414	13668.3828	16001.3643	15583.4961
0.6671	17009.8164	19156.877	21316.9453	13552.7432	15443.9062	15889.2148	22005.9941	17567.9609	16867.9023	16000.3281	11485.9297	14212.4502	15646.2119	14490.3955	15259.6904	13379.6494	17429.5098	12787.5713	17872.1426	13429.5791	16620.041	22436.5312	29125.3516	13044.1934	19460.084	16549.0039	12852.418	15183.9502	16988.7109	16606.3984	15962.0439	13788.2539	19583.0352	15780.4561	15817.0977	15810.7041	15791.2969
0.8005	14967.5596	17119.3848	21224.5898	13717.7783	16266.1709	13895.3779	19404.9004	18156.9121	17353.3184	15485.8877	10885.6709	13946.9082	15898.0615	13142.2383	13853.8125	13569.3926	16445.8184	12530.458	16631.416	12253.5176	14063.3857	18520.6211	23082.6152	11435.1797	17182.9668	15312.5234	11233.9502	13319.75	16020.8965	15624.8574	15190.7041	13294.1572	18190.7402	15525.709	18414.7402	13537.582	16716.4844
0.934	13034.7012	15404.1641	19542.6953	13115.5273	16260.377	13784.4512	17007.5977	16578.9766	16525.1074	15601.5908	11294.4717	14132.7168	15805.3965	12704.0342	12440.4326	12533.9648	16572.625	11972.3799	15304.5557	11984.3096	13257.5908	15520.2246	18554.2891	12203.7471	15317.5244	14427.3389	10738.7773	12531.4424	13207.625	14905.1045	14204.1318	13248.4111	17146.1348	15210.8271	18828.2168	12733.0713	15688.6992
1.0674	12429.0049	15628.6748	16548.291	13723.0527	16334.3184	13304.5928	16575.0586	15239.832	14809.3994	14569.9688	11950.7412	14743.3037	14216.332	12705.1162	12085.9336	13792.9219	15284.3711	11053.8174	14914.3779	11151.1924	13384.6865	15980.7969	15121.1533	12478.1201	15322.2383	14475.6865	10699.5654	12285.4463	12607.0625	14386.7461	14325.1914	12815.835	15840.9639	14740.9434	17826.6152	11762.9805	15639.792
1.2008	12851.9922	14844.3301	14276.667	12658.6992	15801.9316	12953.5586	15361.9834	14011.2305	13916.5127	13249.707	12423.8594	15474.9424	14071.2686	12287.3018	11453.6016	13286.5684	14041.6758	10640.4756	14116.7041	11202.7334	12229.6973	15876.4717	14189.3037	11362.1807	13064.2979	13381.0225	10935.0312	13141.6426	12625.46	13395.1699	12723.7842	13744.2314	14845.3857	15028.7188	15722.3926	12059.8057	16223.7822
