x	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_7g	Y_20181208_15693b_11_12g
0	28440.0938	25915.2617	31413.0996
0.1334	28348.1699	26824.2402	31497.9277
0.2668	27966.1016	26794.0039	30145.9746
0.4003	27529.4258	27541.4082	30821.2539
0.5337	28483.9941	28143.3086	31324.6387
0.6671	28071.2539	29653.8848	33117.2734
0.8005	28295.4199	30119.832	32710.6621
0.934	28309.7656	28990.9922	32376.7773
1.0674	28614.127	29466.4395	33387.1641
1.2008	28842.627	28879.541	33550.4922
1.3342	29546.0391	29294.8945	33696.2383
1.4676	29320.9004	30721.6582	33281.9727
1.6011	29907.2168	29997.9883	34519.9023
1.7345	30961.3984	29641.4727	33734.9688
1.8679	28699.2461	28973.8613	34042.8164
2.0013	28313.4355	27040.9375	33401.0234
2.1347	28764.0234	27699.5879	34972.6172
2.2682	29643.8145	27829.1621	34147.4766
2.4016	29542.6699	27356.6426	34452.2305
2.535	29321.1836	28095.166	32746.7207
2.6684	28669.4746	29120.8906	34123.8086
2.8019	30802.627	29016.5547	34087.9219
2.9353	31774.9062	30459.6953	35988.0117
3.0687	37706.9141	31037.5605	42089.3477
3.2021	47761.8945	33457.3398	48486.6523
3.3355	53109.9883	39579.1641	52353.1562
3.469	44056.8398	50703.3438	44988.9609
3.6024	35157.2188	59528.0547	38064.293
3.7358	31412.0195	47227.8008	34711.1953
3.8692	NaN	34522.7305	33599.7695
4.0027	NaN	29518.8145	33513.1484
4.1361	NaN	28240.707	32209.9023
4.2695	NaN	NaN	31844.3613
4.4029	NaN	NaN	NaN
4.5363	NaN	NaN	NaN
4.6698	NaN	NaN	NaN
4.8032	NaN	NaN	NaN
4.9366	NaN	NaN	NaN
5.07	NaN	NaN	NaN
5.2035	NaN	NaN	NaN
