x	Y_20181208_15692_31_1g	Y_20181208_15692_31_8g	Y_20181208_15692_32_12g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_34_1g	Y_20181208_15692_34_6g	Y_20181208_15692_36_1g	Y_20181208_15692_37_1g	Y_20181208_15692_37_3g	Y_20181208_15692_37_6g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_3g	Y_20181208_15692_39_4g	Y_20181208_15692_42_12g	Y_20181208_15692_42_4g	Y_20181208_15692_42_8g	Y_20181208_15692_43_11g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_45_15g	Y_20181208_15692_45_5g	Y_20181208_15692_46_10g	Y_20181208_15692_46_15g	Y_20181208_15692_6_4g	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_4g	Y_20181208_15692b_13_4g	Y_20181208_15692b_16_4g	Y_20181208_15692b_7_7g	Y_20181208_15692b_9_6g
0	27171.5684	28477.9707	29914.7539	32124.4453	31563.8047	28245.8828	27604.6328	27023.3887	29099.8789	24784.7227	27242.6543	29454.9277	26001.8184	26950.5078	26676.3164	31988.4336	29251.4355	29056.4512	32363.8105	28332.7344	30191.4766	30299.4746	29876.707	30882.7578	27369.9863	28319.7461	32549.4961	28649.1094	27754.543	30798.0566	27090.8027	27420.293	27460.4531	28173.252	31956.4238
0.1334	26529.1562	29013.5254	29418.2363	33322.9492	31159.0098	27892.9395	29699.207	27883.4453	28737.9121	24159.4062	28123.9219	30710.1445	27458.0449	27180.5625	28320.791	30526.1133	29564.252	28595.5312	32549.2402	28609.2656	28880.4062	30092.7637	30051.2129	30326.8281	28817.2148	28892.2559	32977.5547	28874.752	28433.8535	31026.9004	28619.9141	28588.2695	29184.0352	27897.0215	31883.3926
0.2668	28274.6914	29346.4941	30169.3965	33886.0977	29836.7324	28201.168	28069.1602	28263.4785	29953.6016	23854.7402	29692.877	30948.8047	25858.2793	28121.7891	28749.2266	29915.8496	28719.1973	28934.3105	32740.0488	28762.7441	30412.8535	30668.7754	29147.0137	31365.6543	28323.7422	30440.2031	32695.4238	28354.875	28640.791	29526.627	28817.5762	27913.8047	29167.4785	28089.4707	30907.5098
0.4003	28710.2832	28740.752	30024.3516	33372.6406	32452.4219	28172.6953	28252.1152	28253.0605	29238.6699	25494.3477	29357.4199	30740.2188	26894.9785	28919.2051	27270.1504	30973.0449	29264.0293	29221.5254	33379.5859	30614.9355	30737.918	30077.3438	28870.709	31177.2285	28042.5996	30460.1309	33457.2773	30918.9395	28045.7754	30083.3223	28650.4629	28487.1445	30254.2812	28009.4648	30858.3184
0.5337	29126.9727	29223.3887	30358.4941	34706.2539	31626.1973	28582.1777	29295.1465	28089.6914	29530.5605	24707.2324	29150.541	32290.4453	27539.9023	27592.8242	27726.3477	31851.5098	30162.0332	29105.0957	35434.2812	31827.2012	31532.2969	29971.748	28619.2988	31184.7441	27188.9727	29491.4961	32959.5625	29579.3672	28275.3027	31790.0059	28549.2871	27817.2402	29891.5352	29246.1426	32289.8203
0.6671	28390.2402	32391.4629	30178.9805	33775.8164	31427.373	27337.248	29436.3457	28841.6035	29497.5	24963.168	30618.3555	32428.0176	25215.4453	27185.0234	28223.5	28922.7891	31473.0996	30469.4844	34580.9688	30480.7383	31608.0371	32509.7324	30941.3164	30795.5391	27930.5508	29709.8047	33521.1562	30507.9062	28762.7207	31607.9902	28325.0898	28380.7715	31564.5293	27620.6055	32772.6602
0.8005	28989.0566	30300.5586	30213.2891	33989.4375	31047.9395	27576.041	29386.7051	27788.7715	29183.4004	25909.8809	28970.1973	33248.4258	27430.4902	28432.252	27151.5	32305.7715	33037.9492	30262.6504	35251.4414	30989.5098	29932.1523	31989.9805	30589.8125	30507.4609	27722.2148	29588.918	35856.4531	29348.5352	29115.875	30292.3516	29826.9707	28139.0508	32002.8887	27695.4492	33531.6953
0.934	29673.6328	29318.1816	30330.6895	34905.5703	31305.7344	29002.3359	29142.4023	28055.0527	29223.502	26133.8145	29435.3965	31071.043	28324.9805	29364.0547	28831.1016	31821.373	31402.2441	30574.9609	34018.7461	31611.2051	31742.0332	31952.002	31139.123	30866.5273	28112.4355	29854.7129	34957.0859	30177.0723	27765.2891	29876.4609	28678.4785	28409.4355	32689.9297	27530.4883	32812.9688
1.0674	29433.375	29861.5918	30351.7266	34892.875	32189.1172	28959.8926	29567.793	27495.6094	28655.8887	26107.3398	28860.9941	32378.9805	27453.6387	29102.7324	28353.1152	30219.5684	29945.5117	30782.3184	35610.1094	30313.041	31722.1562	31786.6387	29681.6289	31215.5723	28227.9785	31367.5996	35906.4727	31136.9473	28658.6973	32042.2793	30229.8086	28341.6367	33652.5469	28303.7305	32660.8379
1.2008	29603.3535	31525.2422	32243.6816	36889.7578	32967.75	28751.3613	29375.7637	28027.4883	28887.6484	25241.2871	28798.3574	31678.6484	29227.2305	30017.3145	29354.8945	29857.4277	29691.7109	30821.9707	35852.1289	30199.9551	31209.0332	32116.1367	30031.6738	31870.2969	27386.9941	31666.4277	35548.0039	31517.5742	29279.1289	31958.625	30526.1758	29408.043	34200.3477	27467.4258	34638.3125
1.3342	31191.4141	29038.875	32356.2227	37629.3281	33364.2969	28727.8535	29305.6992	28082.3047	27717.8926	25348.2949	30555.8652	31673.4238	28704.3965	30907.1895	29632.9922	30472.5293	30599.0059	30261.2031	34766.1836	30313.9004	32366.0391	32605.4258	30374.625	31571.9668	27233.0762	31808.6094	33746.7578	31080.541	29264.625	31340.2637	30451.6953	29003.3359	33535.168	29410.0234	32238.2148
1.4676	29267.7949	29574.5684	32663.3652	35248.6133	34339.4648	28916.0039	30481.2422	27947.3125	28205.3496	25730.2598	31069.041	33391.0898	28150.1914	31019.9492	29681.3691	30640.6445	30302.7734	31153.0469	35147.1328	30655.9902	30504.5723	32368.1133	30230.9199	28708.2578	28846.7617	31463.6953	33423.0625	31138.1074	28610.4609	31242.3301	31573.582	29729.8711	33848.1211	30667.4023	32291.3516
1.6011	30197.8281	31925.4727	31897.1074	35304.6523	33436.3828	29517.582	29532.6191	26597.1191	30105.7344	25524.6387	29720.5957	33152.0859	27897.2598	31586.8438	28893.6777	30879.291	31512.7773	31281.9102	35169.9297	30451.7207	31771.7812	32074.8262	29509.7559	31419.0547	28619.8262	32116.5703	32840.5273	29770.3926	28824.2266	33765.7539	31661.4434	30610.7656	33013.6484	30503.998	32134.3359
1.7345	28939.5996	31681.7754	31849.2793	35482.2578	35640.8008	29892.8203	29449.4062	27832.3672	30540.8965	25933.6172	30867.2227	32822.5	28939.082	29289.8867	27993.0293	32011.75	30705.4688	33628.707	33785.4648	31376.9531	31343.6348	33650.4609	31601.7617	31683.2695	28199.0723	31489.1152	34362.5312	31993.543	29769.5254	33816.4609	30980.5078	30743.8242	33272.8516	31632.1191	32128.7656
1.8679	30710.1309	33304.7891	34147.5586	36818.4648	33359.668	30350.5215	29774.4277	28249.0645	32848.6328	27096.4336	29334.9844	33933.3398	30465.2461	29109.6211	29957.1016	31000.3281	30658.6094	34978.1406	34057.3203	32229.1133	32845.5	34936.2812	31169.2559	31359.1445	28786.709	30815.8828	36554.6797	31184.4766	29960.7773	33586.625	31860.2129	31006.3203	33416.207	33831.3438	32346.7578
2.0013	30809.4922	32202.9043	32489.166	36158.957	35028.6992	30335.6914	29894.707	28864.7109	34327.6367	27569.7441	30847.418	33518.8867	32571.3848	30156.3242	29629.8008	31048.1289	29308.5137	37129.7305	34983.1523	31539.6797	33335.5391	33181.7344	31899.6172	32877.0156	29758.125	30337.5078	35672.625	32500.4297	29364.9668	33618.7266	33800.4258	30770.002	34241.9961	39043.2461	32680.2559
2.1347	29417.0391	31946.1738	33946.9062	36625.8906	35615.5312	30311.6211	29437.6973	29298.4336	35435.9453	28215.0234	33459.7422	34079.793	39351.3672	30988.0137	28132.4961	34125.0508	30328.1855	43344.6953	34641.1016	30466.6699	32751.0742	33843.1367	33240.875	31683.1309	29528.8164	30808.6348	34738.3984	33606.082	28774.6016	34084.9414	32660.2188	30603.4629	34621.3828	41692.4609	35010.4023
2.2682	32211.9512	31824.8125	39206.6602	36921.6602	33616.7031	30419.1504	31108.3359	29184.7949	36640.1992	30618.8164	36894.8164	38061.6602	49860.1523	30573.6973	29250.4238	34991.1602	31689.2852	57550.3789	36414.9258	31527.6641	33961.8945	34596.582	32927.6797	34413.7266	30216.959	31346.4941	36949.6836	36870.2031	30816.9102	35750.8242	32993.0742	31376.7852	37531.8047	39639.7188	35791.375
