x	Y_20181208_15794_1_13g	Y_20181208_15794_10_14g	Y_20181208_15794_10_4g	Y_20181208_15794_11_8g	Y_20181208_15794_12_12g	Y_20181208_15794_13_11g	Y_20181208_15794_13_12g	Y_20181208_15794_13_2g	Y_20181208_15794_14_1g	Y_20181208_15794_15_4g	Y_20181208_15794_16_12g	Y_20181208_15794_16_15g	Y_20181208_15794_19_20g	Y_20181208_15794_20_11g	Y_20181208_15794_20_6g	Y_20181208_15794_22_13g	Y_20181208_15794_22_1g	Y_20181208_15794_22_8g	Y_20181208_15794_23_15g	Y_20181208_15794_24_12g	Y_20181208_15794_24_4g	Y_20181208_15794_26_10g	Y_20181208_15794_26_5g	Y_20181208_15794_26_8g	Y_20181208_15794_29_4g	Y_20181208_15794_3_10g	Y_20181208_15794_3_16g	Y_20181208_15794_3_6g	Y_20181208_15794_3_9g	Y_20181208_15794_30_5g	Y_20181208_15794_30_6g	Y_20181208_15794_30_7g	Y_20181208_15794_30_9g	Y_20181208_15794_5_10g	Y_20181208_15794_6_14g	Y_20181208_15794_6_1g	Y_20181208_15794_7_15g	Y_20181208_15794_7_2g	Y_20181208_15794_7_9g
0	12089.3506	13314.3477	13787.4424	11052.1982	12039.0078	11819.6387	14570.7988	10476.5869	11090.1104	12767.6016	11854.7471	11612.4482	10707.0771	11213.5352	10151.3828	12497.2568	12899.1143	11971.3496	11605.4629	10142.4463	16786.4492	10368.1523	13534.8955	11648.0205	12560.0127	16301.1045	12065.7119	12667.5693	12369.5449	10833.2051	12427.7168	11358.5049	12909.4521	11905.4697	11772.8174	11743.4521	12239.1982	14552.7998	13437.8105
0.1334	12118.6416	13486.3652	15501.1348	10579.0518	11963.9482	11644.5986	16742.4922	11497.2871	11249.2461	13032.2949	11573.8018	12108.4453	10467.5996	11328.3164	10488.5596	13665.6748	15716.0234	11495.1885	12717.1992	10966.7109	18388.7559	11376.1631	13765.0488	11797.2002	14199.8818	21006.7695	14183.7275	15417.1455	12651.4873	11940.1152	13212.46	11559.9717	14675.5508	11824.6777	12343.2256	12371.4023	12506.5586	14642.0361	13952.96
0.2668	12307.2861	14859.5225	18281.7441	10203.7227	12245.3906	12188.4111	18560.9531	12610.7314	11546.251	13336.5674	12942.0752	13484.918	10380.5176	11900.498	11674.2871	14894.4404	17876.9688	13120.2119	13446.5557	12060.5771	17360.7773	12907.0215	16250.0469	13432.4453	17610.4766	24592.3672	16245.6445	18296.2012	13175.2959	14085.9844	14857.2793	11620.3525	17808.5781	11680.1016	13634.4844	12697.665	12549.7373	14493.7412	17246.668
0.4003	13468.2666	17405.4141	18434.9941	9860.5605	12550.4473	14351.9717	19847.2695	13195.2637	12172.6719	13379.3711	14609.7617	15768.8242	11217.874	13313.9658	13676.6494	18824.5469	16707.4414	14137.9883	14956.0869	16596.3809	15104.2812	15143.9375	17184.4941	14569.6807	19794.4434	22886.2637	17089.416	19133.582	15365.6924	17942.6758	16743.5312	12311.6172	20359.6289	12162.3223	15114.5508	12581.001	13246.4268	15476.7393	20054.6777
0.5337	15133.4844	21522.5684	17291.1562	10262.3047	15794.1484	16713.7793	19051.584	14027.1826	12799.6865	14452.4951	16478.9727	16346.3135	12854.8281	14343.0967	14974.0391	21642.9141	14192.8398	15044.5381	16432.4219	24386.1406	14852.7783	16108.6875	15987.8457	16722.9102	18632.7773	20680.6738	21522.7969	19214.9336	18046.1641	22657.7168	16273.8213	13981.6074	19857.0957	12664.043	17075.6992	12863.5693	14000.7207	17796.9941	21079.8574
0.6671	14751.8887	21790.7305	15916.3213	9781.7275	18138.582	16432.0566	17124.1582	14494.6025	15656.8262	15660.5557	16408.7324	15214.4248	16578.7695	15619.6055	13347.498	21659.6035	12756.5332	14560.3447	14876.5723	28031.4746	14115.2939	16056.2812	15181.9922	15990.2832	16774.2402	21011.3398	21442.4785	16492.0156	19689.5078	22101.334	15584.4424	14022.2725	17545.791	13295.3418	15571.0898	14779.6777	13802.0518	20627.7246	17930.4609
0.8005	12878.8359	20766.9551	14271.0664	9850.0137	17827.2383	14914.1943	17006.2363	15204.4082	16137.2979	15621.0361	14895.1377	12828.749	19992.8535	15740.624	11764.0732	17961.8027	12146.3359	13193.6064	13276.2158	24390.1133	13291.0264	15017.043	14630.041	14755.4229	15118.0293	20897.0859	16674.7012	15146.5684	17634.6445	17673.1191	14746.4707	12831.1016	15777.9717	15195.791	13296.3486	15313.2705	12493.2373	20464.2676	14609.7998
0.934	12883.7168	19339.4355	13635.5488	9569.9756	14703.4619	13823.6826	14808.7217	13829.5518	14846.0898	15439.6445	13205.1064	11558.2939	17647.6797	15952.1582	11225.9658	16135.7236	12215.8359	12005.8564	12183.3975	19965.334	12995.9658	13886.1406	14995.0234	13721.0059	14798.9619	21016.1094	13969.7217	14758.5254	16252.3477	16058.5107	13986.2393	12716.6377	15745.7725	14680.001	13025.7998	14589.8545	11312.4307	17830.502	13620.043
1.0674	12103.96	17384.0098	12694.2568	10248.8486	12480.2783	13735.0176	14360.4033	14460.458	13143.9707	14471.7734	12745.9561	11601.3652	14468.7852	16180.4941	10837.1777	15261.3057	12036.9551	11398.7266	12273.8496	17739.668	12670.9072	14095.9385	14176.1992	12655.4541	15504.4746	19669.6191	14073.1943	13669.4951	15931.5068	15493.5332	14108.4004	13983.4297	15180.667	13197.9473	11773.5195	13577.7549	11537.457	15838.8398	12931.6758
1.2008	11799.3809	16499.457	12915.6494	11041.1465	11697.7178	12613.3193	14023.2979	14341.8105	12268.7041	12881.0518	13423.54	12067.833	12606.9326	16473.1855	10761.0527	13952.3438	11949.1211	12054.8037	12349.8408	16848.7012	12945.3506	13435.8691	13289.082	12571.1338	16383.4043	17958.4844	13576.3564	13146.7197	16271.8438	14557.4609	14518.1523	13554.459	15907.1016	12182.2607	11281.8633	13827.4287	12047.376	14393.916	12204.4531
