x	Y_20181208_15100b_1_6g	Y_20181208_15100b_10_2g	Y_20181208_15100b_13_1g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_9g	Y_20181208_15100b_16_9g	Y_20181208_15100b_17_1g	Y_20181208_15100b_18_1g	Y_20181208_15100b_2_2g	Y_20181208_15100b_20_9g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_22_5g	Y_20181208_15100b_23_2g	Y_20181208_15100b_26_6g	Y_20181208_15100b_27_1g	Y_20181208_15100b_28_1g	Y_20181208_15100b_29_1g	Y_20181208_15100b_4_1g	Y_20181208_15100b_6_1g	Y_20181208_15100b_7_3g	Y_20181208_15100b_8_3g
0	10918.6523	11458.7432	10331.1719	9755.2705	10588.7451	12745.7295	13058.1943	10942.6426	13737.6172	9596.0898	10034.8018	11531.9863	10541.0947	11249.6494	11638.4697	9885.5908	11939.0957	11539.9482	13457.7227	13262.833	12266.1982	10880.5732	10495.7021
0.1334	11855.2861	12712.0596	10718.1191	10298.291	11155.4668	13972.3662	13202.3545	11468.9824	14361.8369	10144.5986	10423.875	13967.8545	10807.3184	12474.9014	13532.1357	10961.1611	11709.083	11272.0293	13529.1006	14837.7021	12996.7334	11616.417	10736.3223
0.2668	13202.4844	14774.2188	12395.8496	12652.5684	12224.9268	16057.7412	14401.7666	13286.7373	14916.1426	11283.7549	12212.4512	17252.416	11706.3389	13512.709	17106.1855	13096.1055	12254.3926	11508.1699	15175.3828	15536.9551	12265.1924	12110.9043	12270.4551
0.4003	15628.9678	16410.2656	15926.0859	16221.0752	13568.4766	19532.1797	16275.7881	14325.7217	15883.5508	14494.3662	13627.835	18010.252	12726.0098	14772.457	19624.9883	14730.1289	12480.3359	13253.3682	17390.1875	15050.8232	12897.1699	12612.876	13427.6201
0.5337	17787.9375	17542.9336	17801.082	18247.7988	15552.5166	20173.6289	17316.4629	19232.9277	15533.8379	16160.2793	15675.0244	16623.2129	13506.957	16093.9199	18227.8789	15182.7441	12790.0078	13265.7539	17681.2266	14434.127	13357.7021	15758.6797	12974.9834
0.6671	17014.9551	17271.3301	17307.3711	18487.9453	16441.457	18935.5254	16579.2695	18879.5859	16115.8135	15337.916	17729.5918	16202.4805	14049.0703	14661.3662	15586.0996	16141.0518	15032.2793	14694.6045	16394.457	14388.8584	13098.8232	16481.3945	12442.8828
0.8005	15807.9297	16210.4424	15590.7725	16521.1836	16647.9355	17989.3086	15644.3477	17171.3555	16468.2871	15647.6885	18407.4355	14803.4209	13978.2578	14347.8447	14561.8711	15980.833	17067.8359	14274.4414	15400.7744	14047.5254	13383.1494	16928.457	11894.6846
0.934	15101.1299	15713.1328	14050.4912	16192.9639	15719.2031	18379.5918	17173.6836	17583.8945	15517.9248	15781.4219	17568.1992	14746.0996	13122.5957	14287.5859	14220.5293	15617.1523	17942.3828	13354.0859	13950.4902	13361.7949	13727.5977	15796.6914	12114.7109
1.0674	14547.7344	15617.3066	13587.8662	16581.7852	15257.625	17397.1543	16306.6074	20196.7676	14960.6592	15778.8037	18737.8223	14899.8008	12609.2871	13722.0166	14688.4883	16027.5752	17144.7109	13491.5977	13359.7764	12317.1318	13651.832	16404.4238	11563.3184
1.2008	14434.0977	14417.4521	13354.6553	17189.1719	14692.251	16836.9062	14979.1631	21121.2754	14155.3623	14287.6572	19169.1055	15581.8682	12553.7363	14148.5078	14618.0771	15752.6191	15147.7412	13601.4541	13096.6982	12521.3115	13702.6416	15731.5898	11888.1846
1.3342	14516.4873	13148.6445	13606.6836	16667.5586	14602.9707	16092.0088	14750.3906	17503.0625	13558.2256	14139.0518	18493.9414	15390.5039	12047.9053	13493.9033	14521.4531	14683.3604	16390.5566	12310.4434	12940.1152	12345.3525	13781.1494	14783.2402	12075.6797
1.4676	15217.167	12949.4629	13597.5137	15664.5283	14080.6934	15048.4746	15162.5098	15548.1885	12943.8555	14303.8242	17164.3301	14829.3535	12388.5195	12849.6064	13685.5693	14550.6562	15947.1777	13114.2031	12397.2041	12215.6807	13603.3984	13587.3057	13336.5811
1.6011	14851.5059	13551.6064	13098.54	15234.4463	13978.9629	15156.8311	14832.208	15513.1855	13213.791	13875.9131	16408.7949	14284.4727	13112.8682	13224.3164	13510.0078	14074.3438	15644.0459	12263.5898	12274.8584	12180.9111	12839.2852	14116.9688	12704.1035
1.7345	14618.042	13527.1172	13346.4014	15376.8604	13408.3799	14736.3555	14647.167	13484.5703	12700.709	13282.5518	15583.2314	14468.0127	13802.793	12678.7354	12417.6113	14227.0244	15398.3848	11301.5293	12770.9473	12322.7559	12476.9473	13270.627	12672.2549
1.8679	14954.1973	13266.9639	12872.4893	15304.6709	12888.8877	14008.126	13289.25	12663.5098	13225.9639	13547.0615	15815.0674	14471.3916	13612.3525	12268.75	12169.0361	13053.2012	14297.5361	11448.0283	12224.5723	12405.4062	11404.4746	13535.0391	12376.8125
2.0013	14824.7891	12160.3418	12955.9609	14018.752	12371.6396	14650.5205	12769.8066	12638.7314	12535.1738	13647.0312	14838.1973	12758.7324	13865.5088	11856.0361	11892.584	12069.0723	13248.3828	11530.7705	11454.749	12249.9834	11495.0625	14130.3506	NaN
