x	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_6g	Y_20181208_15693b_3_20g	Y_20181208_15693b_3_2g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_3g	Y_20181208_15693b_7_13g	Y_20181208_15693b_8_15g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	30322.4824	25799.4805	29333.8691	28143.9473	28699.9102	29331.6465	27668.8477	31323.8789	27760.5684	32246.7637	28700.377	29764.166	26078.8047	27767.9004	29528.1895	29189.293	26602.916	27684.1953	28107.2598	29955.8633
0.1334	30622.3184	26756.7871	28067.0996	28512.3398	28793.8984	30360.2891	26669.5	30858.3379	27570.0859	32640.8359	29506.707	30306.7129	27598.7891	27049.0586	28588.6504	29171.2188	29506.4863	28693.1875	27086.8906	31107.709
0.2668	31093.0898	26729.8242	29325.6309	28798.6543	28301.7949	29474.8828	27792.8223	30694.4941	28037.7461	32755.5508	30280.582	30294.9902	26597.7305	27660.1758	29507.5508	30495.7832	29330.6816	28180.1289	27485.1719	30543.3887
0.4003	31001.6074	27521.1934	29693.6523	29369.5625	28485.791	30447.7852	28872.0215	30331.0879	27144.7207	31416.8555	30954.0723	28166.4531	27115.2441	27513.7539	29358.3359	28800.457	28515.418	29864.1055	27408.3848	30491.7422
0.5337	31932.6797	28713.207	28181.7812	29429.0703	28568.2891	29642.9648	29581.9727	30805.2949	28941.0801	32878.8945	30694.9766	29143.6797	27299.1758	27223.9688	28310.8594	29040.6699	29168.9199	30474.293	27909.8105	30463.9141
0.6671	31754.9199	28901.002	28740.6289	26922.6953	28726.6523	30051.3477	29287.1934	29627.2305	28617.0762	31814.0117	30326.3203	28590.5117	25585.3672	28034.8906	28166.1953	30392.1406	27580.1973	29917.9102	27323.7715	30806.1445
0.8005	31118.5039	28121.793	29816.5195	28650.2676	28634.4355	29862.5977	29059.3906	28799.2441	28398.7793	31290.2227	31639.3594	28746.5703	26096.2578	27707.1426	29718.6309	29831.6953	28779.3223	29129.0215	27267.707	29461.6484
0.934	32191.4082	28712.8867	30744.2461	28394.7324	27570.6113	30355.1777	27410.1699	29502.5742	27753.502	31989.373	30677.4629	27572.5508	26285.4492	27456.625	29699.2109	28695.0098	29855.8223	29090.5801	29002.9609	30546.8867
1.0674	31090.7656	27331.2715	30472.0742	26695.166	28390.9434	29495.498	27899.8652	30159.3535	27680.1641	33439.5391	30972.666	28197.4062	27332.9609	28833.6191	28531.8086	30659.9922	28429.8906	28824.3477	28120.4062	30272.7988
1.2008	30969.1855	27667.998	29614.627	27669.1445	27551.7695	29913.0664	26836.4395	30626.7676	27643.1152	32511.041	30905.9707	28118.4238	27017.6875	28682.498	28581.627	30030.2754	28412.6309	27955.457	27139.2461	31346.9941
1.3342	31557.6777	28063.9199	29110.166	27933.0566	27636.3398	30695.7246	27666.8652	30768.5449	28484.5645	32569.5977	30564.0293	27796.2773	25759.1875	27759.6113	29065.8457	27588.7344	27553.9863	27542.0156	27911.0527	32294.8203
1.4676	31801.1914	28309.7715	28484.0898	28254.9473	25798.5312	30600.4336	28179.7793	30016.248	28300.6152	32168.4941	30037.877	27509.4883	26302.3301	28154.5352	30502.4121	29609.2402	25943.8711	27755.1484	27242.2285	32013.582
1.6011	32005.8301	27622.4453	28541.8145	28012.1543	25556.3496	30434.3809	26492.8008	28531.3164	28860.7832	34672.1328	29500.0977	28076.4805	28040.4414	27507.6953	30019.8125	28551.3848	26808.7793	28588.8105	27142.9492	32099.1816
1.7345	32680.7676	28390.3672	28970.0449	27691.4414	25948.623	30230.6816	26613.3398	29345.375	29132.2559	33326.9727	29875.0293	28870.8711	28277.4785	26720.9023	29417.7793	28590.6875	26870.0801	28508.2383	28306.5762	31722.0078
1.8679	31541.8945	28789.8418	28127.6309	27027.7695	27359.5371	29890.125	25927.2754	30556.8242	29847.1328	34584.5469	30759.0977	31225.2031	27327.623	28615.8613	30228.8496	28258.1113	28742.6992	28415.3105	28118.4062	33192.3711
2.0013	30585.3086	27816.3359	28354.5938	25945.0254	27078.4434	29987.2051	27023.6523	32282.9883	30206.8301	35373.3906	29607.4609	30832.5332	26385.6211	29082.1992	29418.7129	29807.0332	28682.1602	29177.7793	28341.4297	33043.2852
2.1347	32191.1758	28012.5391	28766.2012	27320.0527	28696.8535	31450.1055	27600.3242	32498.4453	28245.1133	34566.1328	30909.4629	32242.6191	26749.2402	29392.084	28009.3594	28790.9355	28028.8965	28395.6094	29769.2891	33415.2266
2.2682	30760.916	28293.9844	29156.4551	27679.7871	30825.1562	31779.9785	26893.8262	32277.5352	28149.5781	37298.4062	31525.1484	35586.1875	25950.7168	34470.6016	28148.2754	30189.3535	28332.6465	30310.5605	29409.7617	34047.9062
2.4016	31587.0918	28360.0957	29598.0547	29350.3711	33616.1953	32510.1621	28689.4785	33451.5312	27597.8047	39804.3438	34413.9805	45365.2656	26155.3125	41562.9531	29696.2617	29585.9062	30369.7578	30632.0586	30806.4688	36904.3398
2.535	32141.5234	29413.0625	28488.0801	29521.75	42884.4922	33007.1016	29231.5137	34092.0195	28169.3672	50450.0469	39132.4297	58590.6797	26876.418	56131.7539	30033.5488	32454.0918	31248.9668	29234.918	30699.3691	39496.7617
2.6684	32115.1621	30912.3965	29530.0371	29016.2832	64157.5195	37845.3047	29400.2969	35145.0547	29444.5918	74587.1641	53344.6875	63167.5508	26193.9531	71145.4844	28645.1641	35300.5508	31068.6367	29283.4199	34523.1875	53713.5859
2.8019	35860.4531	35065.0977	32372.0723	30197.748	91724.4844	44304.4375	31298.3809	39110.7891	30698.543	120677.2969	78317.9922	49056.1172	26731.1465	64871.8711	29521.834	42409.5977	32777.6875	29918.334	43946.3477	76946.6094
