x	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_13_18g	Y_20181208_15693b_3_20g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_3g
0	29333.8691	28699.9102	29331.6465	31323.8789	32246.7637	29764.166	27767.9004
0.1334	28067.0996	28793.8984	30360.2891	30858.3379	32640.8359	30306.7129	27049.0586
0.2668	29325.6309	28301.7949	29474.8828	30694.4941	32755.5508	30294.9902	27660.1758
0.4003	29693.6523	28485.791	30447.7852	30331.0879	31416.8555	28166.4531	27513.7539
0.5337	28181.7812	28568.2891	29642.9648	30805.2949	32878.8945	29143.6797	27223.9688
0.6671	28740.6289	28726.6523	30051.3477	29627.2305	31814.0117	28590.5117	28034.8906
0.8005	29816.5195	28634.4355	29862.5977	28799.2441	31290.2227	28746.5703	27707.1426
0.934	30744.2461	27570.6113	30355.1777	29502.5742	31989.373	27572.5508	27456.625
1.0674	30472.0742	28390.9434	29495.498	30159.3535	33439.5391	28197.4062	28833.6191
1.2008	29614.627	27551.7695	29913.0664	30626.7676	32511.041	28118.4238	28682.498
1.3342	29110.166	27636.3398	30695.7246	30768.5449	32569.5977	27796.2773	27759.6113
1.4676	28484.0898	25798.5312	30600.4336	30016.248	32168.4941	27509.4883	28154.5352
1.6011	28541.8145	25556.3496	30434.3809	28531.3164	34672.1328	28076.4805	27507.6953
1.7345	28970.0449	25948.623	30230.6816	29345.375	33326.9727	28870.8711	26720.9023
1.8679	28127.6309	27359.5371	29890.125	30556.8242	34584.5469	31225.2031	28615.8613
2.0013	28354.5938	27078.4434	29987.2051	32282.9883	35373.3906	30832.5332	29082.1992
2.1347	28766.2012	28696.8535	31450.1055	32498.4453	34566.1328	32242.6191	29392.084
2.2682	29156.4551	30825.1562	31779.9785	32277.5352	37298.4062	35586.1875	34470.6016
2.4016	29598.0547	33616.1953	32510.1621	33451.5312	39804.3438	45365.2656	41562.9531
2.535	28488.0801	42884.4922	33007.1016	34092.0195	50450.0469	58590.6797	56131.7539
2.6684	29530.0371	64157.5195	37845.3047	35145.0547	74587.1641	63167.5508	71145.4844
2.8019	32372.0723	91724.4844	44304.4375	39110.7891	120677.2969	49056.1172	64871.8711
2.9353	37754.5352	85203.2109	60572.3594	43529.2227	163941.9062	36838.2852	45267.668
3.0687	51592.5195	55588.7578	80901.2734	39996.2031	155593.2344	32759.3613	35264.1211
3.2021	72650.5312	39956.2344	74518.3281	35474.4883	109622.5312	30545.2617	31602.8867
3.3355	68920.8594	33818.293	53728.375	32704.0605	67088.5469	30402.4023	29257.5605
3.469	48542.3438	31280.0996	40370.6523	31128.3926	46266.0898	30800.7031	27934.7871
3.6024	36406.9531	NaN	34208.0234	30836.7734	39609.5781	NaN	NaN
3.7358	32461.3535	NaN	32784.3633	NaN	36676.5859	NaN	NaN
3.8692	30739.2617	NaN	33165.1523	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	32334.791	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	30736.2344	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN
