x	Y_20180224_15102_10_1g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_1g	Y_20180224_15102_13_1g	Y_20180224_15102_14_2g	Y_20180224_15102_14_3g	Y_20180224_15102_15_5g	Y_20180224_15102_15_7g	Y_20180224_15102_15_9g	Y_20180224_15102_16_8g	Y_20180224_15102_18_6g	Y_20180224_15102_19_9g	Y_20180224_15102_1_2g	Y_20180224_15102_20_3g	Y_20180224_15102_20_5g	Y_20180224_15102_21_5g	Y_20180224_15102_22_3g	Y_20180224_15102_23_1g	Y_20180224_15102_26_2g	Y_20180224_15102_26_6g	Y_20180224_15102_27_3g	Y_20180224_15102_2_2g	Y_20180224_15102_2_3g	Y_20180224_15102_2_5_s_g	Y_20180224_15102_3_3g	Y_20180224_15102_3_4g	Y_20180224_15102_3_6g	Y_20180224_15102_6_2g	Y_20180224_15102_9_7g
0	12763.939	11800.711	13045.184	12600.312	15004.812	14166.955	23122.832	15479.74	14035.932	13085.619	13453.57	13901.968	14913.225	14225.845	14799.048	14436.408	12758.52	16901.477	14948.855	12548.098	13742.51	12639.715	14322.764	12377.773	12507.172	13358.23	12842.313	13299.075	12711.158	12761.417
0.1334	13512.704	12541.837	15086.302	14032.759	16414.957	15282.061	25377.416	18676.66	16334.946	14444.58	15534.266	14368.591	16930.346	15370.258	14868.106	16819.691	13410.283	16968.145	16698.744	13051.334	15057.969	13697.552	16467.266	14037.014	14730.189	15031.426	13086.549	13635.892	14864.7	13543.587
0.2668	14222.405	14480.646	18713.533	18921.521	20163	20938.871	27821.738	25542.453	18615.783	17320.01	19051.586	18038.859	20258.324	17941.287	16580.107	23038.822	17019.967	19288.006	22473.758	16759.057	17592.42	17063.473	19198.762	17955.811	18648.814	20831.342	15887.624	16067.934	17972.732	14052.355
0.4003	19600.396	18680.084	22586.693	23458.379	26177.156	27091.799	25851.477	32015.154	19672.561	23638.955	21235.303	27825.535	21319.762	21153.289	20380.736	27631.35	22992.643	22179.17	33113.867	23532.611	25382.389	22881.627	24457.445	26268.02	20920.531	23914.654	18244.855	20781.854	22297.756	16457.594
0.5337	25674.127	27655.223	23226.75	24338.473	35296.543	26983.238	23872.783	36662.141	17544.67	25303.947	18475.023	38121.082	20429.17	25035.613	22242.58	26748.914	27077.055	21271.65	39528.887	25585.518	33754.93	28159.938	23942.748	30936.963	21093.963	24705.285	21240.748	27146.729	24670.686	17810.605
0.6671	29661.371	38846.277	21116.168	23461.906	39087.516	23932.547	21828.596	35485.266	16393.84	24292.818	19010.359	39310.84	20590.633	24584.67	20172.736	25303.254	23855.188	19531.729	39658.645	24805.613	37070.91	29553.92	20479.371	29152.676	19661.891	23754.613	17766.795	29553.756	24314.166	17095.174
0.8005	27168.389	40947.703	20610.891	20118.689	33131.586	22630.176	22195.215	30300.98	16767.299	21307.734	18373.367	34042.742	20912.66	21614.244	18309.742	23528.541	20401.768	18151.041	33601.086	23749.037	38996.688	28326.199	18802.125	23879.082	18918.049	23407.057	17279.316	25821.463	22396.537	16155.39
0.934	23486.326	34050.5	21564.848	18552.262	28312.018	21529.625	21688.385	27342.77	16944.824	20011.459	17258.666	28761.582	20062.301	19826.695	16976.896	23576.711	19657.676	18037.986	25145.924	21302.09	36684.129	23512.156	19525.742	21526.293	19131.729	22279.682	17808.666	22599.611	21431.961	16538.648
1.0674	21314.066	26935.18	22090.236	18769.457	26825.805	19892.367	21870.846	27801.477	16103.007	18207.35	17795.641	28521.59	19207.844	18975.594	17053.961	22354.959	20507.803	18378.004	21936.479	19655.1	32253.17	22537.488	18025.656	20474.855	18058.283	20413.486	17599.996	21287.57	20286.344	17048.662
1.2008	21200.48	26135.492	21442.562	20521.465	27560.768	19731.543	22298.672	28701.359	16814.24	17447.445	16971.365	26761.75	20069.119	18213.721	19579.275	22112.311	20256.545	18461.045	18898.217	17060.234	31719.543	21254.814	18995.514	19712.994	18151.184	19964.406	16599.457	20849.963	20918.125	15962.068
1.3342	21587.758	26189.199	21396.754	20069.447	27376.221	21420.35	20259.723	26614.004	16062.463	18975.123	16485.91	24516.646	19603.189	18404.346	20105.398	20581.422	19588.166	17638.215	19396.674	17293.029	32093.957	19055.299	20058.016	21223.699	19150.406	22584.533	17190.461	21653.107	20992.391	16950.84
1.4676	22595.109	25083.094	21657.264	19877.678	26312.098	22839.793	19411.75	24950.369	17332.115	19425.307	16006.391	21981.945	19145.041	20249.588	20189.488	20056.918	18789.484	16328.153	19246.125	16263.306	29881.023	17429.207	18803.182	23109.721	18579.064	21959.844	17268.9	22926.939	19718.684	18173.947
1.6011	23745.584	25727.936	21430.219	18590.5	24012.521	24355.316	18804.217	22695.197	17081.738	17591.92	16973.463	21070.875	19034.357	20283.121	19013.016	21730.635	18456.176	15938.593	18320.961	15742.16	26953.967	18432.771	19131.398	23498.484	18731.559	20230.893	17238.971	21973.562	19604.646	17315.453
1.7345	24248.807	25887.264	21777.867	18688.045	24262.236	24183.891	19277.516	21601.236	16796.537	17553.01	16490.938	19162.463	18173.178	20735.85	17655.486	23532.438	18596.029	15859.303	18845.449	17021.154	26373.006	17982.154	19057.441	23003.404	19732.684	20439.301	18638.928	21302.045	18129.041	17610.936
1.8679	24091.543	24473.141	22975.682	18538.525	24744.729	24883.531	17317.408	20961.695	15274.862	18135.367	16404.678	17845.516	18771.074	19183.785	17758.703	24255.049	17996.568	16356.11	19197.596	18530.416	25457.037	18396.451	18395.107	22734.043	19654.688	19753.318	17976.613	21944.457	18642.666	18217.5
2.0013	22908.795	20819.582	21803.41	18543.475	24836.289	22853.877	17424.074	20940.139	16380.486	16899.201	16255.089	16995.496	19257.961	18814.953	17735.703	22238.084	17032.463	16179.18	18050.873	18646.473	25147.576	19987.469	19191.652	23450.084	18877.004	19402.348	16861.713	21489.838	18677.453	17720.295
2.1348	22557.412	19008.562	20176.809	17919.598	24400.324	19772.625	17844.566	19083.893	15815.804	16166.527	15188.204	16200.382	19954.229	18110.418	18908.68	19807.971	17036.254	16554.123	16765.922	19774.846	24530.877	20727.799	18074.865	24354.504	18948.877	19177.381	15989.489	20583.623	17192.635	17144.234
2.2682	20769.639	19660.871	20092.621	17089.773	22899.219	18827.625	17011.23	18437.846	16000.942	16050.745	15267.44	15702.946	18345.965	19024.195	17805.855	19149.852	16758.205	17064.174	16703.621	18229.461	24148.957	21058.166	18975.199	22816.92	18304.738	17453.062	16184.926	20651.543	16980.041	17930.906
2.4016	19835.646	19306.91	19998.242	17810.135	22371.416	18499.648	17908.422	17338.16	15895.498	16528.732	14787.167	15138.246	17429.707	18451.111	17818.297	17644.373	15262.443	16838.146	16158.066	17411.311	23833.537	21262.523	16698.207	21261.945	16721.389	17148.791	16422.148	20001.5	16026.027	18388.414
2.535	21457.398	19524.229	19952.312	19409.654	19779.529	17105.756	18867.223	17738.918	14709.173	16803.891	15230.103	15574.919	16802.92	19091.557	18675.76	17161.234	15671.863	15483.02	16897.865	16501.658	24334.025	20267.947	17284.697	20995.887	17417.443	17058.262	16610.256	19786.676	16167.455	17924.057
2.6684	22118.188	19301.094	20468.805	19096.605	18749.377	17099.809	18633.678	15550.62	15745.925	15380.809	14947.807	15255.618	18620.6	20556.793	19529.65	17297.258	15067.054	14604.082	17420.74	15397.387	22640.721	18918.699	16935.363	22358.596	18433.352	16156.29	15427.951	19647.053	15631.231	16826.898
2.8019	19120.221	20021.176	20497.041	19241.455	18418.205	17671.631	17882.771	14264.506	14367.384	15047.747	15151.958	14949.286	20329.445	22426.291	20006.9	16542.434	15049.129	14645.71	16123.761	14551.577	21288.896	18408.998	17227.74	21816.467	18132.045	15978.506	16389.721	20213.73	14253.603	15582.639
2.9353	17681.838	19448.168	19659.074	17778.932	19035.6	16835.148	16611.506	14486.324	14568.148	15397.24	15052.286	15508.691	21514.594	21256.441	21568.328	16047.555	14838.357	13272.526	16595.236	14490.529	22193.107	18036.156	16964.361	22086.504	18376.908	16212.068	15312.579	25493.225	15037.95	16275.285
3.0687	17458.566	18300.799	19198.434	17650.258	17597.24	16241.967	15246.882	14090.809	14669.966	15537.603	14661.652	15912.257	19741.846	19874.779	23768.807	16416.678	15230.412	14566.177	16986.26	14877.532	23012.375	17239.863	16494.863	19341.975	18007.674	15871.335	13815.07	31672.246	14256.681	17021.092
3.2021	17038.82	18131.143	17844.592	18177.172	17967.562	16257.311	14910.266	13959.68	13761.012	15297.272	14783.712	14182.133	15466.203	17852.131	23027.143	17079.738	14880.785	13738.238	16764.004	13831.483	21542.871	16467.996	15337.131	18878.131	17355.18	15526.07	13077.252	35031.766	12878.342	17669.965
3.3356	17599.242	19252.328	16531.648	18996.615	17919.246	15800.186	NaN	14943.856	12633.363	14901.75	14794.387	15458.54	13671.258	16090.26	20180.389	15914.461	14384.002	14417.794	18231.803	14561.859	20388.996	16614.078	13619.604	18775.539	16878.271	16336.328	13381.349	27485.092	12379.533	17707.654
3.469	17919.145	18661.719	15790.205	18168.648	16895.326	17029.811	NaN	15191.912	12301.712	14086.588	14175.575	15292.419	13182.613	15517.807	17908.805	15630.347	14199.905	13447.371	18956.135	14932.406	20139.912	16754.799	13771.976	17976.326	16324.712	15932.223	13124.841	22682.072	12205.403	15806.252
3.6024	16459.141	16996.514	15017.732	16874.609	16019.745	17901.867	NaN	NaN	NaN	14429.839	NaN	15483.916	NaN	15201.965	15862.065	14647.151	14229.21	NaN	17767.207	14106.736	19259.574	16464.529	NaN	17871.133	16601.938	15990.176	13274.938	18763.195	12422.451	14677.846
3.7358	15107.519	14943.707	15153.002	18482.48	15753.103	17851.18	NaN	NaN	NaN	NaN	NaN	15442.065	NaN	NaN	13971.779	13656.655	NaN	NaN	NaN	NaN	18402.293	15854.77	NaN	17500.15	15397.867	15277.12	12725.308	15853.814	NaN	14013.176
3.8692	14379.175	15209.355	15121.124	NaN	15049.155	NaN	NaN	NaN	NaN	NaN	NaN	15610.8	NaN	NaN	13514.707	NaN	NaN	NaN	NaN	NaN	17829.6	15680.019	NaN	NaN	15672.396	NaN	NaN	14714.388	NaN	13657.972
4.0027	14089.471	14848.983	15050.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17497.5	15442.419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	14367.039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16579.506	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.1374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.2708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.4043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.5377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.6711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.8045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.9379	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.0714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.2048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.3382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.4716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.6051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.7385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.8719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.1387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.2722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.4056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.6724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.8058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.9393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.0727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.2061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.3395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.473	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.6064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.7398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.8732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.0066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10.1401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
