x	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_4g	Y_20181208_15694b_2_5g	Y_20181208_15694b_3_1g	Y_20181208_15694b_6_6g
0	9050.8965	13517.3838	10731.2188	12322.251	10460.4297
0.1334	9445.0576	13597.1035	12063.5234	12718.0752	10960.1904
0.2668	9512.208	13888.8311	12250.3496	13396.9561	11699.1465
0.4003	10690.0264	17219.373	11929.4297	15251.1191	12692.1699
0.5337	12158.7568	17573.832	11784.5791	17012.7461	14283.6299
0.6671	15474.2217	15181.1641	11071.2598	15805.5039	14443.4023
0.8005	18004.8691	15038.4668	11061.9658	14787.1162	14516.1621
0.934	17518.8047	14438.916	11435.0166	13194.3779	14332.5459
1.0674	16669.4375	13048.4307	11268.6133	13396.3408	14334.0391
1.2008	16704.8945	13290.665	11439.8457	13596.5352	14007.2764
1.3342	17232.6875	12584.1094	10475.4463	13266.959	14359.5488
1.4676	16340.7744	13320.9668	10204.4141	13853.6797	14594.166
1.6011	17281.875	12229.5791	10704.6826	13511.4629	14172.6006
1.7345	17869.2637	12469.7881	10816.083	13131.0459	13988.3076
1.8679	18566.9023	12574.6465	10466.1084	11509.3545	13812.4551
2.0013	17694.2305	12137.1523	10851.4512	11270.3066	13082.5449
2.1347	14704.7129	12157.8584	NaN	11700.9805	12835.1738
2.2682	12625.8008	11893.9551	NaN	11201.4453	13049.668
2.4016	12046.1572	11000.3662	NaN	11672.7715	12832.7939
2.535	11703.5605	10535.6104	NaN	11955.458	12331.8643
2.6684	11281.3213	NaN	NaN	11730.0312	12811.1455
2.8019	11228.0049	NaN	NaN	NaN	12315.4844
2.9353	NaN	NaN	NaN	NaN	11412.2061
3.0687	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN
