x	Y_20181208_15693b_1_11g	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_3g	Y_20181208_15693b_10_16g	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_7g	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_4g	Y_20181208_15693b_12_5g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_3g	Y_20181208_15693b_13_4g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_15g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_7g	Y_20181208_15693b_3_18g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_12g	Y_20181208_15693b_4_14g	Y_20181208_15693b_4_2g	Y_20181208_15693b_4_30g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_23g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_9g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
1.3342	100182.8281	38376.4727	82341.75	55229.2812	94830.8828	73307.75	37043.2227	36685.7656	50126.1797	60005.1016	37377.6602	29088.002	74579.3828	61418.7344	41288.7891	90971.9062	32140.4609	54128.8203	30260.834	67420.6484	81272.3438	62666.5156	50925.7109	77546.4375	65407.8633	57836.3086	61957.1289	113064.1406	40651.1406	56696.7812	41941.7617	34503.2031	60427.5703	65381.082	25392.0312	73265.7969	32453.1836
1.4676	74037.7109	48585.3008	122403.2344	42228.832	81907.7344	53734.8594	43042.6445	51668.2852	74616.2266	43050.2695	49238.0742	29283.1172	54852.6016	44240.6367	57535.0469	68318.6016	39640.7109	39050.4492	32798.9961	48008.1836	73502.1953	51969.8516	75420.6641	63504.8477	44987.9375	73430.3906	66993.9922	112506.2422	52881.7422	86216.0625	57609.9922	NaN	73692.5625	89148.5391	26162.5352	48579.6641	32747.4531
1.6011	50243.6016	68311.2812	115323.9297	35676.8398	55211.0195	39065.3477	61259.6914	68521.2031	98882.5859	37186.6562	49115.2109	30296.7461	40165.9844	37046.7695	67794.7188	44707.7617	45092.4258	33760.7461	38853.6055	38220.5078	52052.3672	38979.875	77198.9219	46334.9844	40369.3984	66944.75	51559.9883	84064.3047	83102.8125	105224.2188	87587.0547	NaN	62715.8555	87210.7812	30815.4766	36499.7109	40061.5312
1.7345	40095.6992	87503.2031	78755.7656	34862.8711	40643.1484	33477.1484	76900.9531	62494.6172	81402.9297	33406.0391	38525.793	36770.4531	31236.3281	33916.6211	58367.4219	33864.6953	43810.2656	32347.5117	47717.6016	34234.6719	41132.1094	31257.6914	54062.5273	39907.2461	39028.5898	50703.4492	38568.9297	54075.9609	130890.8984	89148.4688	107290.7891	NaN	45894.6055	64872.0156	40378.1758	33431.3125	54796.3867
1.8679	35671.0859	78121.2891	50778.6953	33353.625	36389.5742	32441.5	69937.5781	43622.0703	56868.1758	33004.4336	29736.6875	45093.8398	27904.9785	30443.6289	43513.5352	32855.3516	36978.2812	30203.084	46481.7891	33638.7656	37912.1289	30775.6152	40759.3945	39931.332	42395	38406.832	32077.6328	41629.8633	129194.2031	59976.6172	84551.9531	NaN	37769.6094	43130.1836	56751.1641	30566.8086	63761.043
2.0013	34904.793	55470.5391	40694.1445	32957.9258	40628.6328	NaN	48530.2344	34725.0664	44291.7344	31522.0312	27990.0801	63343.375	28502.2031	31646.5645	35192.4844	33045.4062	33264.8359	NaN	40575.1641	32222.4766	36521.7461	NaN	34301.8984	48136.6367	NaN	33708.8867	33270.6953	35466.0156	89780.3828	45723.8164	53804	NaN	34350.8984	34190.4375	74868.6328	29981.0293	50746.3789
2.1347	32906.3789	43235.1602	36809.6797	NaN	39090.0859	NaN	39306.5352	31378.1191	38486.3672	NaN	27560.7734	77960.1094	27819.207	31451.8438	33213.3125	33826.3008	31416.793	NaN	35258.8945	31237.123	33816.4961	NaN	31067.8535	NaN	NaN	31764.1172	34987.332	35085.0625	57114.125	41682.0117	43148.7305	NaN	34074.9609	32415.2188	70953.3203	30862.8965	38424.0898
2.2682	NaN	36391.7422	NaN	NaN	NaN	NaN	35658.7422	31392.1973	34876.2852	NaN	NaN	70352.7344	NaN	NaN	31734.2871	NaN	NaN	NaN	33938.5938	NaN	NaN	NaN	NaN	NaN	NaN	30546.9492	NaN	32675.0566	46941.5391	41625.0938	38832.8984	NaN	NaN	29416.2285	46890.3789	NaN	30616.2988
2.4016	NaN	36648.0078	NaN	NaN	NaN	NaN	NaN	30309.7188	35731.4727	NaN	NaN	48520.5234	NaN	NaN	NaN	NaN	NaN	NaN	32653.1543	NaN	NaN	NaN	NaN	NaN	NaN	30903.3223	NaN	33397.8125	42176.0742	42146.9844	37708.7852	NaN	NaN	NaN	31858.6035	NaN	28298.4023
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29407.459	34887.1406	NaN	NaN	34613.8516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42635.8711	NaN	35474.3594	NaN	NaN	NaN	28774.6875	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28986.6562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38431.2266	NaN	NaN	NaN	NaN	NaN	26449.1152	NaN	NaN
