x	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_9g	Y_20181208_15693_17_9g	Y_20181208_15693_18_2g	Y_20181208_15693_18_6g	Y_20181208_15693_18_9g	Y_20181208_15693_20_2g	Y_20181208_15693_4_9g	Y_20181208_15693_6_6g	Y_20181208_15693_7_6g	Y_20181208_15693_9_14g
0	28918.4805	27180.8066	29781.0195	27620.0762	33430.6836	31350.3066	30288.0762	31503.8984	28260.7129	28560.6562	26420.8691	28330.7461
0.1334	28515.6094	28024.4648	30188.6074	27161.2227	31109.8281	31033.332	30350.4102	32533.5762	30434.791	28981.4629	26936.8691	27274.668
0.2668	27127.2246	27214.4336	29289.1934	28249.7207	30013.1484	32328.1074	30208.2324	31856.8516	28732.9258	28567.7539	26871.4336	27317.8613
0.4003	27059.8359	27393.2754	30636.9746	28494.127	28574.5625	32506.373	30754.0371	30757.6035	29373.7891	29116.5391	26919.7715	28179.3164
0.5337	28704.0879	28054.5664	29792.7852	28494.1641	28663.5176	32265.2734	32076.627	29467.0449	29368.4297	29292.8535	28517.6914	27635.7656
0.6671	28245.7734	27510.9141	29652.9395	29439.7441	27340.7988	34574.0625	31485.0117	29308.7422	29789.2227	29606.3438	29288.5879	27800.9375
0.8005	28513.2676	27951.8125	29766.7246	28620.4004	28872.1719	32501.6543	32276.7656	29159.6621	30804.707	30270.873	27493.5098	28514.1172
0.934	28038.3672	29241.8066	30196.8613	28935.4883	28050.1973	35047.2109	32715.8672	29125.8828	29294.9453	29416.9883	27856.7285	29176.6016
1.0674	28549.7715	28887.748	29788.4473	28417.5547	29274.1582	34761.5078	32058.1895	29887.0859	29879.4199	28791.502	29361.4414	28634.8301
1.2008	27942.0469	27673.5449	30341.3438	30329.6152	28828.0039	33849.0859	32621.4805	29950.7109	30473	28831.918	28965.1113	29496.0527
1.3342	27901.7812	29086.166	30971.3047	29694.8691	28718.9824	33776.3438	31913.998	31104.6152	29948.5312	28475.6836	29247.5859	30235.0898
1.4676	28002.4141	28745.4922	31043.4414	29301.543	29193.7812	32331.5762	32377.7949	31150.1133	30335.7227	29774.4004	27705.7656	29985.1797
1.6011	28457.4902	30717.8398	31329.4375	30418.5039	29001.4805	34393.6641	33485.6797	30515.5781	31294.5859	29707.625	27757.7793	28985.9551
1.7345	29329.9336	30880.5098	31377.4648	29444.9668	29151.7559	35386.793	32881.4609	29761.2148	29906.1914	30749.25	29654.8965	28184.8066
1.8679	28691.0176	35516.4961	31833.377	30147.8789	28367.8711	34059.1016	34258.9219	29658.3613	28716.5703	35870.793	31388.0586	29017.3203
2.0013	30895.6172	44444.1992	33896.3516	31120.5566	29903.3887	33510.7266	35059.9648	31556.4316	30727.0254	48409.2422	31005.2891	29305.2949
2.1347	33832.7148	51236.3438	36029.1562	33645.9453	32324.4316	34391.5078	37129.3828	31577.7285	30283.7324	63052.7969	32489.9727	29961.1562
2.2682	38171.0977	46632.8086	40356.2812	38699.793	31831.1719	34134.9414	42637.6562	31364.0176	30893.709	66732.4375	37339.5703	29435.0117
2.4016	43162.9219	37751.625	49171.1602	49219.1562	33042.25	37123.2266	59099.9102	31534.1211	31689.2969	54512.1328	42795.8359	27619.9414
2.535	40011.9336	39361.9375	50818.5547	75371.7656	33588.5508	43327.8711	96808.9922	32777.3906	33470.082	39917.9609	42779.3594	29284.5273
2.6684	32627.4258	NaN	43249.6211	101317.9922	40557.3203	47935.8867	134079.9688	36753.1523	34098.0039	35599.7617	36287.1602	32699.8555
2.8019	31117.8301	NaN	37194.0156	85973.6172	56514.5742	40979.7383	123591.2422	45922.375	42072.3008	33142.7461	31596.8477	41016.8125
2.9353	29059.2461	NaN	33450.625	54482.582	60398.1445	36943.8438	80320.6406	63787.3945	48796.4023	NaN	29032.375	54891.8672
3.0687	28850.9668	NaN	32310.582	39338.2656	45271.4805	34268.8984	53197.4766	70921.3359	45232.7109	NaN	29130.1973	71468.6797
3.2021	NaN	NaN	32724.3125	34732.1836	35101.3828	34069.0312	43066.7305	52663.4531	37845.0078	NaN	NaN	56216.3203
3.3355	NaN	NaN	32953.8828	35007.7695	32809.1953	34159.6094	37835.2422	40011.7344	31805.8359	NaN	NaN	39809.3828
3.469	NaN	NaN	NaN	34855.9727	31606.8926	NaN	35019.6992	35889.8555	31651.6152	NaN	NaN	31727.4297
3.6024	NaN	NaN	NaN	NaN	29276.166	NaN	34524.1289	NaN	30715.002	NaN	NaN	29625.4648
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	32576.5156	NaN	NaN	NaN	NaN	29219.7969
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	31190.0195	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
