x	Y_20180212_14590b_1_12g	Y_20180212_14590b_1_15g	Y_20180212_14590b_1_1g	Y_20180212_14590b_1_7g	Y_20180212_14590b_10_6g	Y_20180212_14590b_11_4g	Y_20180212_14590b_12_7g	Y_20180212_14590b_13_2g	Y_20180212_14590b_13_3g	Y_20180212_14590b_17_4g	Y_20180212_14590b_18_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_20_5g	Y_20180212_14590b_21_2g	Y_20180212_14590b_25_4g	Y_20180212_14590b_28_4g	Y_20180212_14590b_30_5g	Y_20180212_14590b_31_4g	Y_20180212_14590b_32_1g	Y_20180212_14590b_32_6g	Y_20180212_14590b_33_7g	Y_20180212_14590b_35_1g	Y_20180212_14590b_37_2g	Y_20180212_14590b_4_2g	Y_20180212_14590b_41_2g	Y_20180212_14590b_44_2g	Y_20180212_14590b_45_5g	Y_20180212_14590b_47_5g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_2g	Y_20180212_14590b_48_8g	Y_20180212_14590b_48_9g	Y_20180212_14590b_5_10g	Y_20180212_14590b_5_5g	Y_20180212_14590b_5_9g	Y_20180212_14590b_6_1g	Y_20180212_14590b_8_8g	Y_20180212_14590b_9_2g	Y_20180212_14590b_9_5g
0	36249.52	38342.828	38050.496	38383.5	37981.527	39137.309	36859.391	38389.562	38368.277	37980.66	35992.148	38918.898	38111.824	42855.555	33473.242	41543.441	33679.801	39267.164	39798.586	37919.824	33332.621	39207.543	39234.16	40927.855	38311.969	41488.383	39477.199	41690.773	31188.809	38628.234	31669.736	31903.6	38022.016	35305.688	38200.141	31386.043	32455.018	37136.48	34710.289
0.1334	36274.023	38242.438	36876.391	38095.41	39508.41	40433.965	36299.238	42010.656	39561.891	37342.457	36805.375	39822.762	39306.387	43308.695	34480.516	43801.203	33878.957	41198.824	38846.168	38104.438	34505.652	39227.484	40850.82	39759.906	37499.695	42398.754	41266.668	43993.305	31826.729	38222.664	32410.439	32600.965	38186.305	36265.473	36903.098	30811.625	31789.875	37292.586	33562.914
0.2668	36511.188	39059.199	37861.234	38865.773	36825.75	40936.426	36443.625	42799.254	39457.164	37206.168	37640.223	39325.016	40898.801	42830.719	33187.461	42951.18	31819.48	39752.488	38989.297	36952.625	33110.609	38913.211	40925.074	41408.023	37143.164	41003.512	41114.754	42827.742	31599.029	36731.688	31896.006	33453	38491.23	35565.086	38120.523	30064.297	32684.906	38134.43	33774.5
0.4003	35027.402	40473.023	38729.918	40778.605	37269.496	38429.941	36938.25	41323.613	40450.699	38008.594	37043.918	40502.203	39531.156	40061.965	33733.473	41580.527	31645.553	40578.914	40210.734	35716.113	35403.883	39925.27	40220.406	42805.297	38517.262	39481.188	41501.523	42854.652	31466.213	37972.625	32437.51	32129.01	37886.695	36114.012	39783.145	31746.865	33092.258	39359.434	34008.445
0.5337	34738.152	38300.73	38717.281	37968.668	36948.445	39817.891	34650.066	41239.527	38357.969	36993.031	36021.934	39847.637	39368.805	41435.406	33367.656	40413.957	32857.281	39212.957	40538.602	36572.938	35070.836	37882.336	38252.672	43443.43	37561.91	39895.652	40456.652	43861.301	31104.994	37732.059	30946.121	30371.113	39624.309	35503.992	38101.582	30492.283	34581.188	38852.121	34333.254
0.6671	35399.082	40964.559	37844.918	41030.938	39984.746	38966.516	38017.922	41561.059	36862.598	37367.688	36920.117	38767.707	40453.617	42930.574	32052.498	39543.812	32964.891	40195.711	42014.254	38132.75	34738.812	39525.512	38180.777	45197.004	38327.195	39074.113	39459.871	44623.504	31552.961	39161	32633.646	34127.102	37867.414	34963.371	37330.039	31152.682	35049.996	38631.871	34580.457
0.8005	36428.957	42799.355	39030.363	43010.051	38579.477	40109.809	36687.266	42233.73	38032.188	38474.27	38563.824	39940.855	41340.781	42051.539	32958.156	39056.074	31329.838	42225.82	42944.695	39538.488	36040.426	38611.664	38199.512	49398.449	39328.047	41901.207	38655.363	45783.773	32650.867	37852.676	32211.383	34417.238	38008.867	37191.465	37541.855	31320.662	34375.531	38158.059	35635.266
0.934	37512.875	43578.828	37507.441	43589.641	39562.613	42101.875	34668.566	43492.969	39914.871	41093.344	36284.723	39762.918	42208.566	42603.336	32798.129	38651.414	33734.641	41486.793	44883.332	40174.27	39085.676	40029.105	38109.594	57861.227	39358.527	43226.188	40634.633	52163.828	36275.5	39441.34	31211.762	37196.895	37072.836	38071.965	37603.531	32381.582	35068.52	38998.039	37829.875
1.0674	40006.996	48131.566	38412.199	47528.48	42854.297	45824.812	37570.551	46117.309	42828.5	42898.012	39547.773	40727.672	44964.555	44495.793	33956.02	39769.617	32638.441	44869.254	51423.93	43688.301	42453.891	46340.883	40502.199	77630.742	41359.363	43806.047	40472.914	57951.797	44158.176	44443.98	33288	45753.582	38436.23	40498.484	41316.09	32236.361	36133.719	42798.211	40912.805
1.2008	47350.582	60134.133	40255.035	57684.09	49937.824	57168.066	39976.805	52744.242	45238.926	45596.195	36071.523	43455.379	47064.199	50075.105	36054.422	42888.984	37561.723	50636.586	68488.562	56569.512	51631.52	58614.621	47681.73	119461.938	41840.516	51328.062	43917.863	73030.469	61755.113	61944.789	35089.133	66438.586	41716.699	44972.004	44465.945	35836.773	37430.961	51859.547	50236.16
