x	Y_20180130_15100b_10_2g	Y_20180130_15100b_11_2g	Y_20180130_15100b_12_13g	Y_20180130_15100b_12_8g	Y_20180130_15100b_13_3g	Y_20180130_15100b_13_4g	Y_20180130_15100b_13_6g	Y_20180130_15100b_14_7g	Y_20180130_15100b_15_15g	Y_20180130_15100b_18_15g	Y_20180130_15100b_19_12g	Y_20180130_15100b_19_7g	Y_20180130_15100b_1_15g	Y_20180130_15100b_1_8g	Y_20180130_15100b_20_16g	Y_20180130_15100b_20_4g	Y_20180130_15100b_20_7g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_6g	Y_20180130_15100b_22_11g	Y_20180130_15100b_22_19g	Y_20180130_15100b_22_9g	Y_20180130_15100b_23_6g	Y_20180130_15100b_24_14g	Y_20180130_15100b_24_6g	Y_20180130_15100b_3_13g	Y_20180130_15100b_4_12g	Y_20180130_15100b_4_13g	Y_20180130_15100b_5_19g	Y_20180130_15100b_5_23g	Y_20180130_15100b_6_5g	Y_20180130_15100b_6_7g	Y_20180130_15100b_7_16g	Y_20180130_15100b_7_17g	Y_20180130_15100b_9_8g
0	39620.043	32408.176	39178.578	34154.781	37439.852	35377.637	34305.914	39580.863	39442.355	37502.48	32829.312	34875.859	37874.18	37649.793	35087.309	38394.27	36549.637	39347.699	32606.195	31952.807	31060.918	36601.836	35713.141	39282.73	34859.422	36827.766	38632.254	37563.711	34228.246	34574.336	39828.031	38564.77	37506.043	36651.703	43829.742
0.1334	40524.617	33507.289	39177.418	34470.965	36561.566	36638.223	34590.355	39474.867	39822.5	37147.086	32918.191	33388.156	38860.68	38169.477	34865.805	39104.285	35215.621	38829.27	33015.57	32738.754	29690.715	37020.332	34104.406	39050.91	35433.887	36670.523	39375.598	37054	33142.094	35068.738	39553.91	38908.488	38053.422	35549.254	42799.215
0.2668	37955.492	35886.164	40862.051	33006.723	39596.367	38197.953	33972.742	39357.875	41136.512	37057.277	33132.07	34598.062	40278.566	35466.656	34806.273	38640.215	36948.059	40185.949	32247.172	33161.965	30193.4	35699.316	34351.582	38328.316	34383.195	37713.363	38528.238	38110.062	34416.43	35487.629	39705.363	39352.961	38181.773	38814.285	43444.117
0.4003	36921.191	37172.02	40310.59	33426.129	37527.32	34531.844	34670.879	38827.148	42347.574	35900.586	34105.508	33542.195	39690.145	36721.637	37470.047	39594.156	37209.75	39619.219	34169.828	33760.602	32324.939	38294.48	35026.668	39157.945	35689.867	36186.121	37606.785	36705.527	36939.137	37086.719	39020.52	38836.117	39601.395	37348.453	42265.27
0.5337	38819.98	34861.352	39269.406	32965.172	39493.805	36272.645	34069.984	39280.059	40520.414	37391.598	34729.367	34121.957	41319.121	36970.402	37111.684	41602.172	37097.742	41259.621	34815.711	34962.434	32707.031	36959.996	37103.629	38887.094	34388.688	36102.641	37785.691	35633.508	36749.793	37552.699	40722.977	42324.875	35936.391	39218.484	40864.652
0.6671	38977.613	35595.434	39628.859	33991.438	40712.785	36161.773	34266.242	41605.984	41030.633	37741.973	34082.438	36132.027	42609.094	36597.93	37788.629	40441.453	39629.676	39172.879	33870.434	33981.332	32471.285	37345.977	34997.641	39834.676	36847.148	36397.934	39315.141	38954.797	36006.199	37336.48	38935.867	43158.48	36292.059	39001.219	40064.203
0.8005	38750.113	38022.086	39676.367	33741.758	38833.117	36567.883	33141.363	42101.473	43593.621	38281.004	32864.441	37165.918	45131.43	38640.82	38385.934	44812.109	38446.168	40359.609	34650.824	33466.652	33174.602	37743.02	35727.844	39827.16	38055.637	37017.164	39722.539	40004.973	35111.297	36964.035	37430.32	47400.402	37974.879	40198.199	43425.406
0.934	40238.254	42773.484	40641.805	37249.074	40933.332	37691.227	32951.984	45817.699	48345.023	40506.102	32644.668	41269.461	51728.543	37131.891	39251	45315.41	36982.188	43027.898	34006.84	34193.078	32522.291	39848.5	36750.652	40403.43	37826.973	38524.242	39183.098	40838.34	35620.309	38953.398	38132.84	56697.461	38205.816	41689.27	47170.688
1.0674	41767.434	47491.57	44563.07	42497.828	41094.426	39208.82	35169.234	55798.961	57263.422	43012.086	35102.305	49290.973	61645.359	39617.215	42396.867	45394.633	40517.062	47844.977	37328.246	34492.098	31918.252	42817.297	36231.203	42478.836	45709.879	40175.086	38920.031	45769.625	37395.008	40195.383	39475.484	76893.008	38763.898	43655.137	51342.707
1.2008	45115.137	47903.18	54591.953	54667.137	44927.609	41836.102	35752.52	89862.195	77513.547	51017.902	36119.574	62464.379	86656.664	41837.262	47645.293	55937.566	47732.586	58764.871	43089.016	35397	33176.387	46870.855	40107.363	42264.016	60804.027	44067.082	39890.195	50667.055	37123.973	42032.355	39210.09	84658.102	42182.375	50100.391	53492.309
1.3342	45468.746	43345.391	70302.648	58097.973	53209.055	48237.832	37977.852	142284.625	96413.117	64442.977	40215.855	63226.426	108212.328	47141.805	53443.066	75599.008	58810.973	64632.707	51577.777	39758.164	35827.648	55854.484	48237.926	42961.961	99452.219	54040.852	43850.969	52467.793	39629.141	48887.297	40686.434	73331.062	46781.203	62178.77	51036.734
1.4676	41861.938	38039.488	76641.188	48563.809	70593.047	55282.934	41797.176	148072.703	85369.266	70690.07	48028.758	49588.379	92972.508	62917.422	46830.512	103636.742	65861.922	57402.277	55035.098	45358.703	46532.898	72931.641	56373.367	53419.613	112955.344	59647.312	51397.137	46651.719	41788.477	56648.887	48220.254	54901.5	53826.176	63799.031	49843.762
1.6011	39349.043	35991.02	64345.973	43563.266	80246.094	53623.328	48130.746	104485.695	60694.227	56673.559	57585.957	39922.438	66210.977	75937.766	42490.59	102025.797	54491.547	NaN	47440.664	42852.379	58177.164	79327.703	51328.352	70333.328	84127.391	54041.012	62173.07	39484.504	50176.766	58035.125	58978.438	44731.922	53610.352	52181.75	52359.473
1.7345	NaN	NaN	50345.551	41597.891	62463.445	46557.086	49000.207	68281.422	48287.668	45301.621	54986.605	38335.934	50756.805	69503.453	NaN	71650.75	43179.168	NaN	39431.09	39494.438	63747.77	61264.766	43075.586	79267.383	55317.012	43512.535	69068.172	NaN	72823.07	48019.664	58747.906	NaN	46106.605	43138.664	NaN
1.8679	NaN	NaN	41546.855	NaN	48476.43	39873.152	41601.004	52079.195	42792.516	39711.422	45204.625	37992.094	47929.891	51748.48	NaN	52059.891	NaN	NaN	34958.211	36979.027	53926.07	45886.328	37945.352	67104.5	43202.914	40676.227	59622.375	NaN	88194.047	42420.711	49137.715	NaN	41058.719	39707.727	NaN
2.0013	NaN	NaN	38921.77	NaN	44482.227	NaN	37407.848	45365.539	NaN	NaN	NaN	36983.805	NaN	43371.512	NaN	NaN	NaN	NaN	34079.23	35747.371	40744.836	NaN	NaN	52464.738	37981.539	38373.824	47760.461	NaN	74091.352	42124.801	41667.82	NaN	40193.391	NaN	NaN
2.1348	NaN	NaN	NaN	NaN	NaN	NaN	36274.477	43184.398	NaN	NaN	NaN	NaN	NaN	39462.883	NaN	NaN	NaN	NaN	34966.141	NaN	NaN	NaN	NaN	44421.023	NaN	NaN	41892.828	NaN	52722.781	NaN	NaN	NaN	NaN	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	NaN	NaN	33954.402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41848.281	NaN	NaN	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39201.344	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38290.914	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
