x	Y_20181208_15100_1_6g_left	Y_20181208_15100_12_1g	Y_20181208_15100_13_3g_left	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_15_6g	Y_20181208_15100_16_2g_left	Y_20181208_15100_17_1g_left	Y_20181208_15100_19_3g_left	Y_20181208_15100_2_1g	Y_20181208_15100_2_3g_left	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g_left	Y_20181208_15100_5_3g_left	Y_20181208_15100_5_9g	Y_20181208_15100_6_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g_left	Y_20181208_15100_7_2g	Y_20181208_15100_7_5g_left	Y_20181208_15100_11_3g_right	Y_20181208_15100_13_11g	Y_20181208_15100_13_3g_right	Y_20181208_15100_15_7g_right	Y_20181208_15100_16_8g	Y_20181208_15100_17_3g	Y_20181208_15100_17_6g	Y_20181208_15100_18_3g	Y_20181208_15100_18_9g	Y_20181208_15100_19_3g_right	Y_20181208_15100_19_5g_right	Y_20181208_15100_19_6g_right	Y_20181208_15100_2_3g_right	Y_20181208_15100_20_11g	Y_20181208_15100_20_12g	Y_20181208_15100_20_8g	Y_20181208_15100_21_13g	Y_20181208_15100_21_3g	Y_20181208_15100_21_4g	Y_20181208_15100_21_7g	Y_20181208_15100_21_8g	Y_20181208_15100_22_6g	Y_20181208_15100_22_7g	Y_20181208_15100_23_10g	Y_20181208_15100_26_11g	Y_20181208_15100_26_1g	Y_20181208_15100_32_5g	Y_20181208_15100_4_2g	Y_20181208_15100_4_5g	Y_20181208_15100_5_2g_right	Y_20181208_15100_5_3g_right	Y_20181208_15100_5_5g_right	Y_20181208_15100_5_6g	Y_20181208_15100_8_4g_right	Y_20181208_15100_9_1g
0	11608.582	11768.8252	16395.5957	11289.9707	13984.4004	11562.4043	12520.4199	10565.6055	15676.9414	15538.7588	14478.3555	16470.3496	11311.5996	11654.7197	11790.3369	11531.6572	10777.8564	14067.5908	13766.5234	11974.2744	12640.0098	10102.2861	10986.9541	11852.8037	11066.9395	9913.9375	10550.5332	14297.9775	11040.6592	9413.0615	14886.4961	11336.4854	9798.4561	12304.5605	12247.0156	11204.9707	13650.9492	12370.2207	11967.6631	10715.1982	11408.5752	13531.5947	13809.9805	12408.6699	10836.6084	13484.2754	12507.5234	10302.3428	11249.4844	18331.9414	12400.8662	16404.9785	12510.1309	11115.2061	11206.8682
0.1334	12994.665	12732.0186	19436.168	12985.9395	14412.1885	12495.209	14516.4795	12128.165	16571.6406	16808.6133	14569.7812	16922.0254	13631.0205	12048.1582	14516.0986	11574.2041	13298.6055	15550.502	15224.8086	12783.3438	13788.2285	10931.8613	13440.2744	12485.9404	12275.248	10364.6211	11792.5283	15375.7998	13231.2793	12189.0889	15911.5576	13564.832	10539.3613	12645.1074	12891.3613	11522.79	15700.2939	13280.7832	13315.8584	10422.1553	11883.8613	16013.8789	15263.8086	14316.6064	10819.9404	14051.6689	12573.3418	11068.4121	11606.96	20055.1543	12534.0723	18638.207	13343.666	11640.3486	12361.0342
0.2668	14926.9561	15567.3682	22140.9746	15327.1406	16779.0645	12938.5889	16565.8926	14526.1016	18033.7383	18295.3262	15023.7002	18285.6328	15620.5352	12238.9355	18055.2891	12593.0586	15291.0254	17244.2949	16120.7959	13295.3389	15920.9414	11914.7949	17553.6602	13405.6689	13723.7607	11077.1074	12598.3584	17686.9316	16317.7412	12776.0938	18422.8516	15514.5498	10929.8857	13105.9463	13090.7061	12453.1201	15542.2734	15570.5703	15491.791	11932.2422	15292.5713	18038.8457	16550.707	16889.2188	11362.9648	14431.665	13837.208	12667.8633	12562.4922	20673.1055	13655.4609	19143.0137	14314	12269.748	12996.4199
0.4003	13587.1865	17488.9355	22367.9961	15831.3477	18503.7383	14514.8438	16619.3105	17358.8203	21636.1406	19094.5781	17393.3047	18570.5234	18139.0234	13726.0098	17870.1543	14937.1191	16304.1279	19026.4492	20157.5215	14901.3721	20170.0371	14209.1172	22166.2285	14867.9062	14916.1553	11439.0312	13132.3232	19330.668	19626.3828	14240.627	20381.6465	14633.7568	11141.6289	13033.835	12659.4971	14432.2783	17180.7754	14943.5	15368.7793	13594.207	17616.7812	15335.8398	15442.8721	17198.9043	12719.2061	16211.7148	15152.1846	14509.8721	13644.2207	20132.4531	15704.1689	17021.9941	16516.3594	12672.1504	15025.1592
0.5337	12557.6475	16961.4355	19952.4609	15322.8555	19620.3633	16743.0742	15698.5195	17823.0684	23156.6953	18488.5664	22171.3613	16669.8945	16249.4512	16296.3467	16509.5488	15860.2393	15352.8525	18578.4258	23130.1328	15345.4746	22283.6836	16920.623	23106.5137	17876.1914	16946.7578	12814.6123	14352.7275	19336.1328	19138.0117	14007.4785	18209.9688	14844.4316	11251.0293	12929.1338	12596.1211	14813.4053	16319.2178	14796.2334	14893.4922	16839.5352	17417.6504	14856.2637	13149.3271	15624.3115	13322.9209	16876.6543	18400.3887	15771.8945	16178.7432	21195.3965	18116.8066	15465.999	19170.0117	14368.2852	14134.5684
0.6671	12443.3164	15749.0557	17131.1699	14144.0977	18837.4453	16113.5645	16068.8467	16531.3652	21098.7031	15785.6074	24989.7246	16667.248	14473.5107	18008.9219	15468.8311	15869.7344	14561.7656	16414.877	22684.3047	14834.6885	21337.4141	17688.1562	22054.8145	18735.8008	17684.4434	13841.4893	16420.7363	18215.0762	17751.6895	13210.3594	16637.9766	15356.5137	12598.0137	12620.8506	12306.3613	16585.8438	14851.3525	14532.5439	14451.2656	16102.376	16659.9082	14720.8447	12165.4443	16211.3838	14001.0303	17107.6133	20134.0781	16053.3389	19364.5352	22055.8105	18074.8926	14659.1094	18289.0195	15288.542	14058.4873
0.8005	12564.1396	15443.2168	17017.9707	14662.0215	17881.8574	14906.7256	14757.5537	16048.457	17703.9062	14733.7627	23970.5137	15439.5459	13626.1621	18039.1289	14475.1943	14519.2988	12793.2617	15617.043	21103.0898	14297.6221	18160.7051	17838.1738	18829.2773	15858.0146	15797.7803	14807.0029	17253.2852	16211.4658	18016.4043	12725.7979	14288.1025	14708.9795	14364.7383	12758.752	11952.9219	17800.2832	13846.6846	13848.085	15150.1035	15485.2773	15625.7041	15038.4229	12312.0811	15614.6396	13938.9434	16160.0801	18418.6602	15368.2539	20565.5664	22986.1543	17074.0234	13202.4629	17469.4434	15034.1631	13609.9121
0.934	11985.6826	15132.5166	15988.8818	14672.6787	17497.6113	14631.0654	13880.3779	15995.207	16924.8965	13643.2656	22624.9258	15700.4365	15118.4756	17944.3164	14354.1611	15021.4482	13005.5342	14318.9346	20292.3574	14102.8252	16960.4453	19612.918	18435.418	14665.4141	16145.2686	14393.6465	16483.5566	15315.7969	16575.9082	13303.7314	13380.5312	13689.4561	15223.1523	12475.2344	11363.4316	17375.0957	13339.3359	13190.8906	14916.3857	14830.9814	16846.248	14213.9336	12439.3389	15581.3721	12642.6631	15228.7168	16912.4844	15942.7715	17969.5156	19245.2344	15624.249	13032.9102	16177.2207	14540.1816	13543.1357
1.0674	12114.8271	15084.3037	14884.7607	14993.915	16950.1758	15595.4736	13137.3906	16720.1387	15657.4082	13200.6104	22019.8359	15136.5244	14578.7129	16625.3711	14550.4326	14707.8457	13497.3428	13712.4434	18980.5547	15100.1143	17000.0957	22733.207	17287.4102	14092.8135	16549.6113	13963.2656	15449.5098	15055.9688	16436.2598	13780.5449	12789.3652	12095.4355	14181.2207	12322.9814	10956.0791	15775.1592	12609.4131	12769.957	15038.7725	13843.501	17108.1289	13468.2119	11220.4824	16020.1953	12319.4648	14248.0186	15928.4922	17230.9668	16108.3477	18288.2715	14923.9893	13244.8906	14744.1006	14662.582	12272.5762
1.2008	12546.4609	13967.6973	13749.2324	14693.2646	17055.666	15863.4717	13352.4443	15320.7988	15602.1768	13371.1729	22814.7461	14563.1484	13378.7949	15269.8525	14271.0049	14692.4102	14274.3037	14714.1143	17241.3809	15686.001	16920.9141	20564.959	16361.3896	13310.7764	16675.6328	14355.4199	15493.4219	14765.0537	16369.1035	12732.5742	12754.1826	11471.8193	14202.3838	11622.626	11593.8516	14787.9814	12653.9893	11671.4492	14592.8174	12948.0605	16919.0508	12999.4648	11923.4902	17939.5605	12119.0801	13642.2031	15297.0371	17511.0703	15747.3008	16596.9316	15242.374	12826.2256	14762.4287	14019.165	12568.46
1.3342	12868.3408	13182.6035	13916.96	14240.1816	17246.8809	14922.5225	12738.2129	14496.3828	15938.6035	12983.2012	19911.2285	14657.7637	12246.8311	14456.3887	14651.2451	13410.7295	14785.7402	14894.5605	15022.1484	19104.082	16944.2031	20071.9492	13995.4482	13382.4297	15753.1592	13547.168	15776.6377	14337.7988	15635.5029	11586.1709	12308.0938	11305.251	13250.9902	11699.3145	10890.6055	16007.543	12200.0469	11435.3828	13271.416	12625.6865	16478.123	12490.2832	11755.8037	16243.1465	11640.6504	12457.9746	14736.9688	15251.2158	14662.2607	14380.25	15568.0156	12657.9746	14498.7754	13641.2295	11791.5186
