x	Y_20181208_15693b_1_12g	Y_20181208_15693b_10_8g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_4g	Y_20181208_15693b_2_3g	Y_20181208_15693b_3_19g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_26g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_3g
0	31450.2852	32623.7559	24819.9062	26294.25	26694.8398	31250.5391	32599.2363	27507.666	32394.5742	35450.2422	31103.168	33715.7578	29137.6445	25029.4902	26263.4355
0.1334	31129.0742	31752.3066	25044.2891	25661.668	26172.4551	30244.7598	31267.5781	27159.1816	31178.2305	34579.7812	29613.8086	31555.8633	28809.2988	25657.4844	27522.7109
0.2668	31253.4648	32888.4102	25698.2188	25299.1074	26921.2539	30295.2305	31820.5977	28307.4688	30017.5137	35060.4453	27474.4551	32633.8027	28158.998	24610.5293	28828.5742
0.4003	34034.5312	34161.3828	24575.125	26220.8008	29489.6895	29956.4023	31572.8301	27457.2246	29485.3672	35121.1484	28760.2617	32294.1602	28361.9141	24304.9531	27881.3594
0.5337	31231.0742	32680.3535	25769.6562	26861.1309	28329.6543	30128.9883	30457.7285	27468.6094	31320.248	34526.9609	29943.1094	32607.082	29308.2988	24073.1152	28437.1953
0.6671	31698.584	30752.0352	24954.2168	27743.8828	29295.0098	30982.4453	32228.3398	29383.4414	33728.6055	33614.5156	28190.623	33070.0273	30493.8594	25191.7402	26953.9922
0.8005	32065.418	31197.6621	25557.3691	29580.8711	31510.6328	29737.8145	34133.6875	29632.9473	35464.6172	32997.4102	28082.4766	32680.0703	29982.8555	24240.3672	30722.4062
0.934	30696.2734	31208.2598	27342.6641	37572.0234	36732.5898	30335.8633	37581.8125	31005.5703	43758.8164	34344.9766	30450.3965	31711.0195	32408.0391	24496.416	27821.1738
1.0674	33665.9219	32373.123	27578.916	51194.8516	49555.2969	28651.2852	48495.4414	34310.4219	53812.25	34173.3438	32790.9297	32200.3398	36949.0586	25555.7871	30690.4121
1.2008	35805.293	34156.457	30258.1641	72015.5469	78618.6562	31175.5547	65716.6719	41682.0312	77330.2266	37006.5586	37708.8789	34849.0938	46996.7734	25349.209	29485.8145
1.3342	38376.4727	37043.2227	37377.6602	74579.3828	90971.9062	30260.834	77546.4375	57836.3086	113064.1406	40651.1406	56696.7812	41941.7617	65381.082	25392.0312	32453.1836
1.4676	48585.3008	43042.6445	49238.0742	54852.6016	68318.6016	32798.9961	63504.8477	73430.3906	112506.2422	52881.7422	86216.0625	57609.9922	89148.5391	26162.5352	32747.4531
1.6011	68311.2812	61259.6914	49115.2109	40165.9844	44707.7617	38853.6055	46334.9844	66944.75	84064.3047	83102.8125	105224.2188	87587.0547	87210.7812	30815.4766	40061.5312
1.7345	87503.2031	76900.9531	38525.793	31236.3281	33864.6953	47717.6016	39907.2461	50703.4492	54075.9609	130890.8984	89148.4688	107290.7891	64872.0156	40378.1758	54796.3867
1.8679	78121.2891	69937.5781	29736.6875	27904.9785	32855.3516	46481.7891	39931.332	38406.832	41629.8633	129194.2031	59976.6172	84551.9531	43130.1836	56751.1641	63761.043
