x	Y_20180130_15100b_13_1g	Y_20180130_15100b_16_10g	Y_20180130_15100b_16_8g	Y_20180130_15100b_2_11g	Y_20180130_15100b_2_3g	Y_20180130_15100b_22_13g	Y_20180130_15100b_23_11g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_9g	Y_20180130_15100b_3_1g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_24g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_5g
0	36506.773	38951.047	37856.016	37956.164	34173.391	38587.973	33419.055	37485.516	36364.895	39996.074	33917.309	38514.551	36718.719	33354.363
0.1334	36308.074	37739.027	40676.402	38775.629	35473.652	40651.504	33617.395	38269.84	38556.91	37447.73	34597.789	38925.605	37476.812	33814.125
0.2668	36988.859	37871.277	39879.719	37919.816	33648.238	39800.145	32086.336	37283.086	38157.332	37298.945	33207.117	39882.594	38183.184	34949.371
0.4003	37420.164	38259.238	40439.609	36925.848	35155.238	40215.453	32440.846	37521.129	35973.637	37457.633	31702.428	40221.406	39030.832	33737.262
0.5337	37854.793	39716.293	40236.203	37418.066	34757.004	38835.004	33832.434	36694.684	37642.707	39027.43	32619.26	38903.051	37854.691	31724.977
0.6671	36654.488	37567.703	38004.816	37095.656	34519.594	38202.699	33454.773	36270.961	37080.566	38213.574	32481.434	39774.453	39265.508	33215.719
0.8005	38519.129	38384.773	38617.016	36843.672	34738.648	39632.508	33980.641	37018.625	39194.477	37867.691	31751.346	40611.062	39108.059	33739.496
0.934	38481.113	39454.215	40295.918	36472.031	35474.414	40083.062	33197.637	36942.988	39652.902	37503.781	31777.537	39796.336	39732.648	32498.943
1.0674	39306.719	39464.395	39872.254	37135.801	34980.32	38234.383	33943.812	38799.27	39161.633	38204.445	31837.172	39545.461	40609.559	33869.672
1.2008	39941.785	41493.484	41248.035	36463.234	33924.941	37370.512	33593.613	37437.578	39164.234	38317.051	31608.086	39644.75	40425.117	34150.594
1.3342	36962.789	40807.012	39397.496	37350.113	33365.664	39522.82	33412.598	37690.559	39241.57	39049.176	31669.018	40055.277	43417.824	34715.344
1.4676	37118.402	39686.258	39841.297	39124.945	33791.328	39474.012	33203	39134.855	39530.055	39851.434	33736.219	40062.855	40011.062	33951.301
1.6011	37293.641	41408.754	36727.719	37920.688	34402.844	37279.797	34372.848	38770.109	39391.266	39852.742	32479.816	39648.363	37723.988	33531.125
1.7345	38433.387	39787.648	37407.836	38816.293	33336.301	39181.695	35018.746	39497.211	37725.164	39521.332	33624.734	39579.992	37633.172	34842.508
1.8679	40262.852	39016.156	37222.266	39390.777	32658.17	39923.879	35713.004	39215.926	38930.262	38954.062	34861.695	41331.648	36355.367	37505.395
2.0013	39639.102	41083.535	39819.621	39656.973	34717.637	38363.789	36505.066	40367.469	39062.984	38757.406	36641.68	42308.672	38803.402	43009.219
2.1348	41619.102	42347.297	40126.66	41454.285	35292.68	39369.145	38906.031	44443.988	36719.402	40509.664	43051.543	49382.148	39139.301	50649.82
2.2682	48868.566	49492.832	45036.98	47797.102	38281.207	43262.457	44644.188	53712.66	37572.027	41998.164	59285.664	64534.824	41291.223	55925.234
