x	Y_20181208_15100_1_1g	Y_20181208_15100_1_5g	Y_20181208_15100_13_1g	Y_20181208_15100_13_5g	Y_20181208_15100_13_8g	Y_20181208_15100_15_2g	Y_20181208_15100_16_4g	Y_20181208_15100_17_4g	Y_20181208_15100_17_6g	Y_20181208_15100_18_6g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_21_1g	Y_20181208_15100_24_3g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_5_10g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_7g	Y_20181208_15100_6_2g	Y_20181208_15100_6_9g	Y_20181208_15100_7_5g	Y_20181208_15100_7_6g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g	Y_20181208_15100b_1_3g	Y_20181208_15100b_11_1g	Y_20181208_15100b_11_4g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_18g	Y_20181208_15100b_13_1g	Y_20181208_15100b_13_8g	Y_20181208_15100b_14_5g	Y_20181208_15100b_15_10g	Y_20181208_15100b_15_3g	Y_20181208_15100b_15_8g	Y_20181208_15100b_15_9g	Y_20181208_15100b_17_5g	Y_20181208_15100b_17_8g	Y_20181208_15100b_18_10g	Y_20181208_15100b_18_3g	Y_20181208_15100b_18_7g	Y_20181208_15100b_19_10g	Y_20181208_15100b_20_3g	Y_20181208_15100b_20_4g	Y_20181208_15100b_21_12g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_2g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_9g	Y_20181208_15100b_22_20g	Y_20181208_15100b_22_9g	Y_20181208_15100b_23_1g	Y_20181208_15100b_23_6g	Y_20181208_15100b_23_9g	Y_20181208_15100b_24_3g	Y_20181208_15100b_26_10g	Y_20181208_15100b_27_10g	Y_20181208_15100b_27_3g	Y_20181208_15100b_28_2g	Y_20181208_15100b_29_3g	Y_20181208_15100b_3_3g	Y_20181208_15100b_30_1g	Y_20181208_15100b_30_5g	Y_20181208_15100b_32_6g	Y_20181208_15100b_32_7g
0	30006.9316	31550.6016	27442.6289	29405.9824	28875.3867	30544.0215	30903.6074	24429.4043	27233.4941	32269.5703	31717.043	32926.4453	32476.4668	30727.7227	31062.9648	31961.2617	31523.9863	30543.1348	32951.1914	27093.9824	30962.1973	26019.0391	31566.4902	33606.0508	30646.2109	27299.2832	31472.8672	25687.8945	29872.8613	26450.4863	29926.084	30274.7656	27344.9941	27023.2422	29502.6641	26201.8516	29733.8438	29468.3867	28242.2539	31150.127	31855.5293	28722.4492	29612.2285	29366.1582	25228.959	28773.7109	27879.1348	28421.543	26212.5449	30524.8945	30255.8574	28852.5586	31818.5703	31250.8691	32540.3477	28061.8496	29878.3809	30067.2617	31554.2441	29651.6699	31275.3809	26162.498	30855.1328	33719.1602	28828.0273	26635.0352	31186.8809	30329.7715	30017.0488
0.1334	28640.1523	29969.3633	27376.0898	30140.0117	30860.1133	30942.2266	29872.3848	25365.834	28228.7148	32517.9062	30815.4766	33731.3242	30549.334	30300.6445	29998.7227	31157.7402	30072.2109	31190.8828	32664.4961	28096.1738	32821.0273	25703.2031	31851.5449	33768.9297	30392.3926	26909.1758	31598.4688	26283.0742	27883.4688	26841.9102	29351.8926	29950.6348	26699.7168	26311.1523	29979.7168	26332.5938	30475.834	31369.5293	27198.2949	31275.7305	30810.8145	28378.5586	28897.7148	29880.3379	25051.0918	30269.1211	28507.4316	28854.1367	27416.4648	30066.8223	30240.8125	27619.8496	31204.918	31040.8242	32169.1973	28558.2441	29024.1094	30019.6992	31622.9082	31276.3359	30779.5059	25313.832	30471.8906	33514.2266	29138.6367	26564.1719	29961.6406	30260.3203	31132.1582
0.2668	28747.4219	31695.3652	26042.3574	28998.4844	28574.2305	32302.2363	31930.0312	24369.1152	27753.0586	32938.6016	31254.9453	31620.0645	30947.2363	31006.4121	29246.3691	30322.4316	29132.5137	32731.7402	31695.207	29610	32932.1641	24793.0254	33083.5508	32733.8984	30542.5703	26110.5215	31872.9648	25186.8672	29793.4668	27154.7988	30207.2363	29272.6758	26548.5664	26111.0781	29594.2188	25959.1738	30388.9219	32628.7812	27546.6309	31627.625	31672.2129	28478.9785	29134.3633	29380.248	26189.2207	28608.0215	29099.998	28945.3633	25398.4297	29301.2871	29472.5117	26446.1133	31646.2148	31181.1641	34930.0664	28237.4941	28349.8828	32126.8887	32365.3887	30845.5801	30371.5332	25455.2441	30743.3887	32965.8945	30101.6641	28051.1973	30881.6934	30773.5645	31204.6289
0.4003	29763.6406	30876.4395	26383.5059	29307.5801	28247.4766	31236.0645	31225.959	24092.2598	27545.9668	33587.7734	31619.6797	31557.9062	32374.9629	30692.4648	31008.4121	30858.2344	30197.5938	32859.3008	31792.8105	28963.4082	32170.5117	26897.5742	31200.9336	33666.1953	31225	26288.4316	31784.4492	26087.4824	29600.2324	26571.6953	30125.0508	30555.0449	27616.9961	26830.9297	28150.8164	25638.4629	30635.502	31623.9551	27749.1465	30317.1797	32672.748	28823.3633	30014.6113	29365.2754	25064.3711	27828.8008	28047.7617	29453.0254	26582.1973	30653.1367	29967.7559	27055.5039	31417.0605	30902.8652	33629.4492	28502.7734	28448.832	30762.5332	32364.7168	30630.5508	29594.1855	27014.3906	30569.4297	33861.2891	29887.7461	27021.6738	31240.4746	30985.3867	30338.3223
0.5337	28595.248	29346.4668	25964.7227	28288.5879	29606.377	29720.7852	31353.125	26517.6973	28781.9688	33786.5664	30996.2031	31034.543	31791.1973	29733.1523	30900.1016	31617.4961	30480.3047	32057.1523	32219.4062	28530.2168	32460.5488	25737.5391	31536.2207	35071.7031	30051.4395	25861.0938	31108.9609	24998.1465	29097.2949	27461.7695	29434.791	29164.8203	28358.7383	27585.3652	28284.6035	26507.3711	30659.2363	31578.6895	27120.4277	30379.5488	30476.2266	28827.1016	30411.4492	28173.2227	24196.5605	30167.9707	27636.1914	29712.2363	26140.9766	31049.084	29899.4316	27149.6816	29449.6152	30921.8438	33259.832	28043.1738	29050.877	31761.4688	32307.4375	30235.2207	30730.209	26073.1582	30621.5645	33479.6758	29447.1602	28405.3047	29598.1914	32769.0195	29884.0879
0.6671	28975.0508	30999.6445	26985.6387	28082.7266	29022.1719	30694.0273	29644.5742	27294.1699	27556.9629	33771.1758	29957.3477	31716.293	30257.6523	29917.0469	29685.4805	32424.6133	29882.2227	31583.7754	31481.1328	28132.0527	32625.8184	24638.7402	31336.7305	33827.5273	29353.4473	25986.3281	31384.8555	26261.6543	29290.5762	28052.0039	29038.7734	28755.5	27453.2832	26647.6699	28449.8613	26372.7637	31862.8809	32736.4297	26519.0762	31127.4902	31604.1328	29399.1836	28634.9668	28569.7227	25044.748	31341.4688	28226.6738	30156.8789	27111.5547	30764.8262	29277.8926	27570.5566	30157.332	33074.9453	33110.7344	28100.7344	29819.0938	31748.0508	32527.0273	30568.5156	30218.248	25599.4473	30595.502	31574.7441	29866.0918	27538.2305	29818.2246	31135.8242	29628.6152
0.8005	29384.4824	31968.0098	26431.1035	28393.7285	28631.3906	31795.2539	30246.0352	26906.2832	27955.8535	33742.0977	31012.6309	30253.875	29690.3984	30356.0859	28818.4141	31794.3027	31776.998	31129.4961	31260.6484	27837.0527	32750.3535	26346.8574	30849.9336	34376.4922	30849.9707	26453.2422	30448.9238	25448.752	29587.6387	27020.9082	29203.6309	29210.0703	25534.7109	26972.9785	28886.8496	26634.3359	29364.5566	31422.4746	26817.1289	30298.3672	32003.7598	29822.0332	28251.6855	28484.1348	24903.7305	30031.0391	28360.4707	28884.0645	26895.7441	31187.1074	30190.1934	26849.6035	31668.959	33942.1094	32792.4844	28837.9141	28869.1348	32102.7871	30893.334	30405.6758	28960.7715	25017.3223	30502.3242	31252.6855	29602.6504	27704.7109	31262.6191	31997.248	31127.043
0.934	29460.2031	29801.6582	26662.8223	29418.918	29842.9238	32306.1035	30882.4375	26579.7012	28908.8633	34405.6562	31418.3125	29899.5332	30858.8281	31357.7832	27628.5352	30873.6602	30825.9121	31022.2324	29086.7168	27098.334	31835.4551	25670.6934	31034.8164	34446.2617	30844.4004	26978.5488	29579.4492	25989.5547	30914.043	26214.9688	29403.5449	29109.168	26354.041	27476.084	29179.6094	26911.3047	29191.2969	31994.6719	25896.248	31681.0391	31851.168	28799.2754	28697.2812	30109.1387	25931.2988	29862.7988	27925.5078	27279.2246	26984.1309	30954.3262	31112.6074	26657.9648	31154.041	34519.5039	31470.2422	28433.1582	30053.334	32163.2637	31104.8789	32099.3926	29514.332	24626.2344	30937.0742	30784.5703	27575.9336	27039.9395	30562.0781	31606.4492	30128.8613
1.0674	29694.5195	30648.7324	26231.707	29547.8633	30208.582	31588.8809	30496.5371	26945.1074	29325.4414	34528.8594	30766.6562	30206	30490.2812	30586.0449	27928.9336	31704.457	33490.1484	31774.5352	30987.7246	27138.5625	33281.7266	25730.2949	31102.2637	34037.3203	30641.1504	25708.7871	29051.498	26976.2109	31003.7891	27405.0742	29962.1855	29134.4609	26469.5527	27827.1289	29237.4453	26757.7715	29317.5254	31272.3828	26855.4629	30091.5723	33491.4375	28595.6367	29854.1543	29861.7988	26013.7734	31040.8555	27787.2246	28820.252	26500.7598	31138.8867	28861.9629	27818.5117	32402.6133	33514.5156	31971.8086	28079.5645	29698.3066	32936.4805	32419.7285	32817.125	30028.4336	25612.2695	30675.6406	30743.3047	29156.3887	27295.3203	31370.6953	31329.5645	30312.9688
1.2008	30530.877	31472.3652	27163.3438	30620.4355	30069.4395	31888.8984	30772.9531	27017.9004	28929.7461	34361.6641	31385.7715	30110.6211	30013.9102	30638.4395	29644.793	31466.1719	30961.8887	30614.0586	31670.2559	28399.7871	33089.3008	24692.7461	31380.0039	35896.6797	31115.1289	26253.5527	29219.9277	28578.7383	29814.5391	28497.8418	29070.8711	28924.2441	26303.1562	28681.8516	30285.5664	27887.7676	29588.5195	32031.1699	27889.9961	30025.8438	33966.0234	28029.8164	29784.4922	28750.3398	25950.3945	30811.8711	27761.7148	27693.3008	28119.1699	30395.4785	30516.3184	28981.6543	31577.8574	33911.9688	32818.5	28695.9844	31268.5137	32169.9785	31891.1777	31771.4004	29379.6016	24764.7871	30495.0781	33907.8672	30590.9395	28012.7266	33402.6406	32354.1914	32399.8164
