x	Y_20181208_15794_1_4g	Y_20181208_15794_10_11g	Y_20181208_15794_10_13g	Y_20181208_15794_11_5g	Y_20181208_15794_12_14g	Y_20181208_15794_13_8g	Y_20181208_15794_13_9g	Y_20181208_15794_19_10g	Y_20181208_15794_19_16g	Y_20181208_15794_19_18g	Y_20181208_15794_22_5g	Y_20181208_15794_23_8g	Y_20181208_15794_24_13g	Y_20181208_15794_26_15g	Y_20181208_15794_26_19g	Y_20181208_15794_27_13g	Y_20181208_15794_27_6g	Y_20181208_15794_28_9g	Y_20181208_15794_29_8g	Y_20181208_15794_29_9g	Y_20181208_15794_3_5g	Y_20181208_15794_3_8g	Y_20181208_15794_30_8g	Y_20181208_15794_4_17g	Y_20181208_15794_5_11g	Y_20181208_15794_5_6g	Y_20181208_15794_7_14g	Y_20181208_15794_7_8g	Y_20181208_15794_8_5g	Y_20181208_15794_9_20g	Y_20181208_15794b_1_5g	Y_20181208_15794b_2_3g	Y_20181208_15794b_6_3g
0	28959.0723	31073.8164	30761.582	28869.8105	30710.5625	31618.082	31254.8184	29299.4785	25645.9844	30511.0625	26463.7832	25055.7129	31860.1133	29565.832	30263.8086	30537.4844	29258.9902	31214.2695	30136.3281	29668.2285	28411.3848	30160.4512	27519.459	30147.7656	30928.1211	29071.6055	29028.6211	27430.4922	27954.1543	30501.082	29691.8809	28730.4551	29060.0938
0.1334	28837.8477	30538.0801	29827.1387	28312.0859	32001.0176	31085.416	32066.627	28340.8906	27297.2656	28748.5762	25797.3789	27094.082	31852.0957	31354.002	27525.6816	30247.9375	29422.3555	30001.1934	29067.7129	31476.3262	29551.4355	30023.0586	27638.3477	30624.6953	29886.6504	30837.9102	29008.3418	29282.793	27963.6855	31174.7344	30260.6016	29923.4922	29331.6543
0.2668	28567.4688	30531.209	29040.5566	29169.8477	30754.7734	30659.0176	30700.7871	28847.3535	26403.959	27858.2129	25094.8789	25883.6211	31424.4531	31855.9629	28179.0332	30585.1133	30751.4434	29779.9922	29071.0859	31011.5273	29778.1914	31578.4004	26072.4707	31673.2617	31229.6992	30094.4941	29370.7227	30012.9707	28385.5977	31354.0332	30226.2949	30132.6406	28190.873
0.4003	27882.752	30423.5801	28283.0371	29735.8809	30786.6504	30666.1289	31101.4492	28344.877	27341.4199	27183.4883	26544.2734	25520.2891	31736.9883	32507.8691	28372.9609	31028.9609	30389.6914	30184.6348	28783.5	31127.6973	29368.1484	31928.2109	27755.3809	31365.2129	30811.1055	29878.1934	29171.3145	31166.1523	29566.4258	31179.8594	29904.75	28763.709	28351.4609
0.5337	28651.5801	28745.4609	27922.084	30485.7383	29314.3496	30219.9395	31205.6836	28418.9492	26856.4434	28865.3789	27260.6172	25032.6465	31501.6211	32787.207	27580.8145	30489.1094	30685.3867	30891.0898	28954.6699	32022.4863	29819.752	33308.2734	28321.0996	30805.7734	30351.0879	29752.7305	27964.4863	31068.3828	30672.5156	31342.9258	29250.0918	30090.3574	30003.2168
0.6671	26689.9102	29229.2754	28061.4492	30063.6895	29820.7578	32277.3691	31714.5879	28712.0371	27021.3652	28821.5547	27229.1582	25434.3594	32316.4785	31880.7012	27467.1992	31095.6309	30705.6426	30547.8535	29568.9258	31295.7988	29034.4668	32483.3242	27578.666	30047.1953	31727.1387	32227.6602	29021.6094	29853.2344	28875.4121	30742.8262	29646.8496	30601.6816	29768.1582
0.8005	25262.3027	29741.5957	28721.127	30538.3086	30230.3262	33663.2109	31347.1152	29853.7188	27064.8359	28914.9668	26607.3242	24578.0938	33356.9922	31759.9961	28165.8965	30768.5723	29573.0859	31859.207	29192.2559	30515.6895	29784.7852	31414.0547	25745.2637	30610.0801	31011.1328	31460.6465	29293.1191	30095.0703	29044.8242	32382.627	30519.5547	29888.0527	28895.6758
0.934	28330.082	30311.7949	29510.375	29613.0098	30433.7109	32154.3145	31096.6992	28686.5586	27125.7656	28311.1992	25332.625	25127.9316	31881.2793	30480.6094	28598.5547	30618.5664	29873.7578	30041.9316	31091.1836	29713.5684	29208.1465	31617.1699	27211.9609	30652.5078	31590.5957	30051.4141	28165.6172	31213.707	29275.3789	30641.1016	29483	29376.1504	30223.8828
1.0674	27325.1289	30871.8379	28514.7715	30478.5996	30662.582	32178.1191	31350.8711	28097.1992	26472.7344	28695.9375	25874.7227	26448.625	32028.3691	31114.4062	29154.168	29981.666	30408.1543	29406.4688	29996.0488	27749.2441	29660.6445	32224.957	27175.9434	29942.9102	30478.9219	29332.2246	28229.6602	31450.3145	28777.9961	31431.4648	29744.0195	28106.2305	30177.918
1.2008	28089.4121	31005.0781	27629.6191	30752.1074	29669.9902	33540.6641	32265.0762	27176.8574	26383.1113	28572.4121	27795.8906	25633.584	31494.2969	32440.5195	28337.1406	29945.0781	30737.4238	29521.5664	30017.043	28537.7734	30157.1582	31307.7656	25925.1074	30827.998	31873.5703	29863.9629	29109.6406	30480.1543	27759.6953	31580.9375	29921.3496	30645.1738	29428.0879
