x	Y_20181208_15693_1_13g	Y_20181208_15693_1_4g	Y_20181208_15693_10_14g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_6g	Y_20181208_15693_13_8g	Y_20181208_15693_14_1g	Y_20181208_15693_14_5g	Y_20181208_15693_15_4g	Y_20181208_15693_15_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_13g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_2g	Y_20181208_15693_18_4g	Y_20181208_15693_2_10g	Y_20181208_15693_20_6g	Y_20181208_15693_3_3g	Y_20181208_15693_3_5g	Y_20181208_15693_3_6g	Y_20181208_15693_4_2g	Y_20181208_15693_4_7g	Y_20181208_15693_6_13g	Y_20181208_15693_6_1g	Y_20181208_15693_6_2g	Y_20181208_15693_6_5g	Y_20181208_15693_6_7g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_2g	Y_20181208_15693_9_5g
1.8679	10820.9805	12584.5713	14579.1484	11419.6553	12213.6221	13425.3389	11324.2109	11741.2861	12457.1855	14365.8965	11412.8545	13514.1875	15509.6455	11538.1348	11176.1328	12959.4268	12801.7275	11911.4521	14449.8398	15833.9053	14672.3984	15949.7871	13879.5566	13794.5771	14771.7002	11618.1465	11374.2861	13235.3838	16597.9395	12606.834	14335.5879	13044.7373	13391.5889	12530.8662	10223.8906	13155.2539
2.0013	10836.1133	13565.9736	16031.8838	11273.9736	11646.1113	12005.7646	12103.3193	11750.1738	12850.7549	15127.6855	12110.5879	14547.0371	15395.959	10912.3105	11800.8428	12135.5029	13581.4336	12443.8867	15592.4785	15101.4189	14676.1064	15916.5205	13512.1855	13118.6758	14391.7148	12226.8408	11543.0527	12326.9189	15491.4404	12630.7471	14197.6631	13058.917	12880.6943	12596.0664	10106.9883	13900.8184
2.1347	11438.21	14189.5596	18559.7207	11561.5059	11500.4443	11990.3076	10823.2852	12197.9639	13032.9336	15842.7207	12114.4688	14665.6885	16113.2002	10742.3271	11546.6494	12352.1826	14794.8838	13554.9854	15374.9727	15985.3564	14279.0498	15982.9824	13313.041	12294.5498	14552.9473	12861.8447	11319.1992	12482.3438	14731.7129	13325.5635	14428.7734	13182.501	13243.8242	12255.6963	10774.5869	14480.2266
2.2682	12385.0742	12913.5557	18176.1543	11765.1309	11021.8086	11661.0479	10584.6787	13218.6094	12490.4463	15389.7158	12130.792	14014.2939	15701.7588	10901.7412	11331.6494	13071.1553	16330.1562	13909.7861	15464.3018	15810.9658	13759.6836	15013.7861	14051.3682	12287.2881	14906.6846	12474.8408	11907.7061	12855.125	14457.5586	12971.168	13899.7852	14885.4023	13017.5518	11979.5967	12244.2178	14118.0068
2.4016	13083.5332	13741.2715	17148.9727	10903.2871	11511.2168	11432.9395	10346.2197	13740.1816	12370.1641	13870.666	12519.8301	13528.0361	14147.7441	11902.5352	11351.5938	12386.999	16068.7051	13511.626	14923.5146	14357.835	13709.5576	14023.8916	12755.4229	12044.6172	14962.123	11869.6973	11999.5791	12347.6924	13771.8223	13058.0986	13551.9961	14602.3779	12715.4023	12226.0986	11218.8555	13927.3262
2.535	13155.7168	12487.0352	16327.5	11120.54	11166.5664	11724.5977	10585.8027	13831.7676	11660.3008	12733.0635	12450.8525	13183.6973	13730.7002	12551.1885	12445.9131	11013.127	15478.6543	13131.6025	14642.7539	14394.4033	13173.75	13899.0781	12816.4092	13320.7559	15497.5293	11548.9424	12207.4688	12103.4512	14044.9951	13772.0117	13282.6553	13999.8994	11729.4111	12091.2314	11339.1162	13570.5527
2.6684	13104.8408	11992.3721	15337.7891	11308.4395	10834.0078	12005.8154	10562.3887	13750.3799	11946.9424	12529.083	13501.2607	13075.2363	13373.5498	11811.8027	12538.1914	10571.4307	14476.5713	13726.8076	13608.2061	13538.3496	13206.0117	12844.2256	12382.7334	12609.8545	14692.7451	12372.415	12212.7607	12152.207	12689.5117	12860.1699	13175.6641	13804.3779	11753.3652	11974.8877	11727.0674	13356.6221
2.8019	12784.6357	12586.8516	14574.835	10902.0322	10576.9473	11738.7979	10889.4443	12966.4238	12601.9883	11886.6074	12902.707	12431.7979	12797.4463	12136.7676	12465.8418	10684.3945	13852.0498	14394.6992	12579.5273	12978.0645	13186.3584	12105.4482	13294.0176	11464.6172	13682.998	12375.835	11810.2891	12243.0166	12536.8945	11869.1504	13209.0254	15405.9316	11385.0889	10809.6992	11570.8643	13872.5908
2.9353	12511.543	12134.791	14140.832	11053.0107	11033.957	12083.9512	10853.4648	12853.0977	12698.6377	11518.1875	NaN	12281.9883	12720.0352	12319.6201	12349.3906	11443.2285	13569.6562	16147.2197	13636.4453	12272.4385	12451.5684	12088.0225	12731.3311	11498.9121	13657.959	12068.1377	11539.5283	12517.4668	11835.6094	10977.3447	12869.6738	14281.9121	10949.4482	11588.1895	11317.2598	13488.3838
3.0687	12737.5674	12109.2002	14258.3672	11068.8848	11474.7754	13239.8604	NaN	11949.9795	NaN	11061.1055	NaN	11121.3174	11598.25	12338.3711	12316.5439	11384.7236	12220.5088	15959.9062	13264.6533	12004.6826	12807.9561	11174.4082	11648.0889	11549.5518	14936.499	11939.4688	11444.1055	12671.0127	11918.9102	11066.7178	NaN	13302.04	10959.2002	11871.3047	10979.9932	12576.5283
3.2021	13288.6768	NaN	13360.0215	NaN	NaN	12912.2607	NaN	13044.3721	NaN	11464.249	NaN	11446.2715	11956.9033	11679.8262	12554.9717	11042.7373	12178.1826	14014.4912	13357.5156	12011.1406	12750.7881	11197.083	11342.1924	11888.1162	15516.0508	11983.3672	11476.7402	NaN	11737.8906	10336.3301	NaN	13674.7178	11479.8662	12064.5566	11362.6895	11952.7471
3.3355	NaN	NaN	13035.957	NaN	NaN	NaN	NaN	12294.8359	NaN	11785.6494	NaN	11549.7734	12242.7891	11595.2354	NaN	NaN	12275.5137	13799.3848	12860.1152	11679.958	NaN	10323.4316	NaN	12223.6621	14915.4795	12023.3506	11728.0498	NaN	12436.668	10022.6016	NaN	13203.4775	11389.4629	NaN	10760.4473	12085.1104
3.469	NaN	NaN	12799.5596	NaN	NaN	NaN	NaN	11827.6826	NaN	NaN	NaN	11018.6426	NaN	11364.2471	NaN	NaN	NaN	12677.1787	12581.5088	NaN	NaN	9915.8584	NaN	11796.4199	14588.7217	11782.5527	11304.4443	NaN	12113.1484	NaN	NaN	NaN	11613.3105	NaN	11020.4131	12117.6826
3.6024	NaN	NaN	12360.6592	NaN	NaN	NaN	NaN	11984.9346	NaN	NaN	NaN	NaN	NaN	11593.1328	NaN	NaN	NaN	13506.7979	12636.291	NaN	NaN	9803.9668	NaN	11950.4619	13292.3486	12077.668	11250.5264	NaN	11625.4785	NaN	NaN	NaN	11565.9902	NaN	11106.8799	11719.2168
3.7358	NaN	NaN	12162.4678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13416.6172	12572.0742	NaN	NaN	NaN	NaN	NaN	13055.6426	NaN	11466.7656	NaN	12578.541	NaN	NaN	NaN	11514.0635	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12817.0176	NaN	NaN	NaN	NaN	NaN	13245.9365	NaN	NaN	NaN	13639.5205	NaN	NaN	NaN	11131.8213	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13328.2412	NaN	NaN	NaN	12908.8857	NaN	NaN	NaN	10653.167	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12998.0547	NaN	NaN	NaN	12869.0625	NaN	NaN	NaN	11014.9951	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12625.4961	NaN	NaN	NaN	11313.5615	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11354.2217	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
