x	Y_20181208_15693_10_11g	Y_20181208_15693_11_5g	Y_20181208_15693_12_8g	Y_20181208_15693_14_10g	Y_20181208_15693_14_11g	Y_20181208_15693_15_3g	Y_20181208_15693_17_5g	Y_20181208_15693_17_9g	Y_20181208_15693_18_2g	Y_20181208_15693_18_9g	Y_20181208_15693_4_1g	Y_20181208_15693_5_15g	Y_20181208_15693b_1_13g	Y_20181208_15693b_10_12g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_13g	Y_20181208_15693b_3_1g	Y_20181208_15693b_6_4g	Y_20181208_15693b_7_3g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_6g
0	10685.2383	10587.1143	9692.0205	9817.0137	10460.9502	12248.335	10942.3408	9580.7354	10994.1641	10709.5586	10368.8594	9272.2344	10650.0029	10405.6465	11289.8555	10848.3555	11507.2764	9239.1123	10446.0889	11058.1738	15730.8057	9934.7197
0.1334	12116.5068	12614.7031	10053.4102	10208.9326	11408.3662	14017.334	11412.3594	10242.1426	10130.708	11887.1699	13030.3438	9512.4404	10579.4004	11328.8721	11687.6299	11591.9912	13362.8213	9844.5625	11788.9502	12384.1104	17467.4023	10379.7549
0.2668	16005.6221	15377.9463	10716.917	10576.0283	13174.21	15231.1279	13981.8125	11423.3184	9773.8213	14132.6006	14050.3174	9369.8838	11651.5039	13786.1338	12837.6855	12853.1455	15693.2637	10817.6094	12762.2471	14455.917	16908.5859	10408.9922
0.4003	16455.6172	18445.418	11509.4219	10665.3789	15550.7178	15007.665	15396.9863	13724.3252	9973.1123	17629.7715	13040.9922	9356.9043	12890.2822	16380.4971	15065.9238	15289.3174	18774.5918	12751.9531	15383.8379	14800.1758	16124.2148	11313.3574
0.5337	17804.4297	19988.7441	12584.0674	11838.0176	15282.0654	14651.2793	16785.9258	15449.4473	11279.2705	18313.4805	12654.6074	9708.2031	14195.2803	16570.084	15223.9814	16634.7402	20403.7949	15297.4785	16633.4707	14069.4844	15621.3965	13278.1689
0.6671	18272.4688	19109.418	14285.8711	12477.2559	14251.8398	13909.1689	16688.6738	14538.1982	13202.1221	16338.3281	12536.6846	10489.5625	14187.5928	15052.8076	16149.6406	16086.9697	20798.0898	16041.8652	16103.7949	13788.9492	16566.668	14014.7266
0.8005	18028.0195	18002.5742	14280.0957	12105.1553	14374.2979	13793.0791	16475.6074	13999.0703	15165.5645	14455.4219	12064.6797	11699.7578	14959.9092	14305.1963	16437.8301	15996.9941	18196.0703	15231.8525	14093.3223	13139.0029	16569.2168	13944.1611
0.934	16991.6973	17214.7188	12940.7461	11814.0039	14131.3877	14119.8408	16018.0117	12758.8359	14818.1484	13532.6699	13244.4033	14493.6289	14496.1475	12309.8662	16287.7861	14610.7393	17895.0098	14197.7803	13400.4209	13792.3672	16387.3281	13665.1846
1.0674	16023.1914	17072.1191	12040.2744	11499.7959	14193.5322	13908.9424	15368.5654	12395.9385	14043.1201	13492.7842	13576.7334	16471.8711	15547.3369	12582.541	15496.792	15351.2812	16962.4258	13917.1631	13107.9688	14538.6807	14828.7676	13587.6035
1.2008	15688.1963	15488.002	11822.9258	12015.9541	15017.9893	13978.6768	16309.5947	12603.1162	14208.9678	14141.3291	13909.9053	15409.0645	16599.4961	13384.9932	15257.9404	14758.3076	16440.8496	13980.5352	13415.918	15162.6768	14045.6172	14588.627
1.3342	16080.4238	14871.2266	11378.7432	10862.8877	14181.9053	14644.3838	16912.4512	13339.3623	13170.5703	14465.2666	13371.7373	14898.9521	16774.5449	13830.6045	14785.4004	14602.8545	15876.5576	14268.3965	13283.4111	14556.2061	14477.915	15219.168
1.4676	17963.6465	14931.7188	12083.6055	11227.5537	13968.0273	14687.9717	16018.9248	13031.9883	13913.4795	14009.4922	13284.5498	13252.0166	15921.5879	14170.5947	13937.6318	14426.1406	15922.2803	14687.4033	14040.2686	15065.291	14310.168	16872.6191
1.6011	18118.5293	15703.6895	12251.666	12028.3887	14670.0508	14460.7168	15597.46	12854.5723	13958.8271	13715.1797	13029.5166	14911.1377	16106.96	13151.5957	14385.1758	13970.2686	15745.6016	13729.6768	15476.126	16012.9697	13285.5713	15167.3438
1.7345	17696.1602	15538.1318	12421.6982	12143.7148	15381.5215	14989.8857	15930.1396	12576.2393	15383.8398	14092.7344	12622.9287	14230.168	16268.9883	12888.0615	14209.5137	13167.9092	15837.6865	15031.1289	14780.5781	15899.918	13631.959	15743.1621
1.8679	16292.4795	15710.2578	12373.2441	13287.9629	15654.1934	15429.1748	15489.9658	12852.7959	13835.6885	13690.6592	12342.7744	13269.5244	15683.4414	13541.9619	13973.4766	12924.3174	14998.1553	14001.3008	15240.7822	15633.6475	13140.458	15475.1895
2.0013	16631.6914	16125.9482	12354.835	13128.6143	14969.8535	15189.6006	15600.9443	13814.7188	15395.833	13437.5576	12003.6621	12943.1533	15225.9844	15266.583	14555.2881	13311.8779	14870.8213	14897.0264	16281.8779	15787.9395	13390.5049	15857.3887
2.1347	15861.3838	15679.127	12204.8057	13088.1367	15103.8291	14019.7988	15467.1133	13933.3301	15243.6914	13037.876	11294.4258	13162.7354	15502.6406	16342.833	14009.6924	13755.0527	14221.709	15308.4229	16325.6035	14729.3965	12898.7529	16759.5762
