x	Y_20181208_15100_1_6g	Y_20181208_15100_11_2g	Y_20181208_15100_12_1g	Y_20181208_15100_13_10g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_14_3g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_23_1g	Y_20181208_15100_27_1g	Y_20181208_15100_5_11g	Y_20181208_15100_5_1g	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g	Y_20181208_15100_8_1g	Y_20181208_15100b_10_3g	Y_20181208_15100b_11_5g	Y_20181208_15100b_13_2g	Y_20181208_15100b_13_3g	Y_20181208_15100b_13_7g	Y_20181208_15100b_15_4g	Y_20181208_15100b_16_4g	Y_20181208_15100b_16_8g	Y_20181208_15100b_18_5g	Y_20181208_15100b_18_6g	Y_20181208_15100b_18_9g	Y_20181208_15100b_19_1g	Y_20181208_15100b_19_3g	Y_20181208_15100b_2_3g	Y_20181208_15100b_20_2g	Y_20181208_15100b_20_9g	Y_20181208_15100b_21_10g	Y_20181208_15100b_21_11g	Y_20181208_15100b_21_1g	Y_20181208_15100b_21_3g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_1g	Y_20181208_15100b_22_4g	Y_20181208_15100b_23_2g	Y_20181208_15100b_23_8g	Y_20181208_15100b_25_4g	Y_20181208_15100b_26_2g	Y_20181208_15100b_26_4g	Y_20181208_15100b_26_6g	Y_20181208_15100b_27_1g	Y_20181208_15100b_27_7g	Y_20181208_15100b_27_9g	Y_20181208_15100b_32_5g	Y_20181208_15100b_5_1g	Y_20181208_15100b_6_3g	Y_20181208_15100b_6_4g	Y_20181208_15100b_8_2g
0	10944.8496	14257.9834	13726.4697	13802.5762	13388.9834	12193.7305	13995.251	10708.5977	13071.1016	13576.1377	14307.8643	11720.9482	12898.6475	15163.2197	13417.5938	10893.8037	12752.8672	11270.1289	16464.1914	10374.5234	12063.1748	11786.0127	11271.7051	12511.1973	11849.6006	13617.7695	12828.3936	11158.7588	10736.9932	12264.916	14166.1875	13430.2217	15427.6885	13766.1396	16025.8682	12640.1328	13117.5195	13241.3027	12223.5547	12689.0264	12954.7217	11765.918	11363.7461	12202.5049	11529.2256	6357.3164	10547.7832	11239.9941	12507.7188	12361.5	13317.2949	12534.7598	11498.252
0.1334	11632.958	14052.9971	13552.5029	14665.1191	13419.5898	11859.3184	15499.2275	11256.6338	13369.0479	14848.5234	15211.6885	11615.6172	12672.9453	15768.7549	13338.9385	12008.0771	13068.7676	11767.3438	21297.4844	11173.9717	12938.2236	14202.4619	12173.915	13705.3848	12045.5674	15443.0469	12497.2881	11879.665	11008.6514	12452.7246	14475.8047	13671.5186	18970.0586	13312.1797	21067.0215	12306.0039	13520.9678	13934.6582	13118.3564	13621.627	12877.0205	12383.9141	12853.0615	13536.9561	11752.3408	6983.8242	10889.7959	11849.8115	13084.2803	12035	13799.501	13161.8262	12200.4502
0.2668	11321.1338	16678.209	14491.585	16078.3887	14228.251	11922.5176	17063.5371	11527.8125	13904.5635	18148.8633	16946.6543	13070.7734	13303.5859	16721.6426	13609.668	12936.7041	13985.0205	13838.4414	21711.0312	12891.1113	12583.1992	18182.3652	13686.9453	14927.7432	12399.6006	17250.0039	16057.917	14121.5928	11597.8135	12414.4121	17828.9141	15235.0479	22554.7891	14096.4453	25206.1973	13333.3096	13992.0293	15193.6914	14645.415	14983.3252	13578.8916	13768.5947	15392.4297	16416.7344	11949.0322	9344.9355	11738.7109	13330.7119	14697.9561	14656.6807	14123.5898	14186.7607	14117.2803
0.4003	12422.1719	18571.2539	16994.7793	19774.3809	15856.4531	12359.1592	16562.5957	12555.9668	14703.1123	22641.5137	21333.8945	15548.9727	14554.3145	17815.2363	13856.5469	14433.335	16649.2441	18627.4062	19450.9355	16754.1465	12519.2236	19693.8633	16009.3682	16958.0547	12861.0801	19276.8574	18263.7754	16551.3164	14048.1631	14062.1318	21633.4863	18056.1328	23400.6035	14348.2783	22599.709	13821.249	14900.6855	16831.8574	18087.7148	15395.6543	15538.4805	14400.0234	17577.3047	19977.5977	12647.8662	19411.8359	13050.4727	16374.3662	16946.373	17146.7656	15788.5273	15933.4473	17154.9297
0.5337	15774.3896	17709.1719	18790.2266	26608.1426	20163.8281	14013.0088	14695.1611	15298.2627	17473.793	23424.8105	24336.9258	18764.8594	16807.6992	18702.1309	14215.6738	15977.459	21076.2871	22165.4844	17340.0137	20968.0684	14974.958	18043.3398	15199.6855	19025.2051	14268.7578	18855.793	18078.459	17016.373	17144.8008	16700.5254	21819.3789	19713.1543	20688.2832	15848.0596	19681.457	15438.6455	17107.3164	14213.6055	22252.1875	15737.4033	18306.6895	15150.1699	18261.1211	19069.625	13998.0098	20797.0234	14282.3691	21141.6855	17865.5859	17768.4453	19249.3613	18191.375	17428.7461
0.6671	17647.0938	15930.3008	17346.2559	32679.7383	20533.2539	17107.3418	14504.957	15810.2344	20397.9199	20311.7812	20533.1934	18373.7578	18739.1055	17606.7148	16528.5938	16287.0146	20791.3262	22430.3184	15451.958	22500.7461	19331.7422	17257.7129	13151.2568	18710.0762	15467.5967	16598.3223	15222.5381	17266.082	16209.5176	17263.6211	19277.5859	19132.4863	15944.7109	17586.6699	17770.4473	16717.9199	20593.3516	14351.96	22677.0977	15886.0166	20801.873	14498.9424	15847.9189	16279.1455	15851.6738	16890.5449	13989.2129	28015.8594	15702.9346	14852.8926	22802.7363	20690.5059	16171.624
0.8005	16524.4688	15631.1006	15597.2979	29116.4824	17983.3164	18201.0352	14335.79	15050.249	19023.5527	18903.5645	17780.7383	16004.1133	19045.8984	14566.3691	20347.1406	16427.8555	17427.8691	18867.7754	14091.4375	22491.2461	24932.248	17446.8691	12366.1035	16142.1631	13926.7578	16065.46	14060.4619	17308.3672	13120.2031	16720.5566	16272.6025	18687.1406	14207.5674	19291.3418	16035.4238	15024.1152	22218.666	16244.1328	20296.5879	17561.127	21110.0332	13723.4531	14904.0244	14807.5117	14968.7129	13913.6279	12558.1367	28280.8613	14279.127	14358.0371	20279.4238	18056.0742	16354.9785
0.934	15230.9883	15881.9072	15337.4941	23754.9902	14540.2305	17934.1582	14574.1357	14228.4473	16964.5566	17011.4629	16838.7871	13764.4277	18568.668	15575.7266	21274.6484	15822.624	15462.752	16920.4609	13737.873	19153.748	23576.3867	16913.2598	11746.8086	15213.1113	12441.127	15178.0537	13089.7686	17227.9316	11768.9551	15835.335	15237.1758	16490.0938	14291.0361	17987.75	14237.1982	12307.1582	22086.709	16814.3105	17442.4609	17218.8027	17036.8438	13488.3682	15419.7764	14240.6816	14158.1475	12498.6836	12309.3594	23285.2012	14349.1113	14100.5918	18308.0508	16191.2207	15539.6025
1.0674	15374.2598	16122.0908	15496.8818	19564.2422	13735.7852	17947.4434	14808.0703	13577.1377	16627.709	16383.2715	17477.459	14154.1895	16634.293	15947.7754	18311.3301	14735.9902	13429.8145	16023.6348	13273.7783	18472.2617	19208.9707	14772.4062	11445.3584	15808.8086	12506.7881	14956.5605	13602.9424	18173.0469	12294.8535	16483.1992	13010.2539	14830.4707	15322.4902	15264.8711	12354.3164	11712.8809	21660.6016	16205.1514	16707.9219	16087.3262	15460.4941	13736.9795	15126.0508	14245.3164	13489.165	12060.6904	12173.208	19860.5234	12972.0244	16426.7871	15727.2969	16796.127	15443.2207
1.2008	15535.0566	16435.207	15094.8633	17223.6055	13357.5566	15471.707	15097.7949	13620.3848	18393.2207	14963.083	16991.4023	13620.3428	15839.2168	15571.0254	14344.6787	13742.75	12326.7441	14556.5967	14383.2471	17228.4824	15336.4248	14424.0049	11656.0928	15690.4531	12142.5049	14760.0723	12155.5156	16343.2969	11879.4131	15718.1855	13031.8691	14864.2188	15346.5576	13736.249	11580.167	11955.248	19040.2012	14988.5713	17388.0215	15277.7275	14990.8457	12972.5762	13385.6006	13902.5469	13717.1963	14180.9863	11585.6436	17278.0645	13420.9443	16637.4629	15135.7939	16249.2881	14508.2324
1.3342	14696.5928	17583.7188	13337.8291	16797.2441	13909.293	16105.4014	14966.042	14408.5107	20492.1973	15015.0049	16529.1562	12702.4287	15653.7031	17304.0293	13487.3398	13546.2764	12490.0186	13543.874	14854.21	16528.1172	12043.3457	12977.6523	11640.1533	14824.3252	12649.9775	14072.8125	12097.4287	15211.6855	11776.8984	14268.4326	13755.0996	14079.8252	14918.249	13865.335	11281.7432	12814.1562	17226.9746	14603.8193	17039.1699	14222.0918	15276.0703	12622.6514	13090.8076	13125.6406	14910.957	14281.6309	11136.4434	15008.8281	12670.9375	15837.0508	13253.8574	17008.6133	15630.8936
1.4676	15023.4297	17089.3633	12725.5898	16879.8359	14214.0527	16294.2588	14839.4141	15028.5371	19601.1367	13799.2764	15404.3193	12001.5361	14839.2861	17894.5254	14055.8477	13804.0078	12233.3105	14140.04	13984.6846	14343.8389	12053.1787	12350.4199	11845.8633	14921.8301	12559.958	12424.6289	12774.3916	13516.0723	11207.3262	13282.6133	13015.999	13275.4023	13367.8799	13369.6777	11569.7305	13430.0303	17040.1758	13030.7295	15303.4443	12925.292	14458.3027	12492.1123	12371.959	12061.7471	14447.6904	12923.4766	10798.9121	13544.1709	11920.2275	14598.0918	13185.1055	15793.8623	13469.0107
1.6011	14668.4541	15155.21	12664.4619	15945.0488	13461.1338	19318.207	15376.8887	14924.2744	16833.8008	12946.6387	14397.9229	11848.1992	14474.9365	16620.6113	14193.1602	13792.9736	12397.123	14110.2578	13491.9922	12999.7422	12202.7285	11950.3027	11949.9033	13837.6074	12646.6133	12003.5029	12447.0508	12248.5762	11450.5586	12407.8916	12350.0732	12815.1885	13143.2305	13254.0273	11527.7754	13369.5449	15491.0068	12218.6621	13966.002	12659.7021	13412.2734	12534.4688	12247.4395	12557.1455	13977.4697	12330.5244	11285.7139	12816.4453	12326.9365	12659.9512	12853.8633	13409.0391	11988.376
