x	Y_20181208_15100_10_2g	Y_20181208_15100_14_2g	Y_20181208_15100_16_3g	Y_20181208_15100_19_2g	Y_20181208_15100_2_1g	Y_20181208_15100_2_3g	Y_20181208_15100_5_5g	Y_20181208_15100_6_4g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g	Y_20181208_15100_8_1g
0	10872.3037	11289.9707	11911.373	11610.3428	15538.7588	14478.3555	10131.0186	13821.8291	10777.8564	14067.5908	13766.5234	11723.4482
0.1334	11958.8037	12985.9395	14430.4609	12709.7656	16808.6133	14569.7812	10729.6338	15374.8525	13298.6055	15550.502	15224.8086	13076.9941
0.2668	12804.417	15327.1406	15994.9414	13520.7578	18295.3262	15023.7002	11794.7656	15176.7041	15291.0254	17244.2949	16120.7959	14340.5488
0.4003	14925.3984	15831.3477	16068.001	13211.6797	19094.5781	17393.3047	13326.3545	14367.7158	16304.1279	19026.4492	20157.5215	16883.0742
0.5337	16654.2383	15322.8555	16003.3848	13233.0322	18488.5664	22171.3613	15920.6562	13954.9688	15352.8525	18578.4258	23130.1328	19348.7891
0.6671	18268.8984	14144.0977	15019.1113	13245.0312	15785.6074	24989.7246	16815.8477	13721.6982	14561.7656	16414.877	22684.3047	18825.1055
0.8005	17850.3105	14662.0215	14616.7686	13662.1201	14733.7627	23970.5137	16370.9492	13752.8682	12793.2617	15617.043	21103.0898	17342.2129
0.934	18019.2754	14672.6787	13119.9443	13027.3477	13643.2656	22624.9258	15071.6445	13395.8428	13005.5342	14318.9346	20292.3574	17210.7773
1.0674	18256.7617	14993.915	13906.6777	12578.04	13200.6104	22019.8359	14287.9648	12730.3984	13497.3428	13712.4434	18980.5547	16874.1016
1.2008	17772.9824	14693.2646	13788.333	12634.6943	13371.1729	22814.7461	14354.3574	13105.3857	14274.3037	14714.1143	17241.3809	16959.5195
1.3342	16722.2578	14240.1816	12914.1719	12204.0254	12983.2012	19911.2285	14248.0254	14417.4111	14785.7402	14894.5605	15022.1484	16620.0898
1.4676	17287.2461	15389.7324	13473.5791	11613.7793	13201.124	18096.9453	14464.998	15611.1826	14211.5879	14541.2363	13741.6562	16205.0312
1.6011	16144.8213	14301.4756	13486.79	11346.3389	12091.9414	17041.8047	13702.9697	15542.0469	12369.8408	15010.3076	12430.0215	15891.3672
1.7345	15151.9678	12916.8672	13999.0107	11977.2734	11714.4268	14584.1631	12994.1045	15872.4893	12500.4912	15460.8271	13008.1523	15838.7373
1.8679	13966.9785	12964.0977	13299.4463	12506.8018	12339.6279	13747.1104	12836.1436	14884.1357	12414.1006	13976.3789	12309.9727	15785.3838
2.0013	13522.7275	12704.9619	13007.5742	11946.959	11288.0996	13912.1758	12675.249	13625.1631	12561.7041	13465.1621	11614.6445	14944.8545
2.1347	13239.1855	12749.0312	12784.2559	NaN	NaN	13451.1221	12572.3291	NaN	NaN	11741.6113	NaN	13191.4365
2.2682	13082.0137	11926.5479	12177.1387	NaN	NaN	13084.4619	12677.4736	NaN	NaN	NaN	NaN	13186.1592
2.4016	12707.1094	NaN	NaN	NaN	NaN	12647.3047	13007.5898	NaN	NaN	NaN	NaN	13673.0869
2.535	12236.1699	NaN	NaN	NaN	NaN	NaN	12966.3438	NaN	NaN	NaN	NaN	13436.7373
2.6684	11937.9443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13255.1445
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
