x	Y_20181208_15100_11_3g	Y_20181208_15100_18_1g	Y_20181208_15100_19_1g	Y_20181208_15100_2_2g
0	10093.8867	11385.875	14674.1348	10284.8467
0.1334	10343.1426	11348.5967	17931.7656	11744.8516
0.2668	11680.1572	12728.8086	19654.248	14083.7695
0.4003	13112.8428	14948.5117	16236.9297	17861.4648
0.5337	15264.6201	15872.7402	15102.085	22007.0703
0.6671	14909.3271	15436.4355	14593.1045	19521.6055
0.8005	13447.1963	15675.0879	13646.9951	16760.2266
0.934	12973.3564	15082.6895	13915.0791	16331.8242
1.0674	12749.3154	13475.3154	14166.7959	16109.0439
1.2008	12884.1211	13939.3584	14082.0703	16511.5078
1.3342	13543.0576	15456.2803	14094.7578	16785.5625
1.4676	12701.0645	15318.4336	13670.2344	16447.0195
1.6011	12699.7705	13985.5186	13081.8291	15794.1865
1.7345	13865.6309	13031.0303	13560.0205	16568.1445
1.8679	13614.3672	13609.0566	13419.2451	17617.3047
2.0013	13339.9121	15211.3779	13475.2256	17464.9746
2.1347	13817.1416	16553.6953	14206.6299	17152.5684
2.2682	13332.2998	17476.8535	14515.7217	16298.5361
2.4016	12864.708	16390.7598	14230.6133	15052.3916
2.535	12325.9561	15347.1025	14003.4814	14269.9395
2.6684	11210.208	15080.3213	13560.7451	14524.2129
2.8019	11271.5908	13858.252	13137.6768	13970.5771
2.9353	10939.335	13201.0576	12480.5654	13625.3135
3.0687	10526.7217	13427.2275	12375.4658	12996.8662
3.2021	10273.0977	12925.8223	11457.0537	12506.6592
3.3355	10017.3682	13025.8027	11571.877	12947.8896
3.469	10053.2178	12787.6953	10954.2188	12773.5566
3.6024	9950.2344	12218.6924	NaN	12233.4199
3.7358	10041.1934	12121.6816	NaN	12111.9912
3.8692	NaN	12384.5342	NaN	NaN
4.0027	NaN	12660.4688	NaN	NaN
