x	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_6g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_2g	Y_20181208_15692b_9_4g
0	27667.1973	29507.2402	27888.0723	25968.9863	31819.3301	30018.0273	30933.0273	30171.1074	29658.9336	30598.666	30603.0352	32548.4004	29549.377	27695.4961	33059.9023	27299.9219	28018.9355	30795.6504	28794.7949	26913.0898	28451.5469	32661.3086	31331.6055	29665.752	27943.8574	31155.0508	30032.4082	27913.4883	30055.8516	31515.1992
0.1334	27954.3613	30978.7559	28765.5469	26591.2285	32752.207	30367.8145	30979.9043	31389.7559	30646.6445	30282.9785	29573.4395	31715.627	29581.5	29013.8301	31472.5039	27112.5547	26124.8164	29799.6172	30221.8906	28027.707	28445.8477	30480.8867	31386.9336	30573.9297	27727.1016	31524.9492	30679.2129	27587.2617	29313.127	31305.2441
0.2668	27373.2363	32860.793	29935.1504	26826.2754	31859.4922	30385.5293	29732.9629	31430.0625	30286.8516	29284.5332	28184.8848	32134.5039	29231.3965	28527.1484	32199.7949	26326.3359	26297.6934	30151.4453	30052.8848	27743.0801	28297.2363	30797.1562	32336.6035	29696.1738	28092.752	31524.8145	32234.377	26770.4102	27721.377	32318.416
0.4003	27290.7598	33308.7305	30199.4844	27702.9844	32053.709	29758.791	32191.0703	31212.8984	31744.0977	29638.0938	28456.0215	32119.1367	28479.7988	29215.0488	31913.0977	25984.8457	27264.3184	30023.0957	28986.3027	27559.1992	28826.0586	32122.8555	31841.5684	28441.8945	27997.0664	31558.2246	31514.0332	26543.4082	28695.1426	32585.1309
0.5337	28206.0371	32086.252	29045.334	26047.7754	31924.3594	29241.3242	30457.0059	32121.7676	31392.9941	31176.1699	27962.4297	31288.1875	28274.9844	28798.2773	31539.9805	26153.2461	28033.2812	31407.9316	30390.9512	26855.7227	29705	31722.3535	30830.0957	29657.6523	26412.125	30417.7617	31916.3242	27393.4121	28493.4844	33808.7305
0.6671	27942.1211	32530.3613	27511.7031	27339.8438	29280.0898	29341.2344	29771.7305	32264.248	31885.6035	30250.7988	29120.7949	31042.5312	28216.1973	29548.0176	32559.959	26772.8301	28325.0332	31199.8945	30913.2207	26943.9648	29666.7695	31062.6152	31774.1836	29650.8086	25728.9492	30776.0488	30360.2383	26746.7207	29442.8223	34328.8516
0.8005	27499.8516	30912.9082	28694.1445	27158.1641	29838.7988	30254.7207	29920.627	32119.0098	31770.5723	28985.6289	27601.9746	31030.3105	28881.3711	29509.8164	32276.2695	26773.6641	28248.8164	30919.8008	31249.6621	27179.0098	30298.8516	31215.7891	30662.9102	31468.0645	27233.1934	32583.0195	31641.4043	26771.1133	29782.0859	33302.4922
0.934	28859.5801	30455.3047	28250.123	27901.5664	30016.7031	28947.0781	31508.3926	32677.9512	31058.9902	30211.502	27154.957	31560.0039	29347.207	30016.418	31151.4277	26592.6484	26991.0273	32173.1484	31729.6699	27149.4453	30501.541	30756.5508	30973.8418	29902.0879	28490.5938	33485.3008	30605.8516	26100.6797	30179.4316	33749.1836
1.0674	30200.3652	28957.3984	29161.877	26975.6543	30893.625	29597.0508	32544.9062	31948.4414	32038.8906	29863.2812	27579.5898	31974.8125	28980.3105	28384.0098	31210.9375	26270.3398	28494.627	32921.2148	32037.9512	28975.4961	29278.6074	30681.3418	31338.7324	30586.377	28699.0195	31581.6465	31060.3691	25610.2012	31753.1289	32683.5684
1.2008	29176.8516	30507.6973	29641.9316	28813.4395	31080.8438	30167.2402	30890.1328	33407.707	32480.4082	28511.7461	27731.0391	32788.832	32354.0527	29431.4316	31260.834	26542.8301	27773.6367	34694.5352	32886.4961	30824.2695	31949.4258	32391.3145	32582.4023	30395.6055	28689.1504	33233.5352	32946.0859	24978.252	32339.4629	32685.9023
1.3342	29015.1133	32386.6191	29235.0781	29302.1758	33668.1094	29993.8359	30213.8887	34299.0625	32870.9961	30152.4004	28559.7773	33277.1211	34224.6445	29964.3105	32886.5078	27075.7891	30576.2324	39165.2539	33072.0703	34965.5352	32056.2109	32879.8984	30957.627	32846.7109	29859.4668	34797.0391	34328.8125	25466.1602	34380.8359	34818.0078
1.4676	28652.9727	35294.5938	30450.0137	30738.7656	32771.7148	32530.5293	30197.2031	36006.8086	33532.6758	29087.1738	28691.6738	33859.0859	39862.9766	31517.1582	38434.2266	28880.5059	32497.4531	55005.9023	37833.1289	46049.0273	35495.6016	33596.9102	31094.2773	34482.25	32635.334	38422.9688	38707.6523	26253.5273	38324.7344	33580.625
1.6011	29307.3809	36919.3516	33195.375	35695.7656	37623.8516	34720.0312	33059.2422	40767.1719	37645.9727	31783.8457	28894.0195	37146.4219	52107.2539	29953.5332	46211.1562	29126.0352	39475.2148	84680.6875	47342.9609	63071.9922	42989.2656	34337.0469	34816.332	39714.5938	39198.5117	47311.1289	45813.0898	27375.3379	49248.1172	34778.6953
1.7345	29276.7539	44889.2734	36868.1445	46349.3945	47084.2656	42180.2305	36219.5625	49269.1211	45616.9062	31183.3301	30696.623	38941.8633	55280.4922	29689.8047	62842.4258	31038.0723	56516.1719	99109.5703	61420.4062	77364.3594	60247.1758	36542.7734	35393.3828	52303.0469	56594.7031	71564.3359	66533.4609	29885.4434	77496.7734	35162.6445
1.8679	30467.4023	64290.5547	44667.6211	48979.3672	66693.4219	55183.9648	45268.5195	69608.5	60325.2266	38541.2617	37167.1953	45045.6445	45590.5625	32173.5898	82133.4375	40608.1094	84631.2578	77904.6328	69530.125	65605.0547	82565.5781	40415.0781	38004.7227	68588	73387.4531	94899.4688	91621.2188	31957.9922	101027.6953	41009.6836
2.0013	32190.2695	80290.8125	46524.832	37946.8477	90339.6562	64601.7891	52204.6367	85409.4531	76428.4141	49669.3516	52177.4258	57773.4688	34716.3047	39462.3633	79176.6484	62840.9688	100733.5859	50103.7539	58781.8086	46233.5938	96007.7734	41837.9023	47656.4648	77598.3438	70284.5625	85865.3281	86404.7422	38450.3984	91019.25	47004.8789
