x	Y_20180224_15102_10_8g	Y_20180224_15102_11_11g	Y_20180224_15102_12_4g	Y_20180224_15102_15_6g	Y_20180224_15102_22_1g	Y_20180224_15102_25_4g	Y_20180224_15102_26_1g	Y_20180224_15102_27_7g	Y_20180224_15102_28_9_S_g	Y_20180224_15102_29_2_1_S_g	Y_20180224_15102_29_2_2_S_g	Y_20180224_15102_4_9_S_g	Y_20180224_15102_6_2g
0	40287.512	39588.199	37719.793	37735.582	36997.914	37359.523	34430.043	38964.582	39365.121	38834.352	36607.73	35326.84	33341.117
0.1334	39910.227	41116.715	37930.051	38648.258	37357.355	39628.09	34548.664	38899.785	37014.68	37509.945	37734.895	34846.543	32202.951
0.2668	37603.668	41461.312	37481.07	39687.707	38383.168	38372.734	34274.883	40697.211	36861.34	37110.801	37041.828	35346.207	33234.262
0.4003	36315.199	41067.215	37822.68	40993.086	38888.762	37313.738	35763.77	40475.449	39008.156	37026.891	37736.746	35391.379	33219.738
0.5337	37730.371	42904.332	39630.938	42035.082	38021.938	38527.164	37176.906	38969.859	39668.336	36977.141	37400.492	35847.594	35169.969
0.6671	39431.301	43384.535	39477.633	42729.57	39112.699	38535.27	36986.93	38287.238	39828.137	37846.879	39518.285	34570.625	34156.352
0.8005	39576.551	43646.777	37482.035	41975.137	37820.629	39886.844	35519.332	37736.723	39482.84	38532.355	38622.055	36279.793	34635.492
0.934	40650.535	43560.102	39274.258	42238.957	37567.398	38194.898	35480.047	38142.625	41281.32	37336.684	38228.75	36331.703	35307.988
1.0674	39295.07	41588.406	38060.605	43524.848	37538.895	37178.207	33358.582	38868.906	42532.422	36002.105	37121.816	35944.691	35249.234
1.2008	39149.09	39767.602	38251.758	43107.43	37549.727	37192.934	33340.07	38860.25	38809.707	35526.762	37709.91	36420.547	34776.465
1.3342	37377.16	39570.637	40390.766	42190.047	37083.711	36866.293	35132.07	38964.527	40019.242	35854.863	37320.684	36653.355	33855.039
1.4676	37443.988	40445.562	38682.012	43314.844	37875.469	37681.762	34655.824	38639.398	40735.285	36772.844	38371.973	36781.77	34024.852
1.6011	37981.008	40974.816	40099.668	44731.121	36796.16	36319.305	34123.414	40128.207	39952.809	38124.238	37879.523	36884.641	35610.828
1.7345	39131.352	41928.469	41200.254	41890.293	37127.34	36568.672	33946.543	40203.465	38742.242	37490.609	36639.207	37301.344	33503.438
1.8679	39315.68	41318.316	40119.398	40713.945	38600.414	36502.023	34437.742	38262.734	40016.887	37560.332	37488.93	37729.988	34741.305
2.0013	38429.113	40895.219	40109.43	39920.176	36116.277	37118.75	34964.84	38807.953	39919.613	37464.129	37420.562	35912.996	34703.484
2.1348	38707.496	41343.633	38858.836	40793.547	36225.777	38351.293	32390.807	38847.227	40062.883	36929.355	39420.184	37256.379	32486.016
2.2682	39774.426	41371.379	40764.883	40526.031	38646.758	37586.863	32711.77	37094.738	40632.32	36875.516	41328.664	37764.277	33230.273
2.4016	42004.895	40442.926	40542.68	40974.668	42496.07	37589.34	36023.285	37391.562	43186.336	38271.828	43503.391	38028.391	34671.43
2.535	43008.102	40009.797	41755.914	41216.781	44195.418	36992.551	36608.648	38744.02	45252.828	38802.422	44542.363	39509.945	33124.543
2.6684	48113.148	41180.098	43138.238	41420.547	50902.059	39807.785	39874.305	39906.82	47340	39229.836	44032.926	43969.965	35373.902
2.8019	66800.391	42554.406	47926.488	42924.984	69156.828	45248.562	49119.777	41222.789	54989.371	43191.504	46121.426	54153.613	43824.223
2.9353	96189.57	46843.316	54839.406	43780.324	120090.242	62859.023	71827.422	44046.184	73814.352	47943.891	53730.219	85157.516	59416.816
3.0687	110029.383	61728.301	68860.008	46300.156	192392.484	93985.594	112107.688	50661.5	118256.312	63680.555	76689.211	114896.352	85203.039
3.2021	83213.062	93434.664	90296.547	57283.523	207666.281	108717.047	125021.273	66489.477	159638.547	89565.164	107970.742	105788.523	89788.266
3.3356	59275.277	112577.406	107925.109	80550.047	147645.203	82832.523	88231.602	93188.445	145649.844	110233.914	104725.242	73500.133	66875.406
3.469	47413.781	90042.938	88163.484	98375.75	83150.797	57493.285	57383.18	103905.672	96854.891	88281.938	73457.773	60091.305	46862.422
3.6024	NaN	61288.98	62753.176	88593.453	58592.672	43955.508	42869.133	82591.438	60943.77	59722.445	54447.836	56760.035	40048.34
3.7358	NaN	48640.508	48404.633	65655.992	49637.441	39432.605	NaN	58575.07	49223.949	47395.84	46432.281	NaN	NaN
3.8692	NaN	43790.039	41995.348	53352.887	43500.848	36314	NaN	45713.625	46067.828	41419.648	NaN	NaN	NaN
4.0027	NaN	43004.469	NaN	49000.34	NaN	NaN	NaN	41100.66	NaN	39891.004	NaN	NaN	NaN
4.1361	NaN	43593.133	NaN	51240.699	NaN	NaN	NaN	40230.723	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
