x	Y_20180130_15100b_1_13g	Y_20180130_15100b_1_5g	Y_20180130_15100b_1_8g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_14g	Y_20180130_15100b_10_7g	Y_20180130_15100b_12_1g	Y_20180130_15100b_12_8g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_4g	Y_20180130_15100b_15_15_1g	Y_20180130_15100b_15_2g	Y_20180130_15100b_15_7g	Y_20180130_15100b_16_12g	Y_20180130_15100b_17_4g	Y_20180130_15100b_18_10g	Y_20180130_15100b_18_11g	Y_20180130_15100b_18_8g	Y_20180130_15100b_18_9g	Y_20180130_15100b_2_8g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_5_2g	Y_20180130_15100b_21_1g	Y_20180130_15100b_4_17g	Y_20180130_15100b_4_7g	Y_20180130_15100b_5_15g	Y_20180130_15100b_6_2g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_16g	Y_20180130_15100b_8_3g	Y_20180130_15100_1_6g	Y_20180130_15100_2_3g	Y_20180130_15100_3_12g	Y_20180130_15100_3_14g	Y_20180130_15100_4_6g	Y_20180130_15100_5_19g	Y_20180130_15100_5_6g	Y_20180130_15100_7_1g	Y_20180130_15100_7_4g
0	11205.619	11744.3	11869.2	12504.521	13737.777	14213.363	13109.888	13904.81	12986.8	12784.119	14380.064	11941.734	13248.478	14659.788	12778.318	13208.753	12551.048	13418.499	13976.979	12620.468	14786.455	11955.557	11745.263	12727.458	13993.633	12261.67	13746.343	13329.646	12274.272	13194.844	12416.075	11363.224	10531.344	12533.242	14129.626	12850.823	12308.907	10885.021	10884.352
0.1334	11146.308	13152.863	12897.406	13021.057	14098.317	14923.965	13787.938	14169.492	14504.799	13775.067	15396.213	12646.907	14340.131	14036.998	14118.093	14550.075	13693.479	14373.358	14044.424	13638.98	15068.959	12643.708	12774.272	13709.672	13666.776	12530.233	15609.225	13598.776	12902.859	14141.802	12708.674	11409.73	11965.211	13399.264	13966.463	13026.663	12086.43	11584.067	11742.248
0.2668	12308.519	15803.495	13183.375	15171.948	16099.225	17140.445	15498.16	14424.472	18266.75	13967.837	16123.277	14621.804	16409.801	15484.575	15661.45	17093.627	15645.238	15858.024	14533.069	15251.297	16903.176	14640.212	14540.807	17235.502	14075.284	13420.369	20077.037	15402.207	14170.219	17252.26	13398.035	11963.08	13856.652	13537.396	14907.419	13734.488	14015.86	13073.46	12390.77
0.4003	14174.113	15077.807	14861.61	16964.764	19574.562	21311.141	18064.297	17418.693	22697	15809.361	18594.834	17901.855	20679.16	17976.916	16817.752	18229.838	18745.383	17663.895	16232.346	16766.117	18680.955	16956.965	17024.201	24275.787	15664.68	16595.098	21778.498	16824.129	16915.039	21209.25	16629.26	12238.805	16079.308	15514.087	16647.094	15134.878	15427.42	14880.334	14861.083
0.5337	15024.923	14193.692	15356.2	16842.637	19875.418	23642.977	19664.25	19306.24	23341.428	19235.283	18886.096	19513.42	24244.777	20673.248	15569.852	16180.265	19621.846	16151.513	18221.139	19526.555	21670.027	16800.377	19271.027	27336.988	17902.203	17698.551	18968.66	19694.91	19036.496	23716.365	18428.439	13832.704	18337.344	18121.859	18102.85	18783.416	15849.694	16850.096	16306.671
0.6671	14846.101	13917.642	15096.474	16080.946	17317.518	21885.992	19374.613	18439.748	20472.666	23959.879	17716.758	18568.352	21980.479	20893.557	13746.28	14330.69	19219.24	15349.888	19486.15	19905.867	20802.686	15460.312	19521.756	23847.752	18067.039	16974.961	17227.416	21691.328	18414.85	20430.807	17132.547	15958.346	18807.02	18750.51	16341.625	18624.713	15820.791	15917.438	17321.91
0.8005	13037.544	13673.875	14030.167	14811.207	16752.648	19400.293	17659.654	14545.932	16906.566	21639.225	16390.191	15300.409	19244.301	19833.895	14082.744	13637.357	17086.943	15304.664	17439.619	17169.068	19777.4	13984.564	17715.203	20570.791	16453.721	16367.869	16228.441	20227.043	16530.002	17302.422	15276.007	15218.206	15299.031	18014.826	14718.967	17244.529	16248.957	14781.679	15875.169
0.934	12118.758	13555.29	13452.085	14749.648	17203.203	18243.355	15266.034	12899.884	16003.5	18642.402	15131.917	13547.978	17505.801	18545.99	14211.135	13844.592	16221.101	14829.529	16343.397	17359.871	17831.543	13930.494	17659.354	17979.119	13948.705	15629.338	15771.233	16566.629	15196.101	16002.6	13352.508	14130.357	14591.933	16324.056	15112.726	16256.041	17018.402	13777.704	13675.388
1.0674	11621.977	14081.161	13759.72	14071.279	18912.844	16936.318	15278.303	13080.942	15765.441	17210.406	14277.229	12845.019	16535.186	18308.633	12559.68	12942.324	16423.352	13315.501	16497.588	19178.408	16653.842	13623.734	17969.346	18082.758	13437.769	15159.155	15260.172	15129.659	15329.828	15770.429	13089.413	14527.521	14523.046	16652.941	15512.139	16613.572	15374.352	14968.615	13054.319
1.2008	11879.092	13639.706	15288.716	14128.748	18734.273	17773.637	15221.017	12502.05	13372.419	16315.741	14101.707	13408.287	15860.313	18141.504	12329.544	13468.745	17696.93	13265.627	17624.992	18122.57	16449.121	13887.133	18727.34	18582.699	13006.955	15054.186	13620	14558.423	14145.971	16159.155	12283.146	15096.893	14948.367	16178.578	15156.793	16795.035	15142.605	14520.024	13997.897
