x	Y_20181208_15794_1_4g	Y_20181208_15794_10_11g	Y_20181208_15794_10_13g	Y_20181208_15794_11_5g	Y_20181208_15794_12_14g	Y_20181208_15794_13_8g	Y_20181208_15794_13_9g	Y_20181208_15794_19_10g	Y_20181208_15794_19_16g	Y_20181208_15794_19_18g	Y_20181208_15794_22_5g	Y_20181208_15794_23_8g	Y_20181208_15794_24_13g	Y_20181208_15794_26_15g	Y_20181208_15794_26_19g	Y_20181208_15794_27_13g	Y_20181208_15794_27_6g	Y_20181208_15794_28_9g	Y_20181208_15794_29_8g	Y_20181208_15794_29_9g	Y_20181208_15794_3_5g	Y_20181208_15794_3_8g	Y_20181208_15794_30_8g	Y_20181208_15794_4_17g	Y_20181208_15794_5_11g	Y_20181208_15794_5_6g	Y_20181208_15794_7_14g	Y_20181208_15794_7_8g	Y_20181208_15794_8_5g	Y_20181208_15794_9_20g
0	13420.9248	12198.5088	15475.2324	10565.9834	12938.8408	11648.5605	13533.2354	12015.2256	11308.8408	11842.7246	10083.5195	11810.6777	12357.3652	11534.8838	11909.0137	12871.3916	11979.7285	11382.624	11783.5938	12974.4932	12530.2627	11201.9697	11437.0908	12758.8623	10334.1953	10069.2207	12717.3174	9939.4199	12438.8252	9742.7236
0.1334	14926.5381	13423.0811	17924.998	11459.8125	13074.3623	12297.6914	15057.2617	12828.3594	11261.8721	11507.1709	10633.0186	13082.2158	13252.0361	12213.2637	14837.9824	13169.6699	12001.209	12657.1855	12650.2197	15393.123	14606.6074	11542.998	12292.1729	15572.7324	10654.3574	10795.9648	13816.417	10366.1338	14776.5742	9948.8623
0.2668	16459.6191	15213.1865	18931.4473	13368.4766	13593.459	13324.2939	18082.332	13882.5801	11281.2666	11300.5859	12299.2246	14240.3613	14120.1035	13634.8281	14739.3877	13949.1162	12923.8252	13411.1689	13900.5176	18353.7422	16541.4609	11951.8389	14509.3838	19073.7109	11488.0488	11413.7637	15866.3037	11921.5869	15211.2197	10719.4629
0.4003	16179.668	16406.5742	16353.5898	14571.1582	14805.9824	15685.4131	21218.5078	16949.7832	11935.7578	11370.4863	13588.1123	16428.457	18545.1719	19276.4238	14144.9404	13476.1357	14246.2178	15347.6338	15556.3975	17739.6328	16418.6211	13416.9092	14809.1836	21375.3145	12191.3096	11348.5156	18331.3379	14336.2061	15093.3594	11110.8604
0.5337	13937.0088	15148.9014	14120.6455	15428.3936	14787.7656	18443.9141	19886.7188	19056.6055	13439.7686	14042.333	14878.8604	16361.0801	23534.2734	20949.332	13844.3125	12953.457	15557.8037	18418.4863	17061.7109	16322.8184	14426.9854	15464.7227	13052.1426	18189.4805	12968.2695	12736.3086	18984	15700.1113	13915.7666	13113.2832
0.6671	12673.6826	12943.6895	13008.7686	14729.0938	14712.1396	17064.293	17474.0059	18503.248	14523.2002	15492.2148	14253.4482	14139.6592	25638.6719	19810.5332	13219.3701	13344.2832	18215.7871	17568.9746	16013.7764	15056.3174	13802.8154	16798.7949	13561.0645	17107.2188	14008.2383	15330.1719	17502.3945	15139.3271	12605.0273	16976.2578
0.8005	11749.1172	12237.1787	12659.8076	13856.8945	15859.1162	16158.8945	16260.2031	16212.4707	15293.21	15424.5088	12346.2217	14059.9385	22469.2754	16844.0195	12140.3223	13186.084	18470.5703	14097.8945	13012.5615	13560.7061	13629.3584	16228.2158	13107.9043	15171.2676	15899.9062	17590.0371	16669.6152	14243.1387	12430.9922	22271.9336
0.934	11238.2891	13222.4805	13260.4209	13214.8682	14680.2705	15429.834	15567.5371	14987.8535	15023.3574	15106.3271	11941.9639	14239.5107	20022.7227	16952.5508	11340.7354	13192.7744	16745.4102	12788.7158	12796.5303	13264.291	14168.8037	15687.7783	13672.4404	14197.0459	17278.375	17460.8105	15421.4766	14316.8818	13204.5029	22027.2383
1.0674	11584.1191	14038.2256	13593.2852	12649.8232	14238.1738	14911.4268	15826.8672	14795.4814	13941	14387.8232	12242.2031	14250.7783	17588.1816	15093.3779	11309.5449	13467.6865	14588.8691	12521.7305	12888.8018	13260.5791	13690.3916	14630.3408	13153.3545	14501.5	16054.79	17401.9961	15521.46	14316.7715	12659.3848	19794.4375
1.2008	12667.3594	13461.9033	13591.9404	12785.249	12833.084	14470.8447	15673.0635	15459.7539	12951.3506	14611.501	12066.6289	13168.6299	16753.9883	14033.4229	10897.3125	13376.541	13869.2227	12464.3691	12583.7764	13624.0488	12351.4141	14607.6973	12672.6777	13855.9736	14894.2451	16871.7793	15035.0967	14250.7725	11537.3926	17372.0938
