x	Y_20181208_15693_10_11g	Y_20181208_15693_11_5g	Y_20181208_15693_12_8g	Y_20181208_15693_14_10g	Y_20181208_15693_14_11g	Y_20181208_15693_15_3g	Y_20181208_15693_17_5g	Y_20181208_15693_17_9g	Y_20181208_15693_18_2g	Y_20181208_15693_18_9g	Y_20181208_15693_4_1g	Y_20181208_15693_5_15g	Y_20181208_15693b_1_13g	Y_20181208_15693b_10_12g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_13g	Y_20181208_15693b_3_1g	Y_20181208_15693b_6_4g	Y_20181208_15693b_7_3g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_6g
0	30029.0273	29575.748	26450.5215	28374.623	30984.1992	29006.5039	30592.4199	27620.0762	33430.6836	30288.0762	25014.1035	27346.084	31920.5293	28398.1973	30592.6523	30936.877	33600.6602	28896.7793	30062.123	27594.9258	31181.5312	29657.7344
0.1334	30764.2109	29937.9141	28648.3184	28079.1426	32020.4688	28950.4375	31348.3945	27161.2227	31109.8281	30350.4102	24700.459	26443.5527	31236.293	29722.3848	30673.9219	29718.5625	33326.0781	29150.3672	28752.0625	27475.957	32446.5625	28805.7148
0.2668	31293.9785	29434.6094	27937.2969	28101.1465	31701.4609	28791.4941	31048.3906	28249.7207	30013.1484	30208.2324	25101.9746	26317.9102	31510.8809	29632.7305	29356.9297	29647.0566	34779.4336	27577.8633	29223.1758	27991.7266	29898.5332	29083.2949
0.4003	32119.9238	28392.4473	26994.1953	29820.1016	31673.668	28375.9766	31271.9844	28494.127	28574.5625	30754.0371	25606.7637	27412.502	32271.834	29920.4434	30041.8906	30182.1211	35078.1719	27782.4277	30767.8184	26843.377	30956.8105	28141.3672
0.5337	32216.5488	29227.3262	27444.8594	29012.2344	32837.0117	27336.4453	31607.8262	28494.1641	28663.5176	32076.627	24376.4922	27811.2812	33538.6484	29903.8066	29796.2305	29904.875	34306.2422	27680.6309	29781.1758	26813.8027	31334.7344	29033.0938
0.6671	33337.5469	29785.7852	27986.6953	29967.1816	32742.5566	28921.875	32176.9395	29439.7441	27340.7988	31485.0117	24671.1934	28289.0664	32590.9512	29634.5312	29079.9961	29480.3594	34557.4297	28928.1992	31187.4551	27520.1582	29532.1973	30280.2715
0.8005	31943.2637	31248.4141	28706.627	28752.9883	32552.6875	29326.3066	34744.5781	28620.4004	28872.1719	32276.7656	24949.4102	26796.9668	32889.3633	30388.5293	30229.3027	29999.2754	35149.9766	29910.5469	31483.1973	26728.7461	31644.9277	30611.498
0.934	33472.7969	29768.8359	29722.2656	29586.7129	31807.6484	28344.6504	34820.0352	28935.4883	28050.1973	32715.8672	25093.0625	28572.7109	33890.2422	30240.2812	31121.3828	30649.0234	34870.9609	29512.4395	31986.5801	27132.332	32296.3457	30254.8398
1.0674	30787.7676	30449.8672	28674.4355	29053.0703	33100.2734	31451.916	32655.3672	28417.5547	29274.1582	32058.1895	24905.2461	28931.5879	31695.8125	29799.6934	30145.0801	32626.2715	34652.625	27933.3105	31049.0312	27403.8477	32529.8516	30382.1426
1.2008	32475.082	32078.0566	28133.918	29583.3672	31869.918	32196.6426	32792.6523	30329.6152	28828.0039	32621.4805	26463.0957	28720.6367	32641.2578	29833.5645	29378.3906	30779.0332	33960.1836	29173.6465	32363.1426	28587.5	33335.1328	30009.1699
1.3342	32404.832	30552.0625	28828.8125	29586.8418	31557.3633	31136.3984	34269.0352	29694.8691	28718.9824	31913.998	25292.5625	29901.7715	33881.8477	30110.6797	28957.6719	32471.1543	33347.8398	28857.8809	30607.4883	28578.9551	34770.3359	29715.7441
1.4676	34376.5352	30991.5137	29987.6914	27606.875	32253.0352	29864.4238	33390.957	29301.543	29193.7812	32377.7949	25962.4062	28049.2871	34367.9453	30529.5293	29345.4531	31965.7695	34206.3047	29809.4082	32989.1289	26881.9766	36629.3086	29259.125
1.6011	34249.0859	31954.7129	30177.5996	29674.707	32299.4043	30194.2891	32924.5977	30418.5039	29001.4805	33485.6797	26272.3164	28330.0293	33763.9023	33174.207	28761.7129	31387.2227	33876.0508	30564.5059	32029.082	27492.5879	38173.6758	31155.2617
1.7345	34255.8203	31137.0059	28481.3418	29043.877	32757.2715	30800.0586	33832.8438	29444.9668	29151.7559	32881.4609	27213.4766	27369.6445	32482.3828	30561.123	27919.8965	32333.6035	34009.6055	30896.3926	31779.5723	26804.3105	37434.1406	31566.2949
1.8679	33655.457	31454.5645	29007.6504	29711.8398	31574.1602	30309.1973	32510.7891	30147.8789	28367.8711	34258.9219	25984.9609	29359.2793	32978.9297	31115.3027	28618.9082	31994.418	33336.0547	30074.7461	31898.6953	27580.5938	34622.6953	30590.6309
2.0013	32773.8516	32304.3516	28511.5977	30548.6133	32394.8516	30037.5469	32807.7812	31120.5566	29903.3887	35059.9648	26676.6797	29513.3242	32326.6367	32336.1309	28406.6406	32560.6875	32925.5664	29834.6621	29794.5938	28735.9395	34639.3281	31397.0645
2.1347	32696.7129	32854.2539	28008.1777	30237.5645	32022.709	30471.375	33857.7031	33645.9453	32324.4316	37129.3828	30715.2227	29188.6504	33403.2656	32816.3047	30725.9414	33895.0781	32577.2656	28674.5781	31612.9531	27849.3398	37814.5273	30859.5898
2.2682	33848.7266	35160.3281	28542.3086	29478.7539	33557.0547	33197.4062	34784.5625	38699.793	31831.1719	42637.6562	33869.3047	29075.6914	35132.1289	32122.7129	32763.5059	34799.5469	32226.1992	28736.709	31524.7832	29369.7344	44229.5742	31039.7168
2.4016	34547.3594	35629.2578	30054.3398	31294.4355	39381.7617	38615	37119.2188	49219.1562	33042.25	59099.9102	40554.8047	28268.3652	33788.2812	35213.543	38130.1523	38944.4102	31110.9004	31325.4668	33786.8984	35283.0664	45508.1953	30835.6582
2.535	33064.5508	38757.8633	29275.2109	34047.7227	51154.4883	47889.9336	44471.7812	75371.7656	33588.5508	96808.9922	49327.7148	28753.0566	34552.0664	45586.1914	42170.6562	47920.6992	31830.5566	34408.5	38089.582	47670.0508	41990.043	32287.4785
2.6684	34134.293	46786.668	30467.6855	38240.4531	62431.6445	60414.918	54982.4609	101317.9922	40557.3203	134079.9688	45369.7891	29427.8867	36255.0898	67435.3438	43224.1797	60207.3711	34350.0391	40331.6484	46884.4648	61753.2891	37059.3008	32387.1641
2.8019	38683.3945	55417.7109	32416.9727	46218.6719	57323.582	53232.5312	73695.4062	85973.6172	56514.5742	123591.2422	37074.7969	29812.4824	42123.2695	88817.1406	36207.8477	63730.5312	35044.875	53791.5547	65751.6875	63861.2227	34004.2148	33548.0898
2.9353	46220.6797	54176.5703	39172.5664	50495.0391	43242.875	38656.4727	75411.3125	54482.582	60398.1445	80320.6406	32070.8535	30134.7988	55766.3984	83922.0469	32229.4531	50951.6641	39938.2695	63071.4727	78118.0781	47935.1602	33858.7148	32852.4453
3.0687	51088.6055	42606.4648	46057.8281	43376.6406	34913.5977	32085.8379	56028.2617	39338.2656	45271.4805	53197.4766	29454.4473	30494.8301	83225.6953	57995.668	32258.2031	38842.2656	41142.4648	53107.1562	57521.4023	35795.1641	32189.6035	36272.3203
3.2021	44383.4453	36125.6445	43684.1094	36066.125	32306.6133	30103.5996	42699.5664	34732.1836	35101.3828	43066.7305	NaN	33713.9023	111152.7812	43676.3281	32065.2031	35301.9297	37301.3359	43181.1172	38445.2969	30400.6562	32836.1016	42164.3555
3.3355	38019.9844	32966.8594	38569.0664	34728.6914	29261.998	30430.7031	37134.3711	35007.7695	32809.1953	37835.2422	NaN	37816.3984	103496.6875	37302.5898	NaN	31603.5215	35563.957	34740.7734	36559.3477	29241.4844	NaN	60732.6367
3.469	35942.6328	35835.9219	38767.2773	30739.5	29866.2246	NaN	35906.9922	34855.9727	31606.8926	35019.6992	NaN	42357.9844	70766.8594	38667.0703	NaN	31152.623	NaN	34348.25	32744.4727	28268.3438	NaN	90491.6094
3.6024	33199.9844	NaN	NaN	NaN	NaN	NaN	35786.7656	NaN	29276.166	34524.1289	NaN	39311.3984	50851.5664	NaN	NaN	30196.7207	NaN	36926.9727	31378.9473	27745.2734	NaN	102577.0391
3.7358	33454.0352	NaN	NaN	NaN	NaN	NaN	35028.4961	NaN	NaN	32576.5156	NaN	34646.1406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27560.8984	NaN	75447.4688
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	33715.2695	NaN	NaN	31190.0195	NaN	31984.0254	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48640.0156
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31241.3672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40116.1289
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35626.2773
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34124.207
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32320.4355
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
