x	Y_20181208_15100_1_3g	Y_20181208_15100_13_6g	Y_20181208_15100_15_4g	Y_20181208_15100_16_3g	Y_20181208_15100_17_1g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_2_3g	Y_20181208_15100_25_1g	Y_20181208_15100_9_1g
0	28670.8242	30129.1777	33490.8125	28454.8555	28736.3945	28319.3262	28945.7949	31593.8203	26869.4219	28800.8516
0.1334	28299.2441	30462.002	34240.8789	30296.5449	28885.7559	28450.7246	30579.4688	32488.8066	26617.1289	28531.3594
0.2668	28832.7832	30982.8418	33791.6094	29650.6484	30106.6172	27849.3008	29598.2402	33743.3164	26326.7656	27835.957
0.4003	28745.1289	30062.1719	31964.3945	29960.4824	28835.1289	28762.9512	30747.5273	32432.1875	27505.1113	27693.6562
0.5337	27363.5215	30855.0508	34425.4023	30231.2773	28365.4004	28216.0762	30416.1152	33046.9297	26716.4199	27643.9473
0.6671	27251.4453	31688.1934	33883.7578	31160.5879	29311.7969	27622.9102	30944.5859	32709.1328	27861.8809	28227.4512
0.8005	28027.5801	30312.5703	34704.6094	30653.6719	28835.4961	28325.2891	30424.1641	33350.8047	27374.5762	29225.7266
0.934	28724.0137	30138.2773	35763.4062	32230.2324	27517.5254	28404.8418	30088.293	32050.5742	28466.3086	28759.3438
1.0674	28970.0762	32234.2422	34630.3516	33731.4844	28295.4766	28407.5156	29399.9785	32597.752	28601.5898	28086.582
1.2008	32054.166	32190.0801	35365.6523	35767.5742	28861.7109	28705.6855	29155.1758	32811.6836	28287.5996	28876.8574
1.3342	34531.4805	33781.0625	38569.1328	36759.25	30703.0137	28387.1562	31545.5332	35017.8125	28729.0664	27408.293
1.4676	39705.6719	40551.8164	46271.1758	41914.0977	37993.4297	29617.6055	31954.4316	42601.5938	33207.5938	29743.8574
1.6011	58772.8828	54442.9297	62168.4062	62967.5664	52769.7461	29218.9004	37085.2812	57687.3164	44351.9805	31550.332
1.7345	84782.9688	83767.9141	91377.1953	98073.2109	79387.3594	30780.9141	49426.0195	77460.0078	66656.4844	33365.2617
1.8679	92890.8359	105615.3203	101541.4688	124515.8203	88260.9141	36390.4805	78129.8125	77701.125	94963.9766	40456.3359
2.0013	68541.0469	86327.0625	75818.9453	96658.3828	67068.375	51335.9805	101982.0781	57926.7031	92073.7578	60297.5547
2.1347	44483.9336	54947.0273	49466.6641	61518.9688	44461.6719	72370.3516	81610.2344	43751.0781	63117.3281	92178.8359
2.2682	37078.9961	41366.4375	42373.0625	43913.0664	36655.2266	72183.7031	55585.7344	38160.5117	44229.5391	93970.4219
2.4016	32005.4746	34280.9961	41502.2266	38096.2578	32293.1445	52767.5156	43134.875	37361.7188	35080.6602	68734.9297
2.535	31143.4258	32826.2148	45823.4102	35183.0273	31661.4707	38480.7773	36396.8516	36537.4844	33403.4883	45170.5742
2.6684	31720.5781	32299.8457	NaN	38199.6523	NaN	34160.3828	34458.3477	NaN	34315.418	36430.6445
2.8019	31452.1289	32003.8555	NaN	NaN	NaN	31255.4648	34018.2188	NaN	NaN	34869.4961
2.9353	NaN	34074.2695	NaN	NaN	NaN	29976.4473	35278.7305	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
