x	Y_20181208_15100_1_3g	Y_20181208_15100_11_1g	Y_20181208_15100_11_4g	Y_20181208_15100_13_11g	Y_20181208_15100_13_18g	Y_20181208_15100_13_1g	Y_20181208_15100_13_8g	Y_20181208_15100_14_5g	Y_20181208_15100_15_10g	Y_20181208_15100_15_3g	Y_20181208_15100_15_8g	Y_20181208_15100_15_9g	Y_20181208_15100_17_5g	Y_20181208_15100_17_8g	Y_20181208_15100_18_10g	Y_20181208_15100_18_3g	Y_20181208_15100_18_7g	Y_20181208_15100_19_10g	Y_20181208_15100_20_3g	Y_20181208_15100_20_4g	Y_20181208_15100_21_12g	Y_20181208_15100_21_13g	Y_20181208_15100_21_2g	Y_20181208_15100_21_7g	Y_20181208_15100_21_9g	Y_20181208_15100_22_20g	Y_20181208_15100_22_9g	Y_20181208_15100_23_1g	Y_20181208_15100_23_6g	Y_20181208_15100_23_9g	Y_20181208_15100_24_3g	Y_20181208_15100_26_10g	Y_20181208_15100_27_10g	Y_20181208_15100_27_3g	Y_20181208_15100_28_2g	Y_20181208_15100_29_3g	Y_20181208_15100_3_3g	Y_20181208_15100_30_1g	Y_20181208_15100_30_5g	Y_20181208_15100_32_6g	Y_20181208_15100_32_7g
0	10651.7422	11148.3564	13058.3691	12296.0664	12276.4736	10338.2422	12411.2002	12185.7129	12300.5078	11463.2168	11910.2227	12272.7588	12790.6631	12079.9648	12368.5762	12240.2959	10487.125	11070.5605	13805.9932	13594.1475	12313.5947	15551.665	11032.6416	11115.0391	12672.5098	11204.3965	13930.2148	12431.8281	11153.0039	12416.6104	11679.0547	11403.667	13409.9102	14053.5117	13287.333	11615.9805	12289.1113	12904.0742	13480.2383	12147.2236	10365.6416
0.1334	10901.0166	11075.9395	13183.9492	12779.0508	12018.2256	10364.0303	12872.9277	13290.5234	12399.5303	12268.0156	12647.8574	12198.9893	13559.4561	13266.0586	12815.1357	12500.9316	10975.6816	11481.6846	13664.5166	14901.1631	13442.3262	16455.418	11217.8262	11544.2051	12849.0078	11236.7217	15500.5596	12992.0723	12666.1914	14682.5684	12640.4854	11822.3623	16824.1699	13974.4189	14755.2959	12196.6494	14189.3584	13615.0371	18071.4609	12345.6807	10718.6348
0.2668	12927.7646	12612.667	13856.2354	13229.7051	11566.1973	11747.1182	16078.8711	14814.9004	13528.6445	13388.7559	13237.4717	13049.7051	14898.8096	15396.915	12792.4443	13420.6289	11659.3516	11898.0684	14224.5117	16199.9951	16108.3535	16051.5117	11158.1182	14641.415	14857.4238	11837.376	19553.0078	15842.1299	15285.6592	16592.7793	12708.2031	12944.1348	20140.3438	15152.9268	18206.1426	12815.793	17315.875	15646.2607	21192.3906	12714.9951	11574.1357
0.4003	15331.5176	14783.6016	14856.3311	14202.7109	11726.0986	12803.1094	20371.7266	17562.834	16649.7305	14917.7461	15785.3408	15077.3965	19416.9453	17960.2188	13465.0908	15319.1416	14875.5859	13635.2041	16004.9648	16724.7168	16073.5391	14127.2725	12910.4805	17919.4023	17631.3223	13561.082	22904.5801	17244.7715	20345.2305	17447.3672	12894.835	14386.168	20792.3965	17664.5664	22542.0469	12940.7529	20119.8887	17024.1328	19752.8516	14700.5732	13041.6396
0.5337	16610.1914	17740.3203	16316.1934	15812.3545	13333.6338	17257.7891	22288.0039	17197.0801	20000.6836	16501.0137	18648.5703	17207.8105	23327.2266	18560.9395	15239.6172	17561.9805	16557.0547	15572.4609	18561.3652	13884.6826	14132.0107	13020.3389	14211.8574	19670.8047	18044.4902	16046.2275	21944.9453	16987.1074	19028.6387	14521.7803	14989.3428	15701.6152	18051.0117	20666.9727	21672.3418	13211.4297	19037.2383	16993.8145	17893.2871	18141.1211	16598.082
0.6671	16479.375	17808.7012	16890.8125	17788.8047	16266.543	20053.1621	19761.877	13900.3457	19499.6562	16650.4434	17966.5137	17246.5312	20666.2773	16642.3066	16440.4902	18438.7109	17245.2383	17736.8496	18897.2266	12675.6123	13587.9053	13405.2871	14689.458	18831.0488	15166.9297	15258.0928	18398.1016	16103.8057	15042.375	12504.2861	15235.5078	14413.8486	16143.877	22208.748	16549.7207	15363.2188	16111.832	15202.4912	16466.9609	18877.3633	21238.6387
0.8005	16352.7949	15072.082	16626.6992	19230.2285	18532.7207	20254.8887	16658.873	12301.1533	18917.793	14866.2969	16525.375	15993.8047	15820.0811	16759.623	18864.5156	16001.7764	17719.166	14601.0225	17120.1582	11794.6387	13224.1504	13518.5508	14444.2969	16901.3848	13081.249	14072.6328	17638.1602	14444.7012	14720.5049	12373.5449	14332.3877	14189.8584	14631.4551	19545.5508	14054.1621	18830.0293	15084.0986	13589.2383	16661.6387	17036.0625	17158.5879
0.934	15706.9131	15517.3867	14442.1357	20207.1055	18485.125	18335.4023	14876.4619	12844.9717	16536.7246	13200.876	15302.5488	15051.5996	14173.9385	17655.2031	19517.5703	13678.5586	17259.5391	14166.6768	15537.4863	11427.3682	12353.2725	16252.8232	14226.0684	16993.1094	11765.2412	13387.1514	17032.877	14922.5557	13575.7275	12672.0332	13717.7363	13590.0732	14252.9072	16126.5342	13353.7959	23946.043	15916.6523	13669.1943	14939.1172	15785.2578	15703.3105
1.0674	14817.46	14575.1729	12742.5781	18818.2148	16831.6855	17647.0176	14282.9316	12512.3252	14585.4141	13307.417	12770.1562	14761.4639	13721.3652	17356.3652	17184.8672	12798.2148	15962.3936	13873.3721	14181.2314	11346.3477	11789.4141	17717.5742	13604.3535	16481.5215	12054.1357	13134.001	15622.1016	14279.4521	14628.5762	13190.3369	12462.6904	13662.4268	13838.8066	13864.4111	12522.7363	22383.8066	16571.0195	13340.4004	13930.6328	14384.8691	15483.8447
1.2008	13483.0088	14446.2412	12138.0566	18832.9082	13687.0908	16004.1836	14963.5811	13218.29	14201.6318	13690.7637	12102.3438	14578.4619	13961.0215	16183.21	14993.999	12886.8682	13037.3027	15197.5605	14388.8994	11683.543	12592.4463	17487.1367	14223.376	14460.2822	12528.2842	13393.6133	14961.5098	13816.4746	15303.0625	14181.54	12591.1953	13091.1162	14683.3027	13828.3574	12585.085	21395.8633	16583.8809	13567.9883	13736.7168	13751.457	16022.1211
