x	Y_20181208_15794_1_10g	Y_20181208_15794_1_2g	Y_20181208_15794_10_10g	Y_20181208_15794_12_14g	Y_20181208_15794_12_5g	Y_20181208_15794_12_7g	Y_20181208_15794_13_11g	Y_20181208_15794_13_6g	Y_20181208_15794_14_1g	Y_20181208_15794_16_2g	Y_20181208_15794_16_5g	Y_20181208_15794_16_7g	Y_20181208_15794_17_1g	Y_20181208_15794_19_10g	Y_20181208_15794_19_12g	Y_20181208_15794_19_1g	Y_20181208_15794_19_9g	Y_20181208_15794_2_9g	Y_20181208_15794_21_6g	Y_20181208_15794_22_1g	Y_20181208_15794_23_4g	Y_20181208_15794_23_8g	Y_20181208_15794_24_14g	Y_20181208_15794_25_2g	Y_20181208_15794_26_12g	Y_20181208_15794_26_1g	Y_20181208_15794_26_3g	Y_20181208_15794_27_8g	Y_20181208_15794_28_1g	Y_20181208_15794_28_2g	Y_20181208_15794_3_10g	Y_20181208_15794_3_12g	Y_20181208_15794_3_14g	Y_20181208_15794_3_9g	Y_20181208_15794_4_6g	Y_20181208_15794_4_9g	Y_20181208_15794_5_8g	Y_20181208_15794_6_11g	Y_20181208_15794_6_15g	Y_20181208_15794_6_19g	Y_20181208_15794_6_5g	Y_20181208_15794_7_8g	Y_20181208_15794_7_9g	Y_20181208_15794_8_12g	Y_20181208_15794_8_1g	Y_20181208_15794_8_7g	Y_20181208_15794_8_9g	Y_20181208_15794_9_7g
1.4676	31827.0117	30337.166	29420.8047	47708.3398	43708.5078	27872.9609	30297.9629	33841.168	30885.791	27050.6465	30982.8867	30994.582	30598.7168	33204.7734	61285.7031	34219.3711	33468.8516	34641.6406	33710.5977	28950.3789	32384.2715	28328.1641	32617.0781	46918.7461	28762.1387	44656.9922	28620.7754	28482.1133	28810.5664	41580.0312	35152.5898	30740.1895	31025.1367	31990.8047	33557.3398	36419.8008	34053.293	27902.4512	40069.3477	37866.1992	42738.7617	31964.2871	32547.8281	35654.6055	38641.5195	37240.2461	34065.4062	33763.0312
1.6011	32886.4922	30701.5762	30931.9297	42780.543	60516.5312	29940.4434	31178.6738	38224.6055	31290.084	27845.291	32325.8125	31638.5898	30391.75	38605.2109	89922.7656	34134.3242	34568.5508	42779.375	35044.5547	28181.8047	33581.0039	33020.2344	34280.5586	72347.1875	28165.9902	55291.7148	32375.5254	27554.6035	29824.5449	56605.2734	35134.8438	32376.5059	34547.2969	33838.168	38427.1367	44337.8164	35656.3555	27611.8223	46543.2734	40764.9414	50920.4727	31508.3242	35233.4492	40795.4023	42232.6914	45228.8906	31706.502	35326.0469
1.7345	36009.1641	33052.9609	34934.5273	37018.5859	68673.0156	33647.6641	31886.6602	47787.8008	32672.2871	28851.6602	35457.1641	37625.8047	31928.7656	43939.1992	92367.7031	34817.3789	34435.2305	45138.2383	42204.0508	31121.416	38212.3828	38943.7344	34870.75	82930.1328	27178.0273	53703.1797	35295.4766	28729.2812	34596.9375	90392.0234	36279.6094	35431.0078	44358.2344	34650.957	44678.957	63979.1914	39689.4062	28557.3477	60406.8008	52193.3672	75324.5938	33561.6719	37119.1641	51147.3438	52084.6445	52811.3242	33650.0312	33614.793
1.8679	42614.2578	36578.8008	41278.7617	34698.5234	52620.8008	39912.4453	31869.0977	59628	38997.8867	32098.0957	41108.7461	41426.1055	33236.5703	41484.6797	66603.6641	38488.9492	35074.1602	40941.1289	51393.9141	34840	44774.2969	42912.3086	38809.5195	67395.9375	29855.7891	39562.8281	48665.2578	29736.3672	44190.0625	106256.9531	41370.9805	39916.4844	55663.957	37877.6406	54408.8203	86658.5781	53294.8555	28997.8047	72042.9219	69373.8984	101329.9922	38789.0039	43842.0312	72305.1562	64063.7227	50667.6797	34834.082	34890.7539
2.0013	49279.4531	41185.8516	46934.6836	32509.7969	39060.9844	45476.3516	32204.3672	55580.9766	50792.8945	38278.3906	50758.1602	42982.207	33495.2422	36711.4492	54958.9453	43942.9453	38950.7188	34772.9219	49823.5703	44908.3984	58895.1641	38768.7734	47374.9531	45498.0703	31134.5039	33425.7031	70149.4766	36881.6055	59014.7578	87766.0391	52681.0547	52764.1797	55157.0039	45656.707	55579.8633	89461.875	72471.4297	29742.3066	61150.1133	72485.4141	90197.5312	54684.9219	48114.6016	81553.6328	58522.9336	39371.0391	37565.1836	36346.6172
2.1347	44530.7891	47038.0664	42512.0039	32571.2832	34191.5898	43915.125	34642.6641	43891.6328	72437.8125	44336.0625	59928.1133	37921.6094	38399.5078	31277.0293	NaN	45953.0977	46068.9648	32839.9062	40814.168	53407.9766	68053.0312	32231.4531	63377.3359	38027.9648	34771.7461	34005.8008	91379.7734	43996.8008	67379.1875	58327.6172	64484.8555	64924.1055	42202.3086	61279.1133	43710.8594	64455.3594	70800.6016	31409.0645	43425.2188	53508.8359	61170.4766	76067.2578	43256.5273	66318.2344	44059.8438	35259.6836	43685.582	40471.2773
2.2682	36205.6797	43038.6406	35102.3398	31721.4844	32658.4766	34130.9531	40110.5508	37592.5078	70109.1797	41382.0117	51694	31843.4902	48914.5742	29404.1055	NaN	40688.8398	56843.7148	32498.6367	35073.7695	55688.4062	56790.8008	27265.9863	83285.1562	NaN	41793.3555	35518.3594	75227.1875	44486.8984	52385.4922	42636.3242	62844.3594	59315.418	37549.2812	72771.2031	38198.9922	47250.0469	54586.6562	34853.4961	35511.875	42754.6992	43461.3828	77226.8203	37797.6016	48845.5625	35290.2969	36408.9336	50543.7773	46450.9531
2.4016	34480.2031	38844.2695	31893.6406	NaN	NaN	30630.0879	52282.5586	33553.7031	50220.1758	34725.1641	39562.2578	31091.3457	57138.5117	30234.5098	NaN	35985.7461	58885.6953	NaN	31893.3223	43880.7812	43658.6836	26686.7363	71904.2734	NaN	44865.4375	NaN	48645.2969	36944.5664	37658.2617	35220.5117	48252.1797	43198.0938	35716.4883	62173.9102	33147.9805	40829.5625	39234.3711	46459.8203	33941.1602	36593.0156	37736.9336	58083.5391	33612.1094	40381.9453	33235.9219	35757.3281	48285.4766	44262.2812
2.535	32761.2129	33040.4727	29105.2949	NaN	NaN	27990.3789	53770.7344	33582.7227	38655.7812	34158.3438	34218.3906	30901.0527	50610.0156	28940.3887	NaN	37940.7383	48207.7461	NaN	31291.9062	35864.8828	35746.8633	26557.0879	49505.875	NaN	36276.6055	NaN	38889.6914	31081.4766	31244.0137	33800.2773	40350.9922	34642.1875	NaN	46272.6172	32098.8457	36757.8906	35475.2344	66860.1016	35403.1602	34891.4531	36019.7266	43935.5625	32191.7422	36646.5938	NaN	NaN	39815.5391	38867.5742
2.6684	NaN	31918.5293	28987.707	NaN	NaN	28339.8496	42572.8438	35261.8555	33608.1172	NaN	32638.0508	30345.8496	42303.6758	NaN	NaN	46188.625	39148.5312	NaN	30466.9922	32327.1914	34338.125	NaN	39718.3164	NaN	31193.8789	NaN	32440.5898	30155.8008	29480.4531	35117.3086	36392.4883	31541.8574	NaN	37512.8125	NaN	38284.6172	35304.0234	70072.2188	36265.8984	NaN	NaN	36595.3789	32334.6641	34675.4844	NaN	NaN	33892.9336	33315.4336
