x	Y_20181208_15692_36_10g	Y_20181208_15692_38_19g	Y_20181208_15692_38_8g	Y_20181208_15692_44_5g	Y_20181208_15692_44_9g	Y_20181208_15692_8_2g
0	28641.2227	28320.7168	25697.2812	26376.875	26924.8984	29090.1113
0.1334	27207.7539	28288.9746	25420.0957	25942.502	28283.6719	28358.6621
0.2668	28136.3105	28693.0957	27218.9629	26987.0605	28141.0527	30255.9609
0.4003	27026.6758	28688.4375	26574.3848	27299.2148	28226.6445	29805.1113
0.5337	27260.375	28652.6348	27978.7754	27678.4043	27737.1211	29722.3672
0.6671	28167.8594	29699.7129	28482.0664	27900.5723	28462.2285	30424.4297
0.8005	26681.1504	30188.6504	27156.1406	27872.1387	29023.3496	31545.4375
0.934	28929.8301	30151.7656	28536.7852	27616.6855	28479.1094	29718.2949
1.0674	29736.6875	29781.7148	28882.1816	27416.7207	30150.2949	29955.1387
1.2008	29666.2793	28035.5059	29607.3691	26786.0391	28971.6211	30514.2422
1.3342	28902.668	28669.4355	28839.6152	26736.1387	29910.2754	29912.5273
1.4676	30116.1133	30743.457	28794.1582	27595.1875	30405.2266	29891.625
1.6011	30305.0391	31368.8066	28908.5273	26801.0176	30256.3262	30398.3398
1.7345	30400.2168	30539.2285	30148.1191	25988.3496	29134.6875	30119.2461
1.8679	29422.4766	30048.0645	29589.2148	26352.3613	30362.0664	28693.1309
2.0013	29358.0176	29654.6465	30157.6445	26754.2344	30474.2832	28454.9531
2.1347	28989.0703	29843.0391	30313.4102	28731.4102	30158.3672	29192.4102
2.2682	28836.3984	30950.7598	29137.6309	28667.916	30044.5938	29771.9219
2.4016	30306.2559	30262.1973	28938.1582	28602.3145	31514.5625	30567.8672
2.535	30407.0918	31062.3145	29491.9961	28224.0879	31447.9336	30112.2578
2.6684	29262.6855	30966.1074	30557.4766	28027.4082	33914.543	29149.3691
2.8019	31832.1895	32480.1973	29524.9863	26590.7051	35657.5391	30509.7656
2.9353	35140.9492	36479.0234	29532.7168	27500.75	41157.9922	34448.2969
3.0687	41334.8945	46285.793	29748.4414	29557.752	53289.375	39206.7695
3.2021	50381.6055	61697.7773	29918.4512	30200.918	68388.3047	44471.7266
3.3355	51880.1016	76067.1328	31834.3125	31665.8262	74602.1094	44935.1016
3.469	44531.0195	59762.1172	31718.7148	37268.9609	59627.2578	38480.3516
3.6024	37040.3203	43937.1641	42414.8633	44364.7109	50681.8984	33798.6875
3.7358	33177.9648	39915.8906	62889.1562	47270.9883	51137.5625	30234.8691
3.8692	NaN	NaN	78605.3672	37253.6445	NaN	29013.5352
4.0027	NaN	NaN	65602.4375	28833.0977	NaN	28660.0449
4.1361	NaN	NaN	49174.4375	27336.6484	NaN	NaN
4.2695	NaN	NaN	39746.1328	27018.3867	NaN	NaN
4.4029	NaN	NaN	33701.2812	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN
