x	Y_20181208_15693_1_11g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_10_4g	Y_20181208_15693_13_11g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_19_8g	Y_20181208_15693_5_6g	Y_20181208_15693_6_8g	Y_20181208_15693_7_7g	Y_20181208_15693_9_8g	Y_20181208_15693b_1_1g	Y_20181208_15693b_11_12g	Y_20181208_15693b_2_10g	Y_20181208_15693b_3_15g	Y_20181208_15693b_4_17g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_24g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_9g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_7g
0	12738.5059	12140.0771	10944.4102	11636.2646	14049.8711	11854.0898	11466.7852	13225.4336	10348.8066	14013.4863	12314.584	12576.7148	13579.7891	11591.2656	11979.5127	12719.2529	13109.0723	14953.7764	11851.7344	13235.3555	12028.1934	11761.3477	11571.3213
0.1334	12905.752	10989.8262	11369.8047	12192.748	14293.6875	12805.0215	12840.6553	15358.1641	10858.7949	13324.1299	13143.7227	13784.375	15143.3867	11975.4629	12244.8955	13905.126	15297.7236	16974.4609	13553.5723	15391.334	13173.1924	11692.0889	12693.7969
0.2668	12460.1895	11899.4014	12835.1904	13916.7832	15896.2451	16154.9229	15096.7861	19110.3828	11069.9316	14858.8643	14608.6895	14091.7432	15645.8652	12794.792	11989.2705	15721.0596	18140.0469	18620.9238	16295.8105	17328.1465	14882.2236	11737.0498	13399.2891
0.4003	12731.9043	12234.3447	13617.4707	15643.8203	19298.8242	20615.2246	18166.9844	20334.1172	12550.6221	16835.0488	13846.8291	14790.7041	14540.5654	14349.1318	12830.835	16438.5293	17966.0879	17484.0195	19966.4863	15080.3516	16820.8926	12656.4951	14844.4502
0.5337	13028.083	13038.416	14353.0996	17132.4258	25818.1035	21184.3691	18241.1348	18215.2715	14628.6943	16864.9336	12416.8027	16518.7695	18532.2578	18848.1621	14916.5977	14916.5381	15712.5234	16323.6943	19621.2324	13331.2959	16703.9648	14018.3877	15444.9053
0.6671	14884.6074	14216.7891	13175.4268	16914.1504	28453.9609	18055.8086	16190.5977	16190.6807	16777.3848	16402.8145	11953.0645	17206.3008	21914.8477	23525.8555	15770.498	14070.7559	15831.0283	14914.0068	17621.2285	12473.8232	14117.7031	15887.709	15278.2217
0.8005	15737.9531	14616.0176	11917.0723	15213.9121	24968.0859	15835.042	15649.3457	15001.5635	17527.6758	16446.625	10858.3271	16215.4844	20889.2422	24940.6211	13752.8799	12381.0029	14964.7324	14242.1533	15936.5049	12231.125	14384.0693	15660.6592	14544.9238
0.934	15850.5361	13401.957	12184.9902	14186.8154	22504.6875	14893.2383	15531.543	14499.7012	17612.4277	15744.6455	10880.4375	15051.7012	16472.3164	20839.9707	13604.4062	12259.2832	14467.5215	12841.7188	14764.1191	12501.249	14866.9678	14806.6064	13370.2646
1.0674	15328.9131	14016.1904	12817.1367	14497.1152	20390.3223	14920.1787	15238.2344	14400.418	16703.002	14977.4795	11342.6318	14169.459	15297.8359	17890.2793	12369.3818	12870.5117	13109.7539	11955.8242	14716.5049	12568.4277	15891.0625	14562.5908	12785.9639
1.2008	15098.3936	13664.4551	13085.4219	14243.1562	19420.0781	14392.6455	16023.8027	14032.3945	15894.3545	14894.9951	11244.8184	13235.9053	15151.0771	16066.0234	11892.9053	13458.6836	12272.5918	11676.041	15779.5215	13531.6885	16685.1348	13946.0615	13746.6016
1.3342	14967.1328	12834.7578	12547.1152	13890.1934	17656.957	14695.458	15064.5234	14548.9893	14991.9512	12904.7285	11256.0518	12714.3643	14462.1553	14831.6514	11244.9199	14400.2969	12616.6709	11956.1699	16014.5898	14270.5811	18428.5664	15095.3857	13279.4434
1.4676	14647.9414	12508.2549	13768.7881	13828.6387	16533.8516	16590.4785	13676.3857	13664.1016	14742.8027	14025.791	11400.709	11784.0547	14472.5107	15122.6719	11348.9316	15091.4395	12536.8896	12907.6855	15805.2344	15013.8994	17241.6504	14254.0332	12306.9834
1.6011	14490.6875	11875.248	13739.0635	14557.0674	15079.457	16103.8311	13053.6523	13509.1377	15431.7236	12378.1318	11554.3486	12576.0605	15359.9092	14635.3369	11851.0449	14954.4541	12054.3506	13003.1016	17417.5508	14837.3154	16985.8516	14179.1689	11817.5225
1.7345	14502.8604	11757.2471	14757.5547	13510.3301	15525.9854	17253.0938	13898.8066	12796.7568	15439.4033	13800.3105	11475.1357	13566.2275	14517.4814	13776.125	12608.5537	14257.3154	11639.9092	13431.0918	18915.7383	15477.9629	17362.1172	14100.4678	12124.7949
1.8679	14922.1865	13654.958	15432.8545	13400.6709	16761.3555	15932.5596	13068.8223	13468.0566	15115.4258	13099.9268	11258.9854	14358.4365	13757.8965	12890.5449	13193.9541	12990.3037	11405.0586	13842.5029	17535.1289	14895.2754	17952.7422	13751.8613	11238.9795
2.0013	14045.0986	14572.8799	15008.6631	13069.6943	15747.957	15660.0186	12084.5186	13211.6045	15004.2109	13093.8213	11012.6025	14621.1006	13686.3818	13223.3389	13512.1172	13658.5723	12529.4863	13886.2451	17008.0664	15518.3975	15866.6094	13436.0654	11553.7549
2.1347	13933.4004	17108.6035	14519.2197	13428.3936	14644.7549	15784.6387	11668.1787	12741.3916	15046.6006	12568.9062	11272.4053	14467.167	13458.5361	12039.9229	13868.2178	14066.5928	12731.3262	13638.3457	16535.2266	14218.7656	13912.0566	13257.9707	11890.6465
2.2682	15060.6455	17430.1953	13817.6709	12323.8164	14165.0645	15055.624	11613.8672	12312.583	15160.207	12493.9727	12050.584	13729.1553	13047.4297	11887.627	12758.2832	14138.0361	12596.6543	12650.5293	15258.3193	13785.0615	12829.4072	12547.6016	11672.1602
2.4016	14769.6191	14091.1855	12776.667	11403.4473	14806.4092	14591.1611	11900.9287	12204.249	13942.9404	12213.9932	12295.6543	13392.2588	12896.3027	13182.2412	12599.5098	13450.6699	12047.0908	13290.9902	13566.9111	14147.8633	12897.8535	11701.6924	12007.2256
2.535	13154.9863	13047.4189	12923.8467	10801.4189	14302.4092	13203.3389	11933.5752	12771.1797	14257.3486	12386.2441	11505.3008	13697.1426	13006.7715	12918.9082	11367.8213	14086.46	12309.6436	12761.4424	13068.4053	13561.124	12365.9385	11355.5527	11619.0117
2.6684	13595.4463	12480.959	12367.3613	11322.0352	13404.4395	12462.6582	11793.3906	13664.8291	13565.0088	12809.3164	11502.7188	12998.8652	12123.1191	13141.5957	11430.0547	13096.0566	11912.6904	12840.5518	13115.6689	12587.873	12751.9639	11442.1016	11302.7812
2.8019	12817.4131	11672.0449	12849.752	11008.1113	13433.3721	12782.2744	12062.167	14355.4521	13008.9258	11539.5	11309.8447	12954.6963	12974.1992	12871.4717	11839.249	12292.9277	12437.834	12963.0439	12767.8936	12757.2256	11992.8662	11582.1475	11796.7344
2.9353	12768.6426	11711.8408	12734.7021	11046.6777	11790.1719	13568.0605	12329.6484	NaN	12628.1025	NaN	NaN	12513.4541	NaN	12415.625	12022.3477	12495.4473	12358.1455	12459.165	11957.5059	12333.2236	NaN	12351.0488	11301.8408
3.0687	12280.9854	12119.79	13501.709	NaN	11177.2031	12442.6494	11663.6455	NaN	11849.3818	NaN	NaN	12055.3115	NaN	12576.2207	11369.0928	12498.5674	NaN	12575.2949	12798.6445	12763.7559	NaN	12502.0439	10952.6865
3.2021	12294.4443	12286.0938	12379.0049	NaN	11524.5752	11984.04	11486.4014	NaN	11343.5625	NaN	NaN	12293.8154	NaN	12775.2197	NaN	NaN	NaN	NaN	12619.5723	NaN	NaN	11825.1035	11573.4121
3.3355	12508.0586	12079.1465	12549.5098	NaN	12025.6543	12219.3838	11677.3672	NaN	11387.793	NaN	NaN	NaN	NaN	12646.7607	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11884.5684	NaN
3.469	12106.9785	12572.4727	12503.0684	NaN	12217.7812	NaN	11811.2744	NaN	NaN	NaN	NaN	NaN	NaN	12571.248	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	12162.5713	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12795.4922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	12078.6768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
