x	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_5g	Y_20181208_15692b_15_2g	Y_20181208_15692b_2_2g	Y_20181208_15692b_7_2g
0	30548.3477	27572.8965	25638.002	34964.0898	30603.7617	28578.1797	31487.6504	28110.832
0.1334	30001.4688	29247.1953	28174.1992	34430.0273	28833.2832	27240.6953	31564.5586	28673.4609
0.2668	31101.1797	28937.75	29108.6289	33072.8789	29889.543	28602.1172	32368.8105	29608.0586
0.4003	30433.207	28669.9746	27998.6797	32481.4023	30075.3027	27833.5117	33062.7188	30069.9336
0.5337	31467.043	28251.0547	29146.1016	33524.8203	31809.8652	28138.1875	32536.8672	30022.4102
0.6671	31418.7832	29012.1836	28942.748	33997.4531	31171.3047	29727.0859	31199.666	29034.2012
0.8005	31569.6055	29200.7852	27936.6543	33668.5352	31474.9316	30627.1895	32011.5547	31056.5957
0.934	31118.7715	29624.1562	28439.6504	32385.4023	31071.5684	29563.5176	33930.5977	31113.5234
1.0674	31299.8574	31745.6094	28669.5137	33425.1562	31254.6895	27722.9609	33898.5664	30508.5059
1.2008	31380.791	31045.8398	28816.0117	33402.6016	31341.8984	28936.6797	33572.6289	32744.5996
1.3342	31906.582	29950.9238	28336.9258	31926.4902	32065.2773	28932.5527	32607.6426	32401.7578
1.4676	31453.2402	31198.168	28666.2578	31448.8633	31917.9805	28260.5137	32540.8633	31473.5625
1.6011	31993.8535	30721.6934	28203.3672	31143.7949	31973.1621	29904.9023	33191.8086	32393.25
1.7345	32432.3828	29049.498	27887.4023	30453.7266	32435.8398	30830.5879	32019.3281	32027.457
1.8679	32196.4531	30074.9551	30469.2598	31503.1211	31521.1328	32227.9141	33253.2852	32979.8203
2.0013	34054.0391	32065.3262	31075.4707	32516.6738	30541.75	35083.0859	33295.5703	35972.7344
2.1347	35399.6094	35233.6836	30930.0918	35412.2617	31335.2031	41946.332	33948.0664	43781.375
2.2682	39159.5078	44825.2734	34018.6211	36567.3516	33907.3359	59047.3398	35130.3789	61203.4219
2.4016	50753.7461	69182.4297	42509.5391	41614.8555	35686.7734	87054.5469	34523.7422	86832.6641
2.535	74994.3203	95560.7969	57506.5586	52821.5547	39989.0625	89210.1953	37088.6719	87971.2656
2.6684	108289.5859	104728.3828	70615.2812	74484.9531	47383.3828	60514.0742	43172.6562	64239.293
2.8019	100043.0156	88026.3125	65906.0625	88438.2188	53460.8438	40738.4883	60475.4219	48061.3516
2.9353	71169.0312	58791.4688	46904.2188	71485.7578	47131.3633	34255.0547	72342.9453	NaN
3.0687	47177.5391	44678.3047	35515.4922	50667.375	39383.625	31740.2363	63405.3359	NaN
3.2021	36340.4609	38392.4219	33799.7266	39820.5117	34037.9727	31331.8516	47428.6289	NaN
3.3355	35047.6953	33226.8086	NaN	36953.5781	31925.9297	31048.1641	39375.2188	NaN
3.469	33325.8672	NaN	NaN	34544.2148	30864.3457	30189.4707	36768.1641	NaN
3.6024	32343.3789	NaN	NaN	32476.002	NaN	NaN	35233.4219	NaN
3.7358	32439.1191	NaN	NaN	NaN	NaN	NaN	34525.5781	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
