x	Y_20181208_15694_1_17g	Y_20181208_15694_1_4g	Y_20181208_15694_10_11g	Y_20181208_15694_10_2g	Y_20181208_15694_11_4g	Y_20181208_15694_11_5g	Y_20181208_15694_11_9g	Y_20181208_15694_12_14g	Y_20181208_15694_12_8g	Y_20181208_15694_13_14g	Y_20181208_15694_13_15g	Y_20181208_15694_16_1g	Y_20181208_15694_16_2g	Y_20181208_15694_16_9g	Y_20181208_15694_19_11g	Y_20181208_15694_19_9g	Y_20181208_15694_2_1g	Y_20181208_15694_2_3g	Y_20181208_15694_21_4g	Y_20181208_15694_22_7g	Y_20181208_15694_23_18g	Y_20181208_15694_23_21g	Y_20181208_15694_24_14g	Y_20181208_15694_24_3g	Y_20181208_15694_26_15g	Y_20181208_15694_26_17g	Y_20181208_15694_26_6g	Y_20181208_15694_27_6g	Y_20181208_15694_28_8g	Y_20181208_15694_28_9g	Y_20181208_15694_29_8g	Y_20181208_15694_29_9g	Y_20181208_15694_3_18g	Y_20181208_15694_3_4g	Y_20181208_15694_30_8g	Y_20181208_15694_5_6g	Y_20181208_15694_5_9g	Y_20181208_15694_7_14g	Y_20181208_15694_9_13g	Y_20181208_15694_9_4g	Y_20181208_15694b_1_4g	Y_20181208_15694b_2_3g	Y_20181208_15694b_2_4g	Y_20181208_15694b_6_10g	Y_20181208_15694b_6_1g
0	14981.8252	13420.9248	12198.5088	9923.2793	11656.5107	10565.9834	10978.2646	12938.8408	10930.0166	10850.0273	12262.1279	10809.9033	11573.2266	12903.8311	10225.998	11463.3047	10882.1074	10644.1836	11745.7373	11308.4844	13944.0869	14013.8779	10687.3672	11537.5645	11534.8838	12460.6084	13333.8633	11979.7285	12113.6172	11382.624	11783.5938	12974.4932	13123.0908	10927.7188	11437.0908	10069.2207	12366	12717.3174	14457.9102	10791.6934	14025.334	11815.127	12103.3975	10293.2861	12137.9971
0.1334	18345.7773	14926.5381	13423.0811	10904.8906	12513.3555	11459.8125	12011.9453	13074.3623	10836.8535	11381.8936	12465.5117	10999.5068	11835.1885	13519.958	10864.6338	11687.5254	12481.0146	12237.041	12839.6123	12727.8818	16031.6699	13516.9199	11829.1201	12021.002	12213.2637	13373.6953	13859.1475	12001.209	12524.0068	12657.1855	12650.2197	15393.123	15753.7266	12063.0723	12292.1729	10795.9648	12528.335	13816.417	18374.8359	11526.7881	14811.126	11598.5068	12869.3271	10598.9844	14089.0205
0.2668	19837.0352	16459.6191	15213.1865	12150.5654	13145.4062	13368.4766	14615.21	13593.459	10810.7295	12109.6162	12144.9795	11837.7168	12212.5947	15049.2334	11046.8223	11692.2246	14723.1533	12499.5684	14157.5459	14539.4121	16820.627	13660.6797	14762.5264	13464.6963	13634.8281	15321.8008	16719.2637	12923.8252	12478.3955	13411.1689	13900.5176	18353.7422	17441.5527	14085.7188	14509.3838	11413.7637	14831.6846	15866.3037	19559.002	11580.6445	15548.3242	11134.877	13246.6592	12151.2568	16432.7637
0.4003	17884.8223	16179.668	16406.5742	14822.5977	13907.6084	14571.1582	16135.8486	14805.9824	11520.7129	15329.7158	12344.6504	14159.6748	13053.0312	16849.8496	11678.1787	13463.3184	16419.7754	13477.7842	14935.333	14108.6016	15454.5293	14062.0127	16209.3496	14573.7891	19276.4238	16503.8496	18038.0234	14246.2178	12987.6348	15347.6338	15556.3975	17739.6328	15795.7686	17032.6016	14809.1836	11348.5156	16782.8809	18331.3379	16882.6035	13336.1104	14521.7656	11701.1729	14530.1797	13842.999	17517.8301
0.5337	15617.2969	13937.0088	15148.9014	17213.5879	15985.9863	15428.3936	14954.7598	14787.7656	10609.7852	17243.627	13820.6426	16823.4766	15732.4238	17574.8984	13008.624	13777.542	16591.373	15068.8105	14191.3232	12891.8984	13697.3457	14631.5732	15218.6885	14913.0264	20949.332	15020.0986	16612.5957	15557.8037	13596.6162	18418.4863	17061.7109	16322.8184	14981.4844	17450.4199	13052.1426	12736.3086	16428.291	18984	14246.624	16188.708	13443.4609	11865.9199	16559.0781	15842.0146	15344.8623
0.6671	14143.0439	12673.6826	12943.6895	16140.166	18050.9727	14729.0938	14224.5586	14712.1396	11398.332	18598.3926	14325.1641	17429.4883	18211.6719	16791.2539	14242.8213	13344.1523	16300.1787	15741.4648	12848.4043	11482.2402	15218.0713	15018.8359	13497.7842	14594.3652	19810.5332	14497.625	15911.3418	18215.7871	13105.8584	17568.9746	16013.7764	15056.3174	13088.2998	15397.4717	13561.0645	15330.1719	14844.4746	17502.3945	12860.3242	18617.3535	13021.8057	11820.877	18120.3223	18463.5938	13604.9941
0.8005	13733.8057	11749.1172	12237.1787	14149.1934	18701.4414	13856.8945	14418.9326	15859.1162	12617.2646	15703.8066	13753.5254	17227.3301	17003.0723	16606.9668	15783.4082	12693.7354	16248.2627	15967.3672	11902.4033	11129.876	14509.8818	14812.3066	12782.8242	13219.5586	16844.0195	13718.123	15295.4355	18470.5703	13490.4961	14097.8945	13012.5615	13560.7061	13091.0576	13650.248	13107.9043	17590.0371	14817.6865	16669.6152	11530.6016	19357.5586	12410.4297	12004.0283	17851.0566	17208.1816	14115.0273
0.934	13619.7725	11238.2891	13222.4805	12959.0371	17941.1543	13214.8682	13872.2363	14680.2705	13124.9453	13223.0537	12929.835	16179.6377	16141.9062	15614.5811	15744.6885	12506.2637	15167.0869	16761.4297	11480.6543	11257.7383	14447.8828	16040.542	12744.5908	12830.334	16952.5508	13480.377	15050.4434	16745.4102	12961.6992	12788.7158	12796.5303	13264.291	13710.0576	14274.5107	13672.4404	17460.8105	15453.291	15421.4766	11750.5742	18303.3145	13157.5459	12552.9502	16950.5293	14827.0322	14270.2471
1.0674	12870.4209	11584.1191	14038.2256	12487.5723	16027.3906	12649.8232	13664.2461	14238.1738	12537.8711	12384.3691	12567.79	15361.3018	14216.7705	14097.7539	13477.8936	12879.208	14851.877	15987.9883	11544.9443	11410.9912	14521.4102	15725.7979	13241.6865	14181.1348	15093.3779	12476.8662	14009.6367	14588.8691	12436.624	12521.7305	12888.8018	13260.5791	13902.6523	14061.6348	13153.3545	17401.9961	15418.0195	15521.46	11903.708	17073.8105	13042.3096	11627.6387	15431.1641	13810.1543	13758.4873
1.2008	12584.0674	12667.3594	13461.9033	11090.3457	14956.4326	12785.249	13753.6504	12833.084	11750.7207	12381.4131	12114.3555	15383.502	13661.4092	12752.4199	12123.2148	12213.7402	14614.6514	14946.209	10851.9004	11302.0303	13069.3555	14700.1426	13477.2129	13766.4922	14033.4229	11992.5332	14054.4297	13869.2227	13606.8379	12464.3691	12583.7764	13624.0488	14256.5039	12978.5029	12672.6777	16871.7793	13549.6006	15035.0967	11550.8389	16137.9297	12553.5938	10864.9404	15543.2656	14685.0977	13474.1982
1.3342	12690.7461	13034.0674	13813.2852	11262.5449	14448.5879	11900.2109	14345.168	11423.5479	11535.2393	11887.8086	11728.9961	14670.5371	13427.4121	11940.4385	11566.7822	12329.4004	14125.5215	15198.0625	9925.9541	10836.4492	12778.9893	14008.6836	12457.2998	12870.46	14566.3311	11784.4795	14365.9922	13516.4336	13223.1641	11835.6201	12014.8799	13090.9316	13348.2617	12567.1934	12566.1416	15745.6289	13185.2949	14842.9043	11394.9307	16540.5195	12817.0146	11231.1387	14454.4053	13337.2617	12748.3906
1.4676	12733.9736	13355.2422	13460.5371	11201.9434	14017.5381	12077.9912	14073.876	10995.9854	12164.9219	12687.042	12477.3594	14695.3945	13246.3154	12034.0127	11041.4053	12099.8604	13236.8135	15875.3779	10328.6553	10560.8516	12872.7529	14581.8662	11651.4189	12503.2266	16263.2295	12541.3418	13307.3252	12667.1406	13553.4658	11664.0547	11554.6445	12184.2334	13273.8906	12588.251	11282.1699	15558.7646	13495.7832	13839.0186	11631.7217	15824.04	13846.6895	10803.6562	14923.0635	12452.9365	13101.0322
1.6011	13052.8945	13807.2588	12841.5322	11969.8076	14412.1064	12168.5264	14077.1514	10775.0801	11423.2832	12384.4541	13409.6338	13575.7988	13040.1504	12749.6006	11172.9404	11970.4287	12232.9951	16432.3633	11291.6807	10769.7588	13159.3281	16297.9883	11249.043	11559.1064	15299.4707	12822.2979	13789.0908	12007.7881	14311.5049	12604.75	11289.4326	12126.7422	12640.7676	12328.4072	11547.5312	15210.4561	14556.0332	13975.6484	12553.4512	16255.0986	13920.999	10033.3877	15121.4678	12238.3945	12256.9141
1.7345	12746.5215	13538.333	13335.3691	11815.9404	13127.207	12108.7578	14232.1514	11486.8018	10779.5078	11869.9756	14176.0635	13781.625	13436.0918	12386.6836	11714.9785	11774.4717	12105.2744	16376.3887	11407.7402	11170.4678	12270.0059	15756.3271	11068.918	11060.5762	16213.8486	14944.4658	13321.5762	11724.5615	13828.9619	13774.9424	10814.0967	12345.9551	13172.2168	13085.2422	11427.8252	15076.0137	15418.583	12594.7549	11433.7197	15550.0479	14375.3955	9803.4004	14719.1064	12827.2139	11747.2725
1.8679	12280.8525	13890.4277	13878.8965	11475.7139	13831.2598	11852.5342	13637.7842	11757.707	10984.0879	11529.127	15893.4355	14046.5371	13457.335	12124.3242	11921.6953	12012.9209	12256.5801	15296.5166	11925.4326	11601.5928	11980.8027	16009.7607	11581.9932	11004.3281	15872.3848	15051.0703	13487.5518	11509.625	13729.6055	14398.3223	10762.0137	12517.0615	13131.1221	13850.6875	11020.0127	15093.373	14510.1318	12391.7148	12341.2842	15935.9307	14112.4932	9744.7979	13075.7393	12759.5508	12390.9316
2.0013	13049.4561	13975.4941	15061.3105	11995.6455	13057.6914	11399.4951	12718.4365	11548.4287	10837.2178	11542.458	14847.2559	13012.9258	12560.1426	12444.6025	11447.4668	12729.4609	12168.5488	14663.2295	12253.8223	11529.8438	11491.6719	15340.1699	11636.332	10926.8984	14846.2803	14731.9326	12662.459	11214.9062	13097.293	14375.9463	11419.7246	12523.9199	12553.5498	14300.5186	10658.3721	14489.9092	13479.668	12707.4268	12240.6748	15053.8457	13776.9785	10205.9023	12532.8574	11525.5439	12672.7666
