x	Y_20181208_15794_1_17g	Y_20181208_15794_1_4g	Y_20181208_15794_10_11g	Y_20181208_15794_10_2g	Y_20181208_15794_11_4g	Y_20181208_15794_11_5g	Y_20181208_15794_11_9g	Y_20181208_15794_12_14g	Y_20181208_15794_12_8g	Y_20181208_15794_13_14g	Y_20181208_15794_13_15g	Y_20181208_15794_16_1g	Y_20181208_15794_16_2g	Y_20181208_15794_16_9g	Y_20181208_15794_19_11g	Y_20181208_15794_19_9g	Y_20181208_15794_2_1g	Y_20181208_15794_2_3g	Y_20181208_15794_21_4g	Y_20181208_15794_22_7g	Y_20181208_15794_23_18g	Y_20181208_15794_23_21g	Y_20181208_15794_24_14g	Y_20181208_15794_24_3g	Y_20181208_15794_26_15g	Y_20181208_15794_26_17g	Y_20181208_15794_26_6g	Y_20181208_15794_27_6g	Y_20181208_15794_28_8g	Y_20181208_15794_28_9g	Y_20181208_15794_29_8g	Y_20181208_15794_29_9g	Y_20181208_15794_3_18g	Y_20181208_15794_3_4g	Y_20181208_15794_30_8g	Y_20181208_15794_5_6g	Y_20181208_15794_5_9g	Y_20181208_15794_7_14g	Y_20181208_15794_9_13g	Y_20181208_15794_9_4g
0	28991.8066	28959.0723	31073.8164	22573.3906	30572.7578	28869.8105	29229.5566	30710.5625	25325.1562	29382.9512	28832.6973	28916.1406	26801.5566	29337.3828	25860.3633	29054.3789	25427.5234	31028.9062	31937.9863	29683.9648	28074.0312	30408.668	30054.6445	27572.3516	29565.832	28308.2305	28850.4746	29258.9902	29576.291	31214.2695	30136.3281	29668.2285	26176.7168	30641.5918	27519.459	29071.6055	30378.3516	29028.6211	30219.3691	29814.7305
0.1334	30006.1855	28837.8477	30538.0801	23550.4902	31833.4961	28312.0859	27301.9902	32001.0176	25467.293	30077.9531	28505.2422	29835.6191	26574.9785	29097.4688	25934.2344	28985.5664	25178.6094	30882.7949	32295.6504	31013.3438	27124.6855	29719.9258	28759.7266	27063.4043	31354.002	27758.6562	28404.3828	29422.3555	29738.2676	30001.1934	29067.7129	31476.3262	27030.6074	30602.748	27638.3477	30837.9102	31541.3477	29008.3418	30323.0273	29888.9824
0.2668	29341.1875	28567.4688	30531.209	24032.3242	30614.8203	29169.8477	29651.2383	30754.7734	26649.5293	29857.8438	29465.8203	28973.3555	28322.6641	30326.3926	26712.4316	29859.9492	25956.0566	31766.4492	32077.8945	30551.4707	27428.7852	32106.1113	29895.5586	26502.4766	31855.9629	27624.2812	29204.5293	30751.4434	29911.6543	29779.9922	29071.0859	31011.5273	26813.1953	28734.0605	26072.4707	30094.4941	31376.5254	29370.7227	30738.4355	29480.1484
0.4003	29960.8125	27882.752	30423.5801	23208.3105	31106.4043	29735.8809	29917.7402	30786.6504	26204.2188	30173.6602	28240.0234	29359.9629	28322.1387	30479.9336	25754.0332	29327.8105	25397.4512	31163.8301	31978.4746	30509.2363	28691.8047	29560.8652	31513.6035	26851.9941	32507.8691	28605.875	28433.0879	30389.6914	30603.9336	30184.6348	28783.5	31127.6973	25969.7988	28591.8027	27755.3809	29878.1934	31617.9844	29171.3145	31180.6484	29822.0156
0.5337	28043.4219	28651.5801	28745.4609	23962.6504	31168.9277	30485.7383	31178.2949	29314.3496	26653.8691	30755.748	29094.5566	29999.6973	27636.2676	29656.6055	26262.627	29940.7363	25332.6152	32109.5312	31069.2227	30781.627	28176.2188	29113.8828	30474.8398	25661.4316	32787.207	26321.3379	26973.041	30685.3867	30777.9434	30891.0898	28954.6699	32022.4863	26180.0137	28395.7461	28321.0996	29752.7305	33492.2266	27964.4863	30033.9668	30524.6914
0.6671	29116.0781	26689.9102	29229.2754	24184.0098	31043.6074	30063.6895	29797.5625	29820.7578	26510.4922	29236.2344	28751.0293	29672.2773	27999.918	29067.7363	26099.8418	29007.2656	26031.084	31956.127	31754.8379	30326.5293	28103.7051	29212.7227	30477.5273	25576.6816	31880.7012	26088.7832	27034.2695	30705.6426	30291.5195	30547.8535	29568.9258	31295.7988	27025.9414	27377.4785	27578.666	32227.6602	33048.5508	29021.6094	30181.7031	30488.7598
0.8005	29023.8848	25262.3027	29741.5957	24189.1875	31656.9766	30538.3086	29846.4238	30230.3262	26710.8711	29997.2246	28929.9355	28298.3008	28790.0801	28555.2715	26512.5586	29717.5586	26153.9453	31207.7656	31068.1504	29885.0605	28744.5996	29193.6172	31420.8672	25608.9141	31759.9961	26910.0391	26191.7363	29573.0859	30213.5195	31859.207	29192.2559	30515.6895	27876.0234	27218.5898	25745.2637	31460.6465	34222.0898	29293.1191	29142.7285	30313.9414
0.934	28841.2031	28330.082	30311.7949	23864.7188	32040.6152	29613.0098	30868.9473	30433.7109	25756.1133	29905.457	28335.9785	30377.1133	28048.4863	28203.7109	27982.6465	30866.8398	25609.5859	31455.9805	31287.0137	30156.1211	28829.9219	28376.1445	30134.7676	25834.1445	30480.6094	26995.541	25087.0078	29873.7578	29184.377	30041.9316	31091.1836	29713.5684	27440.9844	27575.3359	27211.9609	30051.4141	34626.5312	28165.6172	30483.7988	30947.6348
1.0674	28717.5664	27325.1289	30871.8379	23326.4766	31060.0977	30478.5996	32555.6309	30662.582	26521.1348	29445.5039	28969.707	30722.1035	27984.8457	28958.9863	29483.498	30769.9395	25593.3789	35030.8555	29886.2031	29686.0273	28125.7051	28694.5723	30427.6836	27032.4453	31114.4062	25794.5195	26364.0859	30408.1543	30333.4043	29406.4688	29996.0488	27749.2441	28200.3965	28484.6953	27175.9434	29332.2246	31570.0332	28229.6602	28191.3301	29988.1133
1.2008	28840.8496	28089.4121	31005.0781	24418.5059	30810.2148	30752.1074	30933.5938	29669.9902	25753.6289	29636.9863	28732.0371	30899.2871	29262.0566	29823.3613	29501.7168	30983.9102	24915.748	33389.5664	30492.5801	31011.7285	27823.4375	29979.123	30984.3633	27347.7363	32440.5195	25514.502	25169.3418	30737.4238	29202.6484	29521.5664	30017.043	28537.7734	28457.4004	28104.7754	25925.1074	29863.9629	33719.6367	29109.6406	29343.9434	30372.0195
