x	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_2g	Y_20181208_15693b_11_10g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_12g
0	32986.9492	34224.4922	30843.752	29874.7031	32770.9336	29669.8086	30169.6855	30823.3535	28177.041	28867.9004	27175.0449	27595.2734	27146.2754	29576.6309	30319.0469
0.1334	33900.6055	33908.1289	32365.7266	29933.5469	32776.1797	30452.9531	30866.4121	29722.2949	30707.1738	28451.1543	26710.043	28690.7246	26381.7676	29332.3809	30542.8691
0.2668	33151.6328	34838.4023	31204.5938	31230.0586	32740.2227	31174.7422	31186.5996	28793.3477	29922.4316	28965.5586	26355.0293	29445.9355	25790.207	30403.502	31515.2266
0.4003	32288.2754	34885.8672	30578.5	30158.4668	31714.9453	30868.4082	31289.6035	28552.7168	28188.1973	29959.75	27085.7148	28518.3965	25839.7754	30669.8203	31211.8223
0.5337	33674.7188	32355.0176	30588.582	28854.3535	31524.5586	30060.7676	31448.2461	28543.4297	28214.3457	29180.3262	25534.082	30688.1992	26041.2051	31368.1328	30238.9023
0.6671	33151.543	31482.6953	31023.998	30986.2344	32775.6445	29943.8906	30252.4258	28553.7559	29555.9316	30499.7559	26233.4199	29253.793	25153.1797	32250.2324	30252.9922
0.8005	33482.0469	32009.9473	30998.916	30882.9102	33038.4453	28020.1465	31520.4023	28649.502	29518.834	27678.125	26572.2188	28544.7676	26008.4629	31184.3008	29933.6777
0.934	35379.3711	33172.9062	29545.877	28619.0742	33662.5547	30035.6074	33617.8867	28046.6035	28975.6602	29931.9883	26252.5234	28998.0176	25837.127	32258.7715	29746.9277
1.0674	34387.5234	32745.3105	30306.5625	29924.377	32891.5234	32490.2715	34291.4688	29415.8965	29275.9199	30495.6816	28115.5723	27409.5293	25637.6465	32073.4004	30846.9414
1.2008	33871.3945	32321	30385.8379	29298.1895	33196.7617	33200.8633	36260.5898	29027.9941	29850.8887	29769.1133	27625.4473	28597.2598	25347.7988	32250.3125	31011.7324
1.3342	34453.4805	33796.2812	33056.5469	29393.7285	34576.2109	33842.8867	44271.1992	30051.2578	31068.8223	30307.8125	28041.584	31569.1738	25892.2676	33094.8555	29777.4258
1.4676	36090.0664	33532.7227	34422.1367	29876.9609	34489.8281	36018.3086	65265.3594	29543.873	32028.0371	30784.1309	30788.8262	32706.5977	26314.5684	35561.6328	30471.7637
1.6011	37666.4258	32365.6621	41613.7773	30881.3633	34904.7344	39535.1172	94804.1406	29663.1172	32920.2773	30140.4102	36210.6367	35731.5156	26367.9297	41589.418	31444.3594
1.7345	42473.5195	33275.4531	57370.6875	32504.1191	37336.7148	51118.6602	96989.8438	31447.3789	43046.1055	31462.6172	47731.8398	43264.4648	31183.1191	51215.7188	32082.0918
1.8679	54684.4883	34853.2656	90400.4141	36807.0625	42962.3594	68586.5547	69782.1406	32013.3965	57587.7031	33570.4219	79907.5078	63949.957	36265.9141	74114.7188	31800.8789
2.0013	74518.4297	41487.3359	114044.1719	46371.7148	57729.6094	72558.4609	50041.9609	34948.9219	64872.6953	37725.4062	110307.6172	90355.8359	49789.668	82520.375	33626.7852
2.1347	76768.9844	54574.3984	97401	67744.7891	70240.6406	54857.625	NaN	45373.4961	49644.8555	50063.4883	108846.9609	92872.625	61803.0469	63809.8086	38534.2422
2.2682	62710.6992	80634.25	74294.6719	84188.5781	63593.8477	40946.3281	NaN	65168.0859	38884.8359	69222.8984	68460.0312	64278.0977	50304.4062	43733.1953	47365.7148
2.4016	53697.9961	89029.0781	62004.2148	69101.2969	48226.6953	34565.9062	NaN	78594.7266	35902.918	75766.3203	45270.1641	44137.0273	35326.832	37593.5391	65681.5156
2.535	48775.2656	66671.4375	48423.793	47669.4727	39074.9883	31122.3789	NaN	68625.3984	33701.1094	62650.2578	34526.2617	35080.4922	29357.1543	34055.2266	76831.4531
2.6684	48923.6562	47164.332	38767.8984	37037.3555	35773.2109	29408.3359	NaN	49865.4648	31609.6484	45815.5781	32769.3711	32004.2188	27188.3145	33730.3711	67129.9453
