x	Y_20181208_15692_31_14g	Y_20181208_15692_31_5g	Y_20181208_15692_32_2g	Y_20181208_15692_32_7g	Y_20181208_15692_33_9g	Y_20181208_15692_37_11g	Y_20181208_15692_38_11g	Y_20181208_15692_38_12g	Y_20181208_15692_39_1g	Y_20181208_15692_41_1g	Y_20181208_15692_42_1g	Y_20181208_15692_43_12g	Y_20181208_15692_43_17g	Y_20181208_15692_43_4g	Y_20181208_15692_44_3g	Y_20181208_15692_45_16g	Y_20181208_15692_46_17g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_47_10g	Y_20181208_15692_47_11g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_7_7g	Y_20181208_15692_8_11g	Y_20181208_15692_8_7g	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_5g	Y_20181208_15692b_12_18g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_2g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_2_1g	Y_20181208_15692b_2_2g	Y_20181208_15692b_7_2g
0	28924.7285	27826.6641	32291.209	28564.8457	28771.3535	28103.5176	27266.3047	30006.8516	30870.0488	27794.9668	24446.5762	28903.2832	29729.8965	26738.7637	28462.4668	30366.3066	31021.1172	28620.3711	29529.2227	28875.1758	34124.8242	25276.4297	32695.0488	29997.1426	26803.9258	26389.0664	30548.3477	27572.8965	25638.002	34964.0898	25794.2344	30603.7617	30060.7227	29215.1035	23789.9746	26161.3848	28578.1797	26031.3789	31487.6504	28110.832
0.1334	28527.3789	28619.5449	31370.1738	29728.457	29136.8848	28371.6309	29451.4941	28448.7246	30586.5645	26744.7656	24452.7129	27190.4062	29970.2461	26749.1562	29334.5605	28581.2344	31431.8516	28218.3164	29317.2656	29061.6934	34266.543	25811.2773	33281.7109	29274.6172	28364.1699	27243.6914	30001.4688	29247.1953	28174.1992	34430.0273	25363.8418	28833.2832	30624.8457	29548.7344	25182.2051	25866.1816	27240.6953	26925.0527	31564.5586	28673.4609
0.2668	29032.916	28563.8711	30082.291	30150.9707	29071.3789	29039.6777	28597.1543	28138.9785	30124.6543	25879.8887	26303.0059	28231.4824	30631.2949	27420.5293	28678.0234	27987.373	30470.2109	28021.2852	30271.3789	29348.8516	33798.3359	27583.1504	33640.6367	29041.5586	27593.1875	27034.1914	31101.1797	28937.75	29108.6289	33072.8789	26143.5762	29889.543	29717.4863	28056.5312	25638.4668	26103.3711	28602.1172	25745.9414	32368.8105	29608.0586
0.4003	28562.002	29267.6172	29825.5684	30163.2812	26806.543	29626.2715	27946.8613	28620.5117	30817.75	26318.8184	25188.8789	28787.3203	30282.8164	28167.5781	29399.1465	27043.293	30870.7734	30706.6621	29760.0488	29932.7266	34799.2539	25911.0449	32174.6855	28940.0547	26863.5781	26450.1641	30433.207	28669.9746	27998.6797	32481.4023	25722.959	30075.3027	30994.3164	28191.5859	25759.3223	26184.3496	27833.5117	26709.4316	33062.7188	30069.9336
0.5337	30967.9668	29884.1582	30585.8496	30231.1934	28905.6094	27968.8652	27432.1582	29009.4531	29916.2637	26898.2578	24807.3047	30149.3574	30119.5859	26771.6797	27895.1816	26799.5488	30813.8984	30833.6875	29490.877	29551.3789	34731.3242	26348.3242	32175.6875	29614.4785	27148.3516	26716.6367	31467.043	28251.0547	29146.1016	33524.8203	26720.2461	31809.8652	30714.416	29340.4844	26647.377	25734.3633	28138.1875	25361.4609	32536.8672	30022.4102
0.6671	29752.0117	28764.6074	30442.1094	29730.7754	29254.5762	28543.623	28467.8555	28532.334	30032.2773	28867.8359	25800.8418	30175.5547	30511.9785	26926.9336	29588.0293	28527.5684	32290.1172	29310.1348	30053.9902	28364.4844	34664.7031	26979.0918	31989.9648	30287.5664	27298.7578	27216.2324	31418.7832	29012.1836	28942.748	33997.4531	25753.7129	31171.3047	29261.8535	28232.5605	25938.8398	24877.3086	29727.0859	25493.0508	31199.666	29034.2012
0.8005	29011.375	29648.7812	30808.0664	30584.6621	28545.0723	28515.9668	29356.6836	29318.0449	30392.0312	28210.6016	25065.1562	30223.1582	30155.8887	26276.125	27694.9824	28661.4043	30437.4473	28500.5566	29648.6348	28981.7988	32876.5938	25572.7559	31292.5312	29535.1113	27244.5605	26835.9043	31569.6055	29200.7852	27936.6543	33668.5352	27251.3145	31474.9316	30369.5762	28079.9121	25570.5	25514.0742	30627.1895	26295.7754	32011.5547	31056.5957
0.934	28425.3906	32062.3516	30119.207	30711.9746	27810.668	29689.2148	28334.9492	29543.2734	29568.5879	27594.2559	24252.4395	31252.4023	30818.4492	26702.6777	27697.3027	27608.5566	29612.4863	30035.9688	31217.0449	30161.625	34241.1602	26838.3672	31598.0469	30175.0859	26461.127	26889.3066	31118.7715	29624.1562	28439.6504	32385.4023	26901.4355	31071.5684	32421.9043	28960.2715	26227.416	26019.7344	29563.5176	27203.3555	33930.5977	31113.5234
1.0674	29236.6328	31280.252	30652.9668	31539.8145	27756.959	30040.8281	28648.5332	30819.3418	28475.7988	29179.1074	25086.5332	29626.1309	29650.5215	27078.0234	29045.457	28566.3223	30067.8926	30124.9551	30834.8301	30225.8457	32244.4277	25691.9512	31197.2422	28975.7188	26467.7402	26558.4395	31299.8574	31745.6094	28669.5137	33425.1562	26913.1719	31254.6895	30613.9355	29189.5898	24824.1367	26274.498	27722.9609	24948.2148	33898.5664	30508.5059
1.2008	28285.7559	30583.5449	31699.1152	29831.9824	28466.0234	30042.2363	28161.207	30675.9844	29325.9707	28157.625	26097.709	30616.5254	30994.6094	27118.0801	26464.0137	27919.1152	30790.8867	29361.3633	29878.8047	31368.248	32227.8281	26036.5566	30906.041	30258.75	25296.7051	25224.2305	31380.791	31045.8398	28816.0117	33402.6016	26551.2891	31341.8984	31554.2578	29918.0234	26464.4668	25952.8652	28936.6797	26319.4414	33572.6289	32744.5996
1.3342	28211.9316	29436.0898	30630.2559	31055.7285	28373.2773	29581.1094	27717.7891	29151.793	30389.293	27449.2285	25097.5195	31332.5	30186.3887	26478.5977	26687.3262	28729.1191	30053.457	29921.0859	30069.5488	29193.8965	32805.9766	26060.9414	31074.1367	29857.3242	26061.9434	26623.125	31906.582	29950.9238	28336.9258	31926.4902	26572.1035	32065.2773	32300.9473	29734.0859	26595.375	26367.6445	28932.5527	26168.0723	32607.6426	32401.7578
1.4676	27853.4375	29406.2344	31440.3652	30895.5566	29897.9277	29055.291	28763.3418	29511.8652	29487.2695	25907.1934	26077.4121	31318.9473	30228.707	27105.2402	28607.2559	28953.9727	30499.4883	30012.7734	30598.1973	29603.8848	33250.4883	25238.6562	31419.6582	30675.2773	25837.0801	25518.6543	31453.2402	31198.168	28666.2578	31448.8633	26068.207	31917.9805	30266.0664	28752.2363	26081.9062	25698.7266	28260.5137	25556.6211	32540.8633	31473.5625
1.6011	28270.4043	30432.0137	31333.4375	30029.9688	29829.2383	29013.2129	28472.5879	29966.1777	31195.373	27499.8809	27504.1016	32814.2227	30795.1582	28580.293	26780.9277	27953.7754	31076.2695	27846.1855	29418.5449	30993.0723	34325.5625	25276.6035	31828.9238	31874.8281	25717.0605	25477.6328	31993.8535	30721.6934	28203.3672	31143.7949	26359.9941	31973.1621	31997.459	28773.8379	26328.9746	26934.5801	29904.9023	25611.752	33191.8086	32393.25
1.7345	27045.9277	30209.0449	31855.9004	31008.75	28720.793	29773.5293	27972.4883	29907.2031	31319.7891	27184.5508	25990.916	32409.1602	31073.916	27015.2969	27704.2793	29326.6055	32404.2129	29101.3398	29998.3066	30411.7441	35871.3789	26550.8984	31895.3242	33615.0703	26779.2422	26256.834	32432.3828	29049.498	27887.4023	30453.7266	26143.3906	32435.8398	30886.6133	28837.8086	25820.9844	29286.9395	30830.5879	27791.7891	32019.3281	32027.457
1.8679	28628.8047	29912.7207	32206.4141	31001.1914	29217.0469	30430.1191	29717.248	29071.2676	29646.2051	27187.5488	26119.377	29879.6543	32164.5859	25894.2031	28325.5723	29366.3965	32989.2617	28318.7051	30657.5059	29593.2266	35946.8828	26848.6309	31733.541	31673.8633	26837.0996	26911.4844	32196.4531	30074.9551	30469.2598	31503.1211	26245.041	31521.1328	29750.8965	27697.248	25885.3223	33987.6562	32227.9141	28249.4512	33253.2852	32979.8203
2.0013	29237.5156	29882.7949	33576.4844	32133.7441	29574.8672	29959.6328	28033.4766	30911.0117	30162.291	27981.7559	27816.0645	30782.5312	35219.1211	27840.5664	28942.9141	28575.0586	33871.8828	28772.7578	31531.6836	31786.2598	37353.5859	29568.8008	32458.8281	30984.584	26916.8555	28082.8984	34054.0391	32065.3262	31075.4707	32516.6738	26460.2734	30541.75	30978.2598	28416.1953	25352.8184	37744.9883	35083.0859	29751.3516	33295.5703	35972.7344
2.1347	28349.9199	30994.1191	35513.8086	32788.3867	29113.3418	31440.6562	29145.5586	29943.7305	30196.5586	28308.9141	27080.0137	31194.6152	40955.0898	27968.5625	30738.1309	29003.5312	34027.2383	30338.3984	33376.7812	31105.1465	44569.0742	30552.8965	33694.7227	31435.0957	26622.2969	29302.2422	35399.6094	35233.6836	30930.0918	35412.2617	28331.1855	31335.2031	32613.873	29292.7227	25384.3633	35817.9609	41946.332	31119.5254	33948.0664	43781.375
2.2682	29406.293	31676.0254	43337.1836	36072.6562	29149.2637	33317.6094	28876.9805	31340.1816	31879.8809	28787.3145	28252.3418	30514.1973	43228.7422	28496.8477	32721.9746	30770.0137	38472.0391	29825.8906	35300.8164	30928.0371	61187.8633	40504.082	39255.5938	32478.6094	27940.1914	33845.5273	39159.5078	44825.2734	34018.6211	36567.3516	31181.4785	33907.3359	32528.8203	31032.2578	26052.0273	31598.2266	59047.3398	36130.3516	35130.3789	61203.4219
2.4016	30642.1738	32392.4141	63744.1953	43669.7344	31268.0137	35241.4805	30738.8047	31604.7227	32256.7246	30756.0938	32946.6406	31061.4688	41824.6523	31791.3477	37896.0195	31609.1191	45716.4297	31597.7695	38321.7188	34603.2656	84960.6094	57602.7148	52824.0039	33142.8711	30022.5762	43087.7031	50753.7461	69182.4297	42509.5391	41614.8555	36266.6016	35686.7734	35518.2461	34385.7227	26478.8203	30799.7227	87054.5469	48223.5391	34523.7422	86832.6641
2.535	33112.4766	36517.7773	84653.6094	59928.9922	37028.9688	37012.6992	31164.8867	31014.0156	32871.9766	33199.8398	45519.4375	32241.7598	47469.875	40718.3828	48105.2266	37896.8906	60095.957	31389.2598	52263.6211	39058.1523	87993.4844	69181.1641	79765.6953	38097.7227	30534.5391	53117.8008	74994.3203	95560.7969	57506.5586	52821.5547	51852.0547	39989.0625	43640.8086	43301.7227	26619.0293	27986.9219	89210.1953	68331.3438	37088.6719	87971.2656
2.6684	39138.9414	45735.9102	84423.1172	74288.3047	46224.8594	47574.0312	33912.5	32406.4883	39073.043	40807.9844	63175.9609	32995.9766	52520.8594	50387.9297	75208.4375	54067.5742	88470.1641	35539.0703	75007.125	52886.4102	65331.043	53744.2422	93262.8203	44705.2266	34955.7578	44853.1953	108289.5859	104728.3828	70615.2812	74484.9531	66377.9766	47383.3828	67677.3047	64007.2227	28902.7559	26303.9551	60514.0742	80786.9297	43172.6562	64239.293
2.8019	54311.1836	58244.8242	58395.4375	68902.0469	57430.082	64982.3984	43052.4961	36987.3555	55824.4766	58606.8281	63947.7383	35800.875	45338.375	55141.9648	102692.6797	77143.6875	91690.2812	48039.1875	89150.5312	71908.5391	46065.9219	38771.0547	75801.5703	53182.6914	45711.75	33941.7461	100043.0156	88026.3125	65906.0625	88438.2188	63567.1523	53460.8438	115843.5078	77344.9297	35419.1562	27009.0938	40738.4883	63978.418	60475.4219	48061.3516
2.9353	80399.4141	60660.957	42763.207	51968.3867	51498.043	74854.625	59793.5625	46193.6641	77997.0781	71006.9766	48354.7461	43001.7227	38521.7539	43843.5547	99842.9297	83486.3203	65357.8086	53722.1289	73989.2969	69670.3828	37890.9219	31950.0391	56675.4023	56922.6875	53956.8203	30070.6934	71169.0312	58791.4688	46904.2188	71485.7578	46080.1172	47131.3633	133515.0938	60082.5625	51259.707	25859.6328	34255.0547	42073.3086	72342.9453	NaN
3.0687	92607.8906	48352.293	35422.9414	41439.5156	41176.8203	63669.5469	71000.9688	51055.043	83013.6797	64534.4297	34663.6016	61013.6133	35332.7461	34862.4766	66583.0859	62336.1875	45295.4297	50761.6641	50094.9414	51759.1836	35974.1797	29752.9824	49347.4219	49304	52441.1328	29922.4004	47177.5391	44678.3047	35515.4922	50667.375	37264.8789	39383.625	97191.3438	42056.2188	69417.4609	NaN	31740.2363	34427.8711	63405.3359	NaN
