x	Y_20181208_15693_10_3g	Y_20181208_15693_10_5g	Y_20181208_15693_10_8g	Y_20181208_15693_11_12g	Y_20181208_15693_11_3g	Y_20181208_15693_11_5g	Y_20181208_15693_11_8g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_4g	Y_20181208_15693_13_5g	Y_20181208_15693_13_7g	Y_20181208_15693_14_3g	Y_20181208_15693_14_6g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_7g	Y_20181208_15693_15_8g	Y_20181208_15693_17_2g	Y_20181208_15693_18_6g	Y_20181208_15693_18_9g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_6g	Y_20181208_15693_2_9g	Y_20181208_15693_3_11g	Y_20181208_15693_3_7g	Y_20181208_15693_4_6g	Y_20181208_15693_5_1g	Y_20181208_15693_5_2g	Y_20181208_15693_5_5g	Y_20181208_15693_6_11g	Y_20181208_15693_6_6g	Y_20181208_15693_7_5g	Y_20181208_15693_7_8g	Y_20181208_15693_7_9g	Y_20181208_15693_8_7g	Y_20181208_15693_9_7g	Y_20181208_15693b_1_11g	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_3g	Y_20181208_15693b_10_16g	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_7g	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_4g	Y_20181208_15693b_12_5g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_3g	Y_20181208_15693b_13_4g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_15g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_7g	Y_20181208_15693b_3_18g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_12g	Y_20181208_15693b_4_14g	Y_20181208_15693b_4_2g	Y_20181208_15693b_4_30g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_23g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_9g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
0	12471.7939	11202.5293	12765.2637	11509.7842	11340.335	12806.7373	13539.1982	10693.4346	11647.3643	12936.2744	11662.7217	11720.6768	11927.8809	12140.4961	14792.4609	10994.5068	10551.2656	10902.3457	12421.7236	12653.7451	11010.3213	12681.209	13156.6104	12735.3594	12383.376	11370.2305	11340.6221	11894.2256	12154.2275	11208.2822	11338.2832	13126.4854	9532.9893	11388.3301	10537.8809	10193.8037	12787.0518	13146.9043	12652.6689	11590.3271	14038.2607	13102.9111	11447.543	10425.7598	11272.3623	11559.6807	12725.5283	11955.8594	11987.165	9865.1699	15450.4795	11843.8076	11939.2646	12796.7256	11774.5596	11698.1592	11799.9609	12561.1914	12185.1953	12136.2568	11700.5391	13384.3555	14780.3193	12127.8936	11629.2324	16643.7754	10622.2637	12817.4824	11819.7705	12325.2314	12463.3232	11136.6855	12006.8262	12380.5908	12359.7793
0.1334	13226.9307	11296.7998	14909.1963	11304.9902	12865.0527	12198.7559	14444.7383	11928.9482	12920.7266	13434.7451	11884.3965	12262.8496	15718.7559	12971.0781	16446.1562	11139.083	11156.8975	10980.9658	12449.0078	14176.6973	11454.5088	13025.6436	13123.9912	12777.1826	13585.7998	11561.333	12545.125	13767.6602	12737.1357	12329.918	11777.9736	13455.4443	9511.0723	12075.2041	11207.4453	12252.3613	15617.0547	13340.3418	13604.0566	11692.5146	15147.3164	14997.623	12226.2871	11741.6836	11476.167	11482.04	12549.4551	13919.0879	13288.4795	11267.4551	18563.043	13577.0557	11503.5566	15175.4209	12190.0059	12551.4229	12687.2559	15296.8994	13323.2021	14932.1904	12698.748	16495.4355	15953.1885	14659.502	12868.126	21224.7695	10792.918	13402.3945	11870.3506	14872.1641	12147.5039	13180.9385	11895.8418	14006.8076	12979.6406
0.2668	14768.543	11415.2969	18709.9492	12073.2549	13494.9102	13346.6924	14502.7891	12356.2891	14772.377	15053.5732	13121.5078	12492.6982	17220.7695	13615.1543	15551.9766	12255.5908	11869.9805	12490.9248	12471.8193	16026.2686	12716.7109	13863.459	14328.7451	14815.5918	13404.2412	13084.7158	13948.3174	15769.7051	15433.1504	13318.5752	14471.1025	14422.0205	10065.4141	13510.0361	13467.6582	14580.9541	17518.8965	13305.1504	18356.5645	13158.2871	17166.6582	16512.959	13896.4443	14569.5459	12933.1631	12438.8135	12654.3193	16703.0703	15027.0166	11977.7012	20337.4863	16417.1875	11966.835	16191.1777	12469.8584	15075.6152	14201.6504	17145.5547	14399.1787	17975.5312	14743.6582	19595.0977	20721.6035	16978.4141	13269.5176	23500.8555	11158.3418	15404.1172	11966.2998	18274.2832	12729.6201	16031.0684	12014.0127	15023.1768	13536.709
0.4003	15471.0107	13273.6826	20061.4316	12964.9248	16336.7324	14813.6992	15813.8779	14612.9209	15876.7734	16187.2979	14280.9492	13669.0664	16676.8809	12197.9326	14453.9385	14171.6455	13647.3818	15324.5459	14007.1299	19577.9395	13263.4824	15183.1729	16454.5957	20877.4121	15286.751	13313.0283	13956.0908	14217.6396	15010.418	14604.7363	14120.8848	15114.833	11384.8232	15782.8721	16862.791	15054.9971	16588.7109	13442.2773	20788.4727	15201.7412	17381.9297	15067.4287	15510.7559	17651.8945	14958.6201	12008.9473	13008.2861	16501.252	15740.8291	13385.4795	18315.8535	19747.2383	13788.3311	14529.6387	14577.3818	15350.3096	16471.709	15717.8037	17335.916	21237.8281	19070.3066	17107.5312	23749.957	18724.5684	13942.6445	19788.0859	12819.8301	17545.5117	12631.0029	18681.5605	13805.0391	17028.8164	12107.1025	16127.2305	14441.9561
0.5337	15488.8535	16130.8613	19200.5254	13789.1357	14936.9961	16968.582	16935.1211	15594.249	14490.3643	15101.5049	13438.7402	15381.8916	14947.583	11906.0732	13787.1836	15857.2412	15174.3301	17366.5625	15896.7598	17213.6035	12358.8467	15205.3682	18079.8516	26401.3262	16071.293	13859.0605	13343.1904	13859.6592	13031.3311	15237.6885	13203.9795	17476.1914	13642.9824	15453.1875	16525.3145	15444.9756	15130.3125	16221.7266	19081.1855	18014.9102	18035.25	14127.207	15939.3164	18267.4258	19371.1523	13433.6445	14645.9238	15996.2773	13940.0498	14381.377	14979.7178	18077.2578	14403.4717	14395.1631	17414.375	13751.7705	17336.7871	14490.3447	17707.0801	23274.0371	27891.1621	14709.1436	21804.5566	17007.2324	14007.1396	16841.0176	14712.9463	18544.5039	13952.9951	16019.6924	18267.2598	16834.9414	13668.3828	16001.3643	15583.4961
0.6671	14358.1416	16958.998	16514.8535	13650.4648	13684.9658	15938.4268	16758.1777	15643.7559	12904.667	14350.0303	12426.7988	16955.2559	14633.1484	11739.709	14122.543	16187.627	15005.5684	17340.2676	20621.8477	14682.2842	11824.7354	13981.2412	17536.3516	28780.4922	15251.2744	12621.9707	12867.7256	12434.0273	13314.6289	14100.9131	12815.582	19176.4023	15181.4521	13351.3779	14407.7373	15358.1211	13502.5273	19798.9863	17009.8164	19156.877	21316.9453	13552.7432	15443.9062	15889.2148	22005.9941	17567.9609	16867.9023	16000.3281	11485.9297	14212.4502	15646.2119	14490.3955	15259.6904	13379.6494	17429.5098	12787.5713	17872.1426	13429.5791	16620.041	22436.5312	29125.3516	13044.1934	19460.084	16549.0039	12852.418	15183.9502	16988.7109	16606.3984	15962.0439	13788.2539	19583.0352	15780.4561	15817.0977	15810.7041	15791.2969
0.8005	12985.3486	16723.9082	15717.7119	13703.1465	13084.6318	13882.3809	15550.9209	15693.7002	12231.9229	14900.4072	11961.6523	16978.8984	13979.5361	11918.7363	14078.6328	15413.9424	15498.6836	17707.8438	20601.8555	13864.3994	12321.8105	14136.9297	16427.9258	23881.3555	14999.2529	11573.0225	12744.1934	12598.623	15286.0674	13586.5195	12484.5264	18698.2852	15077.4131	13253.7178	14953.2822	14129.3906	12697.8828	23939.2676	14967.5596	17119.3848	21224.5898	13717.7783	16266.1709	13895.3779	19404.9004	18156.9121	17353.3184	15485.8877	10885.6709	13946.9082	15898.0615	13142.2383	13853.8125	13569.3926	16445.8184	12530.458	16631.416	12253.5176	14063.3857	18520.6211	23082.6152	11435.1797	17182.9668	15312.5234	11233.9502	13319.75	16020.8965	15624.8574	15190.7041	13294.1572	18190.7402	15525.709	18414.7402	13537.582	16716.4844
0.934	11578.8467	14837.5732	14405.3184	13288.9219	11897.7812	12982.6172	13131.4746	15813.8516	12541.8604	14725.0625	11842.2031	15775.1719	13393.7422	12088.6836	14469.8779	15021.2529	13653.0762	16927.748	16440.8203	13682.7549	12219.4951	13820.627	14113.3877	21468.0703	14115.793	12484.9561	13021.8828	12544.2012	15113.2324	13799.8477	12814.5166	18394.8184	14233.0225	13250.8154	14407.5928	13494.3311	12252.3613	22025.2891	13034.7012	15404.1641	19542.6953	13115.5273	16260.377	13784.4512	17007.5977	16578.9766	16525.1074	15601.5908	11294.4717	14132.7168	15805.3965	12704.0342	12440.4326	12533.9648	16572.625	11972.3799	15304.5557	11984.3096	13257.5908	15520.2246	18554.2891	12203.7471	15317.5244	14427.3389	10738.7773	12531.4424	13207.625	14905.1045	14204.1318	13248.4111	17146.1348	15210.8271	18828.2168	12733.0713	15688.6992
1.0674	11357.2324	13312.1201	14099.0879	13208.71	12088.9521	12776.1816	12377.1191	15589.9482	12066.8281	13827.1309	11821.3428	14959.665	12867.8516	12414.3154	13695.5088	14618.8848	12215.9277	15980.6074	14750.083	13995.5635	11875.124	14112.1582	13278.2012	20324.4375	13339.4434	12574.3867	13382.459	11467.75	14776.9609	14530.5693	11950.6904	16635.7051	14440.3594	13636.5771	13182.2578	12850.5117	11442.4961	18348.6953	12429.0049	15628.6748	16548.291	13723.0527	16334.3184	13304.5928	16575.0586	15239.832	14809.3994	14569.9688	11950.7412	14743.3037	14216.332	12705.1162	12085.9336	13792.9219	15284.3711	11053.8174	14914.3779	11151.1924	13384.6865	15980.7969	15121.1533	12478.1201	15322.2383	14475.6865	10699.5654	12285.4463	12607.0625	14386.7461	14325.1914	12815.835	15840.9639	14740.9434	17826.6152	11762.9805	15639.792
1.2008	11800.1084	13486.5908	13562.9863	13053.8965	12011.0645	12842.7012	12876.8262	15691.999	12491.6699	15005.1895	11517.4248	14070.1709	12267.1133	13098.7432	12666.2842	14692.7246	12104.7324	14844.6465	13694.0225	13903.749	11526.9443	13794.7207	14705.709	19978.3574	13064.5664	12512.7637	13086.6221	11614.2109	12921.041	14087.1406	11530.0479	15274.8818	15521.7686	13418.1201	12359.1611	11915.4463	11558.1865	15282.6396	12851.9922	14844.3301	14276.667	12658.6992	15801.9316	12953.5586	15361.9834	14011.2305	13916.5127	13249.707	12423.8594	15474.9424	14071.2686	12287.3018	11453.6016	13286.5684	14041.6758	10640.4756	14116.7041	11202.7334	12229.6973	15876.4717	14189.3037	11362.1807	13064.2979	13381.0225	10935.0312	13141.6426	12625.46	13395.1699	12723.7842	13744.2314	14845.3857	15028.7188	15722.3926	12059.8057	16223.7822
