x	Y_20181208_15100_10_3g	Y_20181208_15100_15_8g	Y_20181208_15100_25_1g	Y_20181208_15100_3_5g	Y_20181208_15100_7_3g	Y_20181208_15100_8_3g	Y_20181208_15100b_1_3g	Y_20181208_15100b_13_15g	Y_20181208_15100b_19_9g
0	10188.8721	11825.5576	12103.209	10397.6699	9760.7168	10853.249	11261.1875	15257.4395	10815.6309
0.1334	11334.9131	14064.8447	13141.4102	12313.8672	10888.2881	10606.4316	10938.9219	17121.7461	11247.1777
0.2668	13473.1162	15725.7402	15468.9023	14185.0244	13495.6211	13134.8691	11293.3516	17724.793	11840.0264
0.4003	17214.3887	15480.9453	18087.3125	14682.8457	15393.1289	15805.6377	12708.6904	17506.4316	13482.4512
0.5337	20069.2461	14940.5166	16226.3633	14020.2539	16145.5381	16339.834	14902.6436	18191.584	15917.0908
0.6671	18534.3027	15308.7627	14801.2842	14781.6885	14930.1895	16929.9746	16301.7061	17613.1562	15767.6035
0.8005	17178.168	14681.3574	13850.3232	14057.1377	14760.0449	15462.5098	15781.7422	17012.0332	14662.1602
0.934	15644.0479	15250.8896	12920.7637	14245.7549	14179.7607	15589.9434	15155.0391	17419.9062	14167.0752
1.0674	16368.9082	15569.2158	12424.0059	13744.6592	14265.8301	14960.6406	14971.1631	17027.7871	14967.6191
1.2008	15152.1826	15869.2598	12605.0625	14598.6523	13845.7139	14808.8779	15120.7881	16985.332	14546.1045
1.3342	15448.0254	15342.5068	12402.2305	14859.457	13474.3408	13902.8379	15339.1523	16785.6406	13627.0537
1.4676	14140.9951	15387.4453	12867.9365	15978.4062	14300.6641	13721.4033	15006.917	16488.0918	14058.4404
1.6011	13967.6104	15060.3662	13664.54	15143.3018	14592.3945	12971.9678	14665.4678	16613.8828	13839.7412
1.7345	13684.1797	15305.2988	13906.1289	14799.9648	14839.1777	13841.1211	14332.7949	16573.3086	13294.5811
1.8679	13334.541	14584.3818	14044.2637	14108.1182	16044.2471	14343.708	14136.9102	16324.2207	12565.5654
2.0013	14592.9795	14104.0068	14946.416	13528.5068	14976.5518	15047.4355	14676.6934	15299.9053	13359.6406
2.1347	14404.2568	13459.8662	14409.4385	13871.3096	14104.2246	16475.9746	15022.543	14120.4238	13363.8037
2.2682	12850.6465	14045.7803	13168.5947	14042.585	14968.8672	16214.5078	14336.3594	14132.5791	13495.5947
2.4016	13551.9639	13752.1445	12589.3691	13569.4014	14588.0322	14780.5049	14131.5898	12424.2852	13538.8535
2.535	12709.6387	13643.877	13038.5713	13689.7197	13513.8438	13897.4941	13491.2344	11659.8691	13179.7568
2.6684	13221.7441	14622.75	13176.0684	14558.2012	14320.1465	13277.0225	13154.2383	11775.874	11950.2646
2.8019	13055.8594	14812.0127	12798.916	16536.8984	12974.4414	11841.7432	13949.1357	12367.6094	12357.5908
2.9353	13202.4482	14011.96	12243.8447	16418.123	13180.5488	12202.7979	13084.1885	11847.1279	11910.2773
3.0687	13110.043	13557.9951	NaN	14974.7773	13502.5254	12156.0957	12336.2266	10847.3271	NaN
3.2021	13675.5908	NaN	NaN	13886.8359	13377.2471	11752.5352	NaN	NaN	NaN
3.3355	13457.1055	NaN	NaN	12781.1553	NaN	11914.71	NaN	NaN	NaN
3.469	14835.7402	NaN	NaN	12806.4785	NaN	11522.125	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
